year,total_pnl,trades,avg_rr,wins,winrate
2022,1.29,54,2.3,18,33.3
2023,3.78,67,2.08,25,37.3
2024,9.29,105,2.22,41,39.0
2025,5.6,160,2.22,55,34.4
2026,4.81,39,2.31,15,38.5
