direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,signal_type,has_fvg,timestamp,ema_position,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,exit_time,exit_price,pnl,exit_reason
SHORT,11.016,10.4382,11.337,1.8,TREND,31.3341,0.1018,6.9474,36.8421,4,BOS,True,2023-04-12 02:00:00,BELOW,2.013785046728974,0.646425,ATOMUSDT,12,0.0,0.32099999999999973,2023-04-12 14:00:00,11.337,-0.7264250000000001,stop_loss
LONG,11.698,12.4216,12.051,1.8,TREND,30.1602,0.0808,43.2361,8.6649,4,BOS,True,2023-04-13 12:00:00,ABOVE,1.105159369449624,0.44427406651874995,ATOMUSDT,22,1.6890547263681557,0.402000000000001,2023-04-14 10:00:00,12.4216,0.7196933197337473,take_profit
SHORT,11.56,10.8508,11.428,1.8,TREND,27.1966,0.1617,17.977,29.7703,4,BOS,True,2023-04-20 15:00:00,BELOW,0.9610393624612986,0.3786495088097518,ATOMUSDT,17,0.7741116751269026,0.39400000000000013,2023-04-21 08:00:00,11.428,0.046857195844891106,stop_loss
SHORT,10.645,9.1852,10.82,1.8,TREND,40.7736,0.1281,6.2988,40.524,4,BOS,True,2023-04-21 20:00:00,BELOW,0.4246462787760536,0.34438813208737945,ATOMUSDT,8,0.0,0.8109999999999999,2023-04-22 04:00:00,10.82,-0.15431309878580968,stop_loss
SHORT,10.798,10.3048,10.889,1.8,TREND,38.7085,0.0744,2.0173,43.2277,4,BOS,True,2023-05-06 14:00:00,BELOW,1.2549522235212058,0.34385690924480933,ATOMUSDT,20,0.06934306569343135,0.27399999999999913,2023-05-07 10:00:00,10.889,-0.19420065234042885,stop_loss
LONG,10.948,12.2962,10.807,1.8,TREND,30.1266,0.1099,51.4304,14.4993,4,BOS,True,2023-05-10 13:00:00,ABOVE,0.5956540528022234,0.4461448855488656,ATOMUSDT,14,0.10280373831775688,0.7490000000000006,2023-05-11 03:00:00,10.807,-0.16398722144511352,stop_loss
LONG,10.983,11.2026,10.874,1.8,TREND,29.0569,0.0728,29.1462,13.739,4,BOS,True,2023-05-18 03:00:00,ABOVE,3.089231411788797,0.3768862322382329,ATOMUSDT,11,0.0,0.12199999999999989,2023-05-18 14:00:00,10.874,-0.4167262238849789,stop_loss
SHORT,10.553,9.7538,10.621,1.8,TREND,23.2488,0.0914,7.6563,45.8594,4,BOS,True,2023-05-18 18:00:00,BELOW,0.9392096952200633,0.4170091046777072,ATOMUSDT,33,0.08108108108108432,0.44399999999999906,2023-05-20 03:00:00,10.621,-0.14386625927496394,stop_loss
LONG,10.879,11.0932,10.815,1.8,TREND,37.8546,0.0416,37.7358,6.0034,3,BOS,True,2023-05-30 11:00:00,ABOVE,3.4991914906874673,0.41640378739180783,ATOMUSDT,15,0.0,0.11899999999999977,2023-05-31 02:00:00,10.815,-0.3039482554039981,stop_loss
LONG,10.608,11.2596,10.592,1.8,TREND,33.6932,0.0736,31.4563,20.9709,4,BOS,True,2023-06-02 05:00:00,ABOVE,1.761831048295229,0.6377828394828731,ATOMUSDT,19,0.10220994475137851,0.3620000000000001,2023-06-03 00:00:00,10.592,-0.1081892967727237,stop_loss
LONG,10.694,10.8146,10.652,1.8,TREND,37.8069,0.0433,35.1485,12.5413,4,BOS,True,2023-06-03 23:00:00,ABOVE,5.0638093185470945,0.33927522434265617,ATOMUSDT,9,1.7910447761193868,0.06700000000000017,2023-06-04 08:00:00,10.8146,0.5306954038167776,take_profit
SHORT,8.775,8.4132,8.552,1.8,TREND,29.179,0.0727,16.2083,25.6385,4,BOS,True,2023-06-18 01:00:00,BELOW,1.8667281472503685,0.375212357597325,ATOMUSDT,38,1.731343283582089,0.2010000000000005,2023-06-19 15:00:00,8.4132,0.5953822436751844,take_profit
SHORT,8.446,8.1292,8.622,1.8,TREND,23.9387,0.0495,16.0173,23.9538,3,BOS,True,2023-06-20 12:00:00,BELOW,2.9125534051586555,0.5126093993079238,ATOMUSDT,6,0.801136363636363,0.17600000000000016,2023-06-20 18:00:00,8.622,-0.5926093993079238,stop_loss
LONG,9.308,9.7832,9.089,1.8,TREND,44.7258,0.0953,32.4588,13.6432,4,BOS,True,2023-06-22 09:00:00,ABOVE,1.2920897302539038,0.34111168878702974,ATOMUSDT,5,0.2840909090909071,0.26399999999999935,2023-06-22 14:00:00,9.089,-0.3629676509256042,stop_loss
LONG,9.363,9.6222,9.219,1.8,TREND,32.8663,0.0773,21.2569,15.9889,4,BOS,True,2023-06-27 07:00:00,ABOVE,4.431844689632204,0.6381856353070379,ATOMUSDT,8,0.16666666666667285,0.14400000000000013,2023-06-27 15:00:00,9.219,-0.7181856353070378,stop_loss
LONG,9.403,9.9016,9.126,1.8,TREND,39.6208,0.0687,37.7339,6.8607,4,BOS,True,2023-06-29 11:00:00,ABOVE,1.21801378555658,0.33738981859917394,ATOMUSDT,8,0.0,0.277000000000001,2023-06-29 19:00:00,9.126,-0.4173898185991739,stop_loss
LONG,9.756,10.4922,9.825,1.8,TREND,31.6232,0.0783,29.0146,18.1569,4,BOS,True,2023-07-03 03:00:00,ABOVE,1.5424082926139941,0.6308449916791247,ATOMUSDT,22,0.6821515892420524,0.4090000000000007,2023-07-04 01:00:00,9.825,0.026426172190364153,stop_loss
SHORT,9.157,8.7718,9.19,1.8,TREND,41.9257,0.0738,4.5499,23.0397,3,BOS,True,2023-07-07 18:00:00,BELOW,1.9192539920615375,0.4107203543011698,ATOMUSDT,13,0.19158878504673033,0.2140000000000004,2023-07-08 07:00:00,9.19,-0.14333538173802973,stop_loss
LONG,9.378,9.6822,9.209,1.8,TREND,25.1437,0.071,22.2334,15.996,4,BOS,True,2023-07-10 19:00:00,ABOVE,2.184056471090268,0.36910554361425635,ATOMUSDT,3,0.0,0.16900000000000048,2023-07-10 22:00:00,9.209,-0.44910554361425636,stop_loss
LONG,9.838,10.2142,9.687,1.8,TREND,35.5495,0.1051,26.8525,7.274,3,BOS,True,2023-07-15 08:00:00,ABOVE,2.821350116108857,0.58966217426675,ATOMUSDT,8,0.2966507177033554,0.20899999999999963,2023-07-15 16:00:00,9.687,-0.5060238675324369,stop_loss
LONG,9.441,10.017,9.488,1.8,TREND,28.654,0.0679,34.0,17.7895,4,BOS,True,2023-07-20 08:00:00,ABOVE,1.1421522103643635,0.36548870731659666,ATOMUSDT,49,0.2937499999999979,0.3200000000000003,2023-07-22 09:00:00,9.488,-0.026318846112876264,stop_loss
SHORT,8.916,8.2644,9.024,1.8,TREND,39.3479,0.0827,9.7582,52.7634,4,BOS,True,2023-07-24 09:00:00,BELOW,0.9176018192518297,0.3321718585691624,ATOMUSDT,17,0.0,0.3620000000000001,2023-07-25 02:00:00,9.024,-0.17910099647919647,stop_loss
SHORT,8.912,8.543,8.822,1.8,TREND,29.9918,0.0508,4.2194,30.2391,3,BOS,True,2023-07-31 16:00:00,BELOW,2.1744277349616645,0.44575768566714136,ATOMUSDT,26,1.0731707317073198,0.20500000000000007,2023-08-01 18:00:00,8.822,0.11569849614655335,stop_loss
SHORT,8.499,8.2056,8.448,1.8,TREND,34.7676,0.0589,14.1818,33.0909,4,BOS,True,2023-08-04 18:00:00,BELOW,2.9416474035466726,0.4794885267781084,ATOMUSDT,20,0.7116564417177991,0.16300000000000026,2023-08-05 14:00:00,8.448,0.07002401758088077,stop_loss
LONG,8.494,8.647,8.493,1.8,TREND,40.0647,0.0284,27.4559,22.1662,4,BOS,True,2023-08-14 13:00:00,ABOVE,3.90817238990933,0.33219465314228946,ATOMUSDT,15,0.6588235294117829,0.08499999999999908,2023-08-15 04:00:00,8.493,-0.08390817238990717,stop_loss
SHORT,8.469,8.3106,8.52,1.8,TREND,24.4221,0.0364,16.0784,34.3137,4,BOS,True,2023-08-15 05:00:00,ABOVE,4.6098027674838,0.40566264353857884,ATOMUSDT,14,5.022727272727219,0.08800000000000097,2023-08-15 19:00:00,8.3106,0.6501927583694272,take_profit
SHORT,8.027,7.1396,7.957,1.8,TREND,32.5504,0.0854,4.097,64.4649,4,BOS,True,2023-08-15 19:00:00,BELOW,1.272714691079322,0.6274483427021061,ATOMUSDT,23,0.2799188640973609,0.4930000000000003,2023-08-16 18:00:00,7.957,0.009090028375551756,stop_loss
SHORT,7.37,5.9858,7.615,1.8,TREND,41.1283,0.2108,15.8929,44.0868,4,BOS,True,2023-08-17 21:00:00,BELOW,0.4345583618364202,0.33417538025220683,ATOMUSDT,20,0.0,0.7689999999999992,2023-08-18 17:00:00,7.615,-0.186466798649923,stop_loss
SHORT,7.625,7.2128,7.583,1.8,TREND,24.1582,0.0669,9.188,29.9145,3,BOS,True,2023-08-21 11:00:00,BELOW,2.175726436144287,0.49824135387704194,ATOMUSDT,11,0.650655021834061,0.2290000000000001,2023-08-21 22:00:00,7.583,0.011380510318059645,stop_loss
SHORT,7.237,6.9148,7.219,1.8,TREND,25.8923,0.0449,9.2357,39.4904,3,BOS,True,2023-08-24 14:00:00,BELOW,2.505418381766573,0.44846989033621726,ATOMUSDT,19,0.8770949720670379,0.17900000000000027,2023-08-25 09:00:00,7.219,-0.034902469128202204,stop_loss
LONG,7.456,8.086,7.347,1.8,TREND,27.7421,0.0564,46.962,21.3924,4,BOS,True,2023-08-29 14:00:00,ABOVE,1.0479935524289004,0.36679774335011567,ATOMUSDT,19,0.0,0.35000000000000053,2023-08-30 09:00:00,7.347,-0.19423129721475013,stop_loss
SHORT,6.666,6.117,6.689,1.8,TREND,37.3442,0.0516,8.8643,43.0748,4,BOS,True,2023-09-01 17:00:00,BELOW,1.0910945990622594,0.3327838527139888,ATOMUSDT,12,0.06229508196721359,0.3049999999999997,2023-09-02 05:00:00,6.689,-0.10509517577843162,stop_loss
LONG,6.928,7.3546,6.907,1.8,TREND,34.4966,0.0609,27.23,10.2113,4,BOS,True,2023-09-07 01:00:00,ABOVE,2.026013508404983,0.4801652014919811,ATOMUSDT,32,0.223628691983122,0.2370000000000001,2023-09-08 09:00:00,6.907,-0.12254628367650446,stop_loss
SHORT,6.784,6.6238,6.873,1.8,TREND,32.3441,0.0277,12.6289,38.6598,4,BOS,True,2023-09-10 01:00:00,BELOW,7.004748226127155,0.6234225921253197,ATOMUSDT,3,1.6516853932584221,0.08900000000000041,2023-09-10 04:00:00,6.6238,1.042160665825568,take_profit
LONG,7.07,7.5974,7.037,1.8,TREND,31.8758,0.0572,41.3233,7.8652,4,BOS,True,2023-09-16 02:00:00,ABOVE,2.150714604810178,0.6301593792093826,ATOMUSDT,17,0.2798634812286683,0.29300000000000015,2023-09-16 19:00:00,7.037,-0.15097358195873667,stop_loss
LONG,7.091,7.3844,7.072,1.8,TREND,33.0945,0.0409,38.7435,4.014,4,BOS,True,2023-09-28 10:00:00,ABOVE,3.860021154798802,0.6291834482322057,ATOMUSDT,15,0.3926380368098157,0.16300000000000026,2023-09-29 01:00:00,7.072,-0.15334040194117773,stop_loss
LONG,2.161,2.2544,2.1739,1.8,TREND,32.7538,0.0224,25.717,17.9414,4,BOS,True,2023-10-22 06:00:00,ABOVE,12.103896291694788,0.6281922175389575,TONUSDT,24,1.3603082851637764,0.051899999999999835,2023-10-23 06:00:00,2.1739,0.07614026216286439,stop_loss
LONG,2.2443,2.3741,2.1722,1.8,TREND,44.1744,0.0295,26.5667,4.331,4,BOS,True,2023-10-24 10:00:00,ABOVE,4.643583176766167,0.33480234704483985,TONUSDT,5,0.28987517337032165,0.07209999999999983,2023-10-24 15:00:00,2.1722,-0.41480234704483987,stop_loss
SHORT,2.0841,2.018,2.0721,1.8,TREND,31.3309,0.0161,14.9578,33.2446,3,BOS,True,2023-10-27 11:00:00,BELOW,20.847814812970988,0.765114803636039,TONUSDT,18,1.283378746593997,0.03670000000000018,2023-10-28 05:00:00,2.0721,0.17017377775565207,stop_loss
SHORT,513.65,477.74,521.5,1.8,TREND,27.187,4.8429,24.5575,36.7994,4,BOS,True,2024-08-15 19:00:00,BELOW,0.018413846341582316,0.36735623451456806,BNBUSDT,12,0.0,19.950000000000045,2024-08-16 07:00:00,521.5,-0.22454869378142162,stop_loss
LONG,554.15,597.17,565.3,1.8,TREND,37.3686,4.3464,37.4692,6.2449,4,BOS,True,2024-08-19 17:00:00,ABOVE,0.013940887209904588,0.33318720431671933,BNBUSDT,21,0.8158995815899589,23.899999999999977,2024-08-20 14:00:00,565.3,0.07544089239043585,stop_loss
