direction,entry,entry_level,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,confidence_bucket,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_mode,candles_since_bos,ema_position,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,entry_idx,trailing_type,swing_trail_updates,signal_id,exit_time,exit_price,pnl,exit_reason,exit_type,last_structure_swing_price,last_structure_swing_idx
SHORT,10.9476,1.0,,10.90376,0.3524115755626975,TREND,32.3927,0.0738,6.97,35.5276,3.5,half,BEARISH_BOS,False,,,0.16300000000000026,,,BOS,False,,,11.072,2023-05-06 13:00:00,2.5,zone,,BELOW,3.868022905296163,0.48118204941884124,ATOMUSDT,21,1.3553054662379433,0.12439999999999962,1.6125401929260472,0.0032154340836080815,1.6125401929260472,10.948,10.747,11.072,0,907,structure,2,8,2023-05-07 10:00:00,10.90376,0.1695741241681816,stop_loss,trailing_stop,10.889,919.0
SHORT,10.798,1.0,,10.90376,-0.3859854014598555,TREND,32.3927,0.0738,6.97,35.5276,3.5,half,BEARISH_BOS,False,,,0.16300000000000026,,,BOS,False,,,11.072,2023-05-06 14:00:00,2.5,zone,,BELOW,3.868022905296163,0.48118204941884124,ATOMUSDT,20,0.06934306569343135,0.27399999999999913,0.18613138686131503,0.5474452554744555,0.18613138686131503,10.948,10.747,11.072,1,907,R,0,8,2023-05-07 10:00:00,10.90376,-0.4090821024641225,stop_loss,trailing_stop,,
SHORT,10.571,2.0,,10.43,1.0,TREND,36.6234,0.1389,7.9733,37.0885,3.5,half,BEARISH_BOS,False,,,0.06099999999999994,,,BOS,False,,,10.712,2023-05-09 03:00:00,2.5,zone,,BELOW,3.4041454576408614,0.4799845095273615,ATOMUSDT,13,1.4893617021276528,0.14100000000000001,3.163120567375884,0.751773049645389,3.163120567375884,10.677,10.125,10.712,0,969,R,0,9,2023-05-09 16:00:00,10.43,0.4799845095273615,stop_loss,trailing_stop,,
SHORT,10.361,2.0,,10.43,-1.0,TREND,36.6234,0.1389,7.9733,37.0885,3.5,half,BEARISH_BOS,False,,,0.06099999999999994,,,BOS,False,,,10.712,2023-05-09 15:00:00,2.5,zone,,BELOW,3.4041454576408614,0.4799845095273615,ATOMUSDT,1,0.0,0.06899999999999906,1.333333333333359,1.376811594202901,1.333333333333359,10.456,10.269,10.712,1,969,R,0,9,2023-05-09 16:00:00,10.43,-0.23488603657721624,stop_loss,trailing_stop,,
SHORT,10.456,,,10.48666,-0.1387330316742127,TREND,33.3439,0.1333,16.0236,34.9411,3.0,half,,True,,,0.1869999999999994,,,BOS,True,,,10.677,2023-05-09 16:00:00,2.5,momentum,13.0,BELOW,2.177420823041231,0.48121000189211216,ATOMUSDT,20,0.877828054298638,0.22100000000000009,1.162895927601808,1.0180995475113102,1.162895927601808,10.681,10.199,10.677,0,982,structure,1,10,2023-05-10 12:00:00,10.48666,-0.06675972243444636,stop_loss,trailing_stop,10.46,991.0
SHORT,10.296,,,10.48666,-1.0,TREND,33.3439,0.1333,16.0236,34.9411,3.0,half,,True,,,0.1869999999999994,,,BOS,True,,,10.677,2023-05-10 06:00:00,2.5,momentum,13.0,BELOW,2.177420823041231,0.48121000189211216,ATOMUSDT,6,0.17832791356340455,0.19066000000000116,0.28847162488198563,2.0193013741739088,0.28847162488198563,10.681,10.241,10.677,1,982,structure,1,10,2023-05-10 12:00:00,10.48666,-0.4151470541210436,stop_loss,trailing_stop,10.46,991.0
SHORT,10.868,,10.7471,10.9486,-1.0,RANGE,20.2667,0.0806,23.1383,21.0993,3.0,half,,False,SWEEP_HIGH,,0.20000000000000107,,,SWEEP,False,10.9486,,,2023-05-16 21:00:00,2.5,,,,4.788004680093347,0.47880046800933473,ATOMUSDT,3,0.18610421836228888,0.08060000000000045,0.3846153846153897,1.0794044665012315,0.3846153846153897,10.955,10.837,10.9486,0,1155,R,0,11,2023-05-17 00:00:00,10.9486,-0.3859131772155259,stop_loss,SL,,
SHORT,10.7991,1.0,,10.347480000000001,5.652315394242762,TREND,30.6432,0.0574,12.2042,37.858,3.5,half,BEARISH_BOS,False,,,0.21199999999999974,,,BOS,False,,,10.879,2023-05-31 04:00:00,2.5,zone,,BELOW,4.768709021232571,0.47687090212325706,ATOMUSDT,30,7.1727158948685386,0.0799000000000003,7.222778473091333,0.0,7.222778473091333,10.7991,10.222,10.879,0,1498,structure,4,12,2023-06-01 10:00:00,10.347480000000001,2.153644368169046,stop_loss,trailing_stop,10.336,1524.0
SHORT,10.595,1.0,,10.347480000000001,1.992914653784244,TREND,30.6432,0.0574,12.2042,37.858,3.5,half,BEARISH_BOS,False,,,0.21199999999999974,,,BOS,False,,,10.879,2023-05-31 05:00:00,2.5,zone,,BELOW,4.768709021232571,0.47687090212325706,ATOMUSDT,29,2.9710144927536617,0.12419999999999831,3.003220611916314,0.31400966183575063,3.003220611916314,10.634,10.222,10.879,1,1498,R,0,12,2023-06-01 10:00:00,10.347480000000001,1.1803508569354846,stop_loss,trailing_stop,,
SHORT,10.597,1.0,,10.347480000000001,2.0418985270049084,TREND,30.6432,0.0574,12.2042,37.858,3.5,half,BEARISH_BOS,False,,,0.21199999999999974,,,BOS,False,,,10.879,2023-05-31 06:00:00,2.5,zone,,BELOW,4.768709021232571,0.47687090212325706,ATOMUSDT,28,3.036006546644848,0.12219999999999942,3.068739770867445,0.30278232405892785,3.068739770867445,10.634,10.222,10.879,2,1498,R,0,12,2023-06-01 10:00:00,10.347480000000001,1.1898882749779445,stop_loss,trailing_stop,,
