symbol,direction,entry,entry_level,zone_size_at_entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,confidence_bucket,position_size_multiplier,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_type,zone_entry_type,htf_filter_variant,htf_filter_applied,entry_mode,candles_since_bos,ema_position,initial_risk,mtf_tf,position_size,risk_amount,trade_risk,stop_distance,max_leverage,requested_size,actual_size,capital_before_entry,risk_percent,allocated_capital,log_message,sizing_warning,capital_after_entry,bars_alive,max_r,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,realized_pnl,realized_r,mfe_valid,mae_valid,partial_tp_hits,tp1_taken,tp1_price,signal_id,entry_bar_index,exit_time,exit_price,pnl,exit_reason,exit_type,capital_after_exit
BTCUSDT,LONG,40930.5,1.0,399.053571,,42359.5,0.015338370599749964,TREND,39.9816,532.0714,23.285,39.0254,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,810.0,,,BOS,False,,,43380.5,2022-01-21 00:00:00,2.5,zone,full,NONE,False,zone,,BELOW,1.0316626701617246,15m,1.2602689064812634e-05,1.0316626701617246,1.0316626701617246,40930.2596,3.0,1.031668729534627,1.031668729534627,103.16626701617247,0.01,0.5158343647673135,"ENTRY BTCUSDT: notional=1.031669, capital=103.17, units=0.000025, risk_amount=1.0317, trade_risk=1.0317",False,103.16626701617247,2,0.0,8.723781775092386,50.0,8.723781775092386,40939.5,39181.0,0.2404,0,-0.0014313526947093134,0.015338370599749964,True,True,1,True,40931.53166267016,10,480,2022-01-21 02:00:00,42359.5,0.015108348021513484,take_profit,TP,104.60738095413613
DOTUSDT,SHORT,23.445,,0.367232,,18.286686649191378,1.3045845229223387,TREND,35.7878,0.4896,16.9949,39.752,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,0.6899999999999977,,,BOS,False,,,25.585,2022-01-21 00:30:00,2.5,momentum,momentum,NONE,False,momentum,,BELOW,1.0316626701617246,15m,0.24104267994432813,1.0316626701617246,1.0316626701617246,2.1400000000000006,3.0,11.302491262589546,11.302491262589546,103.16626701617247,0.01,5.651245631294773,"ENTRY DOTUSDT: notional=11.302491, capital=103.17, units=0.482085, risk_amount=1.0317, trade_risk=1.0317",False,103.16626701617247,34,6.2035781511768056,7.187426873590003,0.0,7.187426873590003,23.445,16.03,25.585,0,0.23319949114531352,1.3045845229223387,True,True,1,True,22.413337329838274,11,480,2022-01-22 10:00:00,18.286686649191378,1.4624908979423763,take_profit,TP,106.39355963915557
ETHUSDT,SHORT,3033.0,1.0,38.196429,,2893.7255395281672,0.8898009651359727,TREND,36.0235,50.9286,19.3128,40.1262,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,88.20000000000027,,,BOS,False,,,3272.0,2022-01-21 00:30:00,2.5,zone,full,NONE,False,zone,,BELOW,1.0316626701617246,15m,0.0070086636260615,1.0316626701617246,1.0316626701617246,147.19819999999982,3.0,21.25727677784453,21.25727677784453,103.16626701617247,0.01,21.25727677784453,"ENTRY ETHUSDT: notional=21.257277, capital=103.17, units=0.007009, risk_amount=1.0317, trade_risk=1.0317",False,103.16626701617247,1,129.93588299457065,50.0,0.0,50.0,3033.0,2891.45,3180.1982,0,0.0,0.8898009651359727,True,True,0,False,3031.968337329838,12,480,2022-01-21 01:00:00,2893.7255395281672,0.9179744396046573,take_profit,TP,104.31600959422774
NEARUSDT,SHORT,15.683,,0.335464,,11.333,1.301238994391583,TREND,34.7682,0.4473,15.107,38.5819,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,0.5800000000000001,,,BOS,False,,,17.53,2022-01-21 00:30:00,2.5,momentum,momentum,NONE,False,momentum,,BELOW,1.0316626701617246,15m,0.27928063621053706,1.0316626701617246,1.0316626701617246,1.8470000000000013,3.0,8.759916435379706,8.759916435379706,103.16626701617247,0.01,4.379958217689853,"ENTRY NEARUSDT: notional=8.759916, capital=103.17, units=0.558561, risk_amount=1.0317, trade_risk=1.0317",False,103.16626701617247,40,4.8446068124346375,5.434916045882555,0.0,5.434916045882555,15.683,10.076,17.53,0,0.27626301188688757,1.301238994391583,True,True,1,True,14.651337329838276,13,480,2022-01-22 16:00:00,11.333,1.4805712014160217,take_profit,TP,108.90476447025503
SOLUSDT,SHORT,128.715,,2.101339,,123.55668664919138,0.3137535130803217,TREND,32.9488,2.8018,19.4264,44.2065,4.0,4_to_5,1.0,BEARISH_BOS,True,,,3.2700000000000102,,,BOS,True,,,144.03,2022-01-21 00:30:00,2.5,momentum,momentum,NONE,False,momentum,,BELOW,1.0316626701617246,15m,0.0673628906406611,1.0316626701617246,1.0316626701617246,15.314999999999998,3.0,8.670614468812694,8.670614468812694,103.16626701617247,0.01,8.670614468812694,"ENTRY SOLUSDT: notional=8.670614, capital=103.17, units=0.067363, risk_amount=1.0317, trade_risk=1.0317",False,103.16626701617247,2,7.1098821467003015,7.47821959942642,0.0,7.47821959942642,128.715,121.0,144.03,0,0.0,0.3137535130803217,True,True,0,False,127.68333732983828,14,480,2022-01-21 02:00:00,123.55668664919138,0.32368778707706625,take_profit,TP,104.9310687412132
DOTUSDT,SHORT,22.81,,0.367232,,19.155,1.405313953749833,TREND,35.7878,0.4896,16.9949,39.752,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,0.6899999999999977,,,BOS,False,,,25.585,2022-01-21 02:00:00,2.5,momentum,momentum,NONE,False,momentum,,BELOW,0.6170692606574806,15m,0.22174043408941105,1.049310687412132,0.5676555112688928,2.5600000000000023,3.0,9.349522179636995,5.057899301579465,104.9310687412132,0.01,5.057899301579465,"SCALE-IN DOTUSDT L1: notional=9.349522, capital=104.93, units=0.409887, risk_amount=1.0493, trade_risk=1.0493",False,99.87316943963373,35,9.342549317490636,10.987421400275199,0.0,10.987421400275199,22.81,16.03,25.585,1,0.23319949114531352,1.405313953749833,True,True,1,True,22.413337329838274,11,480,2022-01-22 13:00:00,19.155,1.0306336296834382,take_profit,TP,107.424193268839
NEARUSDT,SHORT,11.358,,0.335464,,12.588011989514825,-0.3663782153794945,TREND,34.7682,0.4473,15.107,38.5819,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,0.5800000000000001,,,BOS,False,,,17.53,2022-01-22 10:00:00,2.5,momentum,momentum,NONE,False,momentum,,BELOW,0.34351853097828877,15m,0.13600879581298134,1.0639355963915558,0.16729244952944078,1.230011989514825,3.0,9.824441230513424,1.544787902843842,106.39355963915557,0.01,1.544787902843842,"SCALE-IN NEARUSDT L1: notional=9.824441, capital=106.39, units=0.864980, risk_amount=1.0639, trade_risk=1.0639",False,104.84877173631173,100,5.231158839910082,5.382533497492342,3.6562801908330895,5.382533497492342,12.614,9.509,17.53,1,0.27626301188688757,-0.3663782153794945,True,True,1,True,14.651337329838276,13,480,2022-01-26 14:00:00,12.588011989514825,0.10441087988316336,take_profit,TP,109.13589356257053
FILUSDT,SHORT,16.97,1.0,0.346607,,18.4,-0.011644251314339668,TREND,31.2955,0.4621,15.3014,36.1669,4.0,4_to_5,1.0,BEARISH_BOS,True,,,0.5899999999999999,,,BOS,True,,,19.62,2022-01-24 10:00:00,2.5,zone,full,NONE,False,zone,,BELOW,1.0890476447025503,15m,0.008571128952483475,1.0890476447025503,1.0890476447025503,127.06,3.0,0.14545205832364455,0.14545205832364455,108.90476447025503,0.01,0.14545205832364455,"ENTRY FILUSDT: notional=0.145452, capital=108.90, units=0.008571, risk_amount=1.0890, trade_risk=1.0890",False,108.90476447025503,13,0.009182334720286083,0.15609969024489279,1.597726241330098,0.15609969024489279,18.71,16.8,144.03,0,0.0,-0.011644251314339668,True,True,0,False,15.880952355297449,15,562,2022-01-24 23:00:00,18.4,-0.012681144468206193,stop_loss,trailing_stop,109.03148268268737
SOLUSDT,SHORT,86.86,,2.3625,,84.68190471059489,0.12800115548536314,TREND,32.8239,3.15,14.6485,34.4218,5.0,5_plus,1.25,BEARISH_BOS,True,,,3.4299999999999926,,,BOS,True,,,102.0,2022-01-24 11:00:00,2.5,momentum,momentum,NONE,False,momentum,,BELOW,1.0890476447025503,15m,0.07193181272804162,1.0890476447025503,1.0890476447025503,15.14,3.0,6.2479972535576955,6.2479972535576955,108.90476447025503,0.01,6.2479972535576955,"ENTRY SOLUSDT: notional=6.247997, capital=108.90, units=0.071932, risk_amount=1.0890, trade_risk=1.0890",False,108.90476447025503,1,2.6261477300023417,4.692173042067122,0.32597288257022444,4.692173042067122,87.215,81.75,102.0,0,0.0,0.12800115548536314,True,True,0,False,85.77095235529745,16,562,2022-01-24 11:00:00,84.68190471059489,0.13939935690053967,take_profit,TP,109.04416382715557
FILUSDT,SHORT,19.69,,0.213214,,19.38,0.0031017145425829514,TREND,33.8633,0.2843,9.2965,40.201,4.0,4_to_5,1.0,BEARISH_BOS,True,,,0.3099999999999987,,,BOS,True,,,20.78,2022-01-30 20:00:00,2.5,momentum,momentum,NONE,False,momentum,,ABOVE,1.0913589356257054,15m,0.013259129335751492,1.0913589356257054,1.0913589356257054,82.31,3.0,0.2610722566209469,0.2610722566209469,109.13589356257053,0.01,0.2610722566209469,"ENTRY FILUSDT: notional=0.261072, capital=109.14, units=0.013259, risk_amount=1.0914, trade_risk=1.0914",False,109.13589356257053,13,0.5222846319329433,0.7055423975234489,0.33902686634243434,0.7055423975234489,20.06,18.92,102.0,0,0.0,0.0031017145425829514,True,True,0,False,18.598641064374295,17,716,2022-01-31 09:00:00,19.38,0.0033850838818081015,take_profit,TP,114.28856259315467
