direction,entry,entry_level,zone_size_at_entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,confidence_bucket,position_size_multiplier,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_type,htf_filter_variant,htf_filter_applied,entry_mode,candles_since_bos,ema_position,initial_risk,mtf_tf,position_size,risk_amount,symbol,bars_alive,max_r,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,signal_id,exit_time,exit_price,pnl,exit_reason,exit_type
LONG,15.338,1.0,0.205607,,16.04,0.3977337110481589,TREND,38.0808,0.5483,23.2413,9.7837,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.5700000000000003,,,BOS,False,,13.573,,2022-01-10 23:30:00,2.5,zone,NONE,False,zone,,ABOVE,1.7649999999999988,15m,0.28328611898017014,0.5,NEARUSDT,11,0.6073654390934854,0.7535410764872527,0.03286118980169964,0.7535410764872527,16.668,15.28,13.573,0,1,2022-01-11 10:00:00,16.04,0.19886685552407943,stop_loss,trailing_stop
LONG,0.1527,1.0,0.001141,,0.1518,-0.0900000000000011,TREND,38.2761,0.003,62.6761,7.5117,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.02429999999999999,,,BOS,False,,0.1427,,2022-01-11 11:15:00,2.5,zone,NONE,False,zone,,ABOVE,0.010000000000000009,15m,5.009943342776204,0.5009943342776204,DOGEUSDT,20,0.2,0.8199999999999977,0.5099999999999989,0.8199999999999977,0.1609,0.1476,0.1427,0,2,2022-01-12 07:00:00,0.1518,-0.004508949008498643,stop_loss,trailing_stop
LONG,0.2803,,0.001552,,0.2894,0.9009900990099009,TREND,37.6403,0.0041,25.1079,7.3339,5.0,5_plus,1.25,BULLISH_BOS,True,,,0.0038000000000000256,,,BOS,True,,0.2702,,2022-01-12 03:30:00,2.5,zone,NONE,False,zone,,ABOVE,0.010099999999999998,15m,5.009943342776204,1.252485835694051,HBARUSDT,22,1.7326732673267347,1.7722772277227754,0.14356435643564427,1.7722772277227754,0.2982,0.27885,0.2702,0,4,2022-01-13 01:00:00,0.2894,0.04559048441926344,stop_loss,trailing_stop
LONG,1.2128,1.0,0.006196,,1.2938000000000005,3.0,TREND,37.808,0.0165,34.6304,10.1167,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.029400000000000093,,,BOS,False,,1.1858,,2022-01-12 03:00:00,2.5,zone,NONE,False,zone,,ABOVE,0.027000000000000135,,5.009943342776204,0.5009943342776204,ADAUSDT,24,4.433333333333308,5.192592592592562,0.5444444444444475,5.192592592592562,1.353,1.1981,1.1858,0,3,2022-01-13 03:00:00,1.2938000000000005,0.40580541076487453,stop_loss,trailing_stop
LONG,1.2432,1.0,0.006196,,1.2938000000000005,1.121951219512201,TREND,37.808,0.0165,34.6304,10.1167,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.029400000000000093,,,BOS,False,,1.1858,,2022-01-12 11:00:00,2.5,zone,NONE,False,zone,,ABOVE,0.04510000000000014,,5.009943342776204,0.5009943342776204,ADAUSDT,16,1.9800443458979968,2.434589800443449,0.01773835920177675,2.434589800443449,1.353,1.2424,1.1858,1,3,2022-01-13 03:00:00,1.2938000000000005,0.25350313314447803,stop_loss,trailing_stop
LONG,1.3288,1.0,0.006196,,1.2938000000000005,-1.0,TREND,37.808,0.0165,34.6304,10.1167,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.029400000000000093,,,BOS,False,,1.1858,,2022-01-13 01:00:00,2.5,zone,NONE,False,zone,,ABOVE,0.034999999999999476,,5.009943342776204,0.5009943342776204,ADAUSDT,2,0.0,0.09142857142857541,1.03428571428573,0.09142857142857541,1.332,1.2926,1.1858,2,3,2022-01-13 03:00:00,1.2938000000000005,-0.1753480169971645,stop_loss,trailing_stop
LONG,18.342,1.0,0.14242,,19.24,0.7877192982456158,TREND,34.0541,0.3798,33.1578,5.1533,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.8210000000000015,,,BOS,False,,17.202,,2022-01-13 13:30:00,2.5,zone,NONE,False,zone,,ABOVE,1.139999999999997,15m,0.4417715303414355,0.5036195445892352,NEARUSDT,13,1.4833333333333394,1.7535087719298312,0.0,1.7535087719298312,20.341,18.342,17.202,0,5,2022-01-14 02:00:00,19.24,0.39671083424660897,stop_loss,trailing_stop
LONG,19.337,1.0,0.14242,,19.24,-0.045433255269321494,TREND,34.0541,0.3798,33.1578,5.1533,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.8210000000000015,,,BOS,False,,17.202,,2022-01-13 14:00:00,2.5,zone,NONE,False,zone,,ABOVE,2.134999999999998,15m,0.4417715303414355,0.5036195445892352,NEARUSDT,12,0.3259953161592516,0.47025761124121884,0.15409836065573815,0.47025761124121884,20.341,19.008,17.202,1,5,2022-01-14 02:00:00,19.24,-0.04285183844311982,stop_loss,trailing_stop
LONG,25.659,,0.157848,,25.363,-0.16610549943883243,TREND,33.151,0.4209,32.038,14.5257,5.0,5_plus,1.25,BULLISH_BOS,True,,,0.4450000000000003,,,BOS,True,,23.877,,2022-01-14 23:30:00,2.5,zone,NONE,False,zone,,ABOVE,1.782,15m,0.709019135196763,1.2634720989206316,LINKUSDT,13,0.12682379349046163,0.3013468013468028,0.23569023569023465,0.3013468013468028,26.196,25.239,23.877,0,6,2022-01-15 12:00:00,25.363,-0.2098696640182414,stop_loss,trailing_stop
LONG,145.68,1.0,0.825268,,145.68,0.0,TREND,34.7247,2.2007,42.0967,7.6274,3.5,3_to_4,0.5,BULLISH_BOS,False,,,5.100000000000023,,,BOS,False,,143.82,,2022-01-15 00:30:00,2.5,zone,NONE,False,zone,,ABOVE,2.200700000000012,15m,0.22964912962614165,0.5053888395682526,LTCUSDT,12,2.0266278911255307,2.1947562139319117,0.47712091607216145,2.1947562139319117,150.51,144.63,143.4793,0,7,2022-01-15 12:00:00,145.68,0.0,stop_loss,trailing_stop
