direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_mode,entry_type,candles_since_bos,ema_position,position_size,risk_amount,risk_percent,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,exit_time,exit_price,pnl,exit_reason,exit_type,mtf_tf
SHORT,10.18,9.8746,10.3836,1.5000000000000044,RANGE,21.5526,0.0822,29.192,15.5517,5.0,BULLISH_BOS,False,SWEEP_HIGH,,0.10400000000000098,,,SWEEP,False,10.3836,,,2023-06-06 20:00:00,1,,,,,4.874023248329593,1.4622069744988775,1.5,ATOMUSDT,13,1.3998035363457781,0.20359999999999978,1.5422396856581553,0.0933202357563858,1.5422396856581553,10.199,9.866,10.3836,2023-06-07 09:00:00,9.8746,1.4885267000398603,take_profit,TP,
LONG,9.361,,9.252,-0.7171052631578898,TREND,39.024,0.0734,21.4981,12.5486,3.0,,True,,,0.03599999999999959,,,BOS,True,,9.209,,2023-06-27 22:00:00,1,momentum,inside_zone,14.0,ABOVE,3.2555589364023367,0.4948449583331585,0.5,ATOMUSDT,9,0.3749999999999883,0.15200000000000102,0.4539473684210434,1.493421052631571,0.4539473684210434,9.43,9.134,9.209,2023-06-28 07:00:00,9.252,-0.35485592406785466,stop_loss,trailing_stop,
LONG,9.214,,9.214,0.0,TREND,36.7324,0.0671,23.1097,7.0288,3.5,BULLISH_BOS,False,,,0.09499999999999886,,,BOS,False,,9.126,,2023-06-29 09:00:00,1,zone,inside_zone,,BELOW,4.930706787128193,0.9861413574256385,1.0,ATOMUSDT,7,2.14772727272725,0.08800000000000097,2.4545454545454195,0.46590909090909,2.4545454545454195,9.43,9.173,9.126,2023-06-29 16:00:00,9.214,0.0,stop_loss,trailing_stop,
SHORT,9.335,,9.328,0.07291666666668305,TREND,35.2635,0.0597,10.0478,39.7129,4.0,,True,,,0.049999999999998934,,,BOS,True,,,9.431,2023-07-22 18:00:00,1,momentum,inside_zone,8.0,BELOW,4.930706787128193,0.9861413574256385,1.0,ATOMUSDT,11,0.9375000000000335,0.09599999999999831,1.7708333333333823,0.4791666666666686,1.7708333333333823,9.381,9.165,9.431,2023-07-23 05:00:00,9.328,0.0345149475099045,stop_loss,trailing_stop,
SHORT,8.433,,8.49,-0.48305084745762905,TREND,31.2661,0.0437,9.4771,33.1699,3.5,,False,SWEEP_LOW,,0.07699999999999996,,,BOS,False,,,8.551,2023-08-10 06:00:00,1,momentum,inside_zone,9.0,BELOW,4.932432534503688,0.9864865069007376,1.0,ATOMUSDT,6,0.0,0.11800000000000033,0.11016949152542257,0.677966101694914,0.11016949152542257,8.513,8.42,8.551,2023-08-10 12:00:00,8.49,-0.2811486544667121,stop_loss,trailing_stop,
SHORT,8.45,8.417,8.472,1.4999999999999596,RANGE,17.0534,0.022,33.1169,11.039,4.0,,False,SWEEP_HIGH,,0.05500000000000149,,,SWEEP,False,8.472,,,2023-08-13 20:00:00,1,,,,,4.918375101780352,0.9836750203560704,1.0,ATOMUSDT,1,0.7727272727272397,0.02200000000000024,2.2272727272726796,0.36363636363640034,2.2272727272726796,8.458,8.401,8.472,2023-08-13 21:00:00,8.417,0.16230637835874903,take_profit,TP,
SHORT,6.866,6.807,6.9054,-1.0,RANGE,17.1148,0.0394,25.4083,25.4083,4.0,BULLISH_BOS,False,SWEEP_HIGH,,0.06199999999999939,,,SWEEP,False,6.9054,,,2023-09-04 02:00:00,1,,,,,4.92649042069829,0.9852980841396578,1.0,ATOMUSDT,1,0.12690355329948794,0.039400000000000546,0.15228426395937197,1.319796954314715,0.15228426395937197,6.918,6.86,6.9054,2023-09-04 03:00:00,6.9054,-0.1941037225755153,stop_loss,SL,
LONG,6.928,,6.907,-0.08860759493670843,TREND,34.4966,0.0609,27.23,10.2113,5.0,BULLISH_BOS,True,,,0.036000000000000476,,,BOS,True,,6.691,,2023-09-07 01:00:00,1,zone,inside_zone,,ABOVE,4.916785234569513,1.475035570370854,1.5,ATOMUSDT,32,0.223628691983122,0.2370000000000001,0.2869198312236307,0.5316455696202543,0.2869198312236307,6.996,6.802,6.691,2023-09-08 09:00:00,6.907,-0.10325248992595933,stop_loss,trailing_stop,
LONG,7.07,,7.037,-0.11262798634812404,TREND,31.8758,0.0572,41.3233,7.8652,4.0,BULLISH_BOS,True,,,0.1459999999999999,,,BOS,True,,6.777,,2023-09-16 02:00:00,1,zone,near_zone,,ABOVE,3.3526434198451964,0.982324522014643,1.0,ATOMUSDT,17,0.2798634812286683,0.29300000000000015,0.290102389078498,0.12627986348122833,0.290102389078498,7.155,7.033,6.777,2023-09-16 19:00:00,7.037,-0.1106372328548927,stop_loss,trailing_stop,
LONG,510.55,524.9110000000001,500.976,1.5000000000000029,RANGE,17.8424,3.8714,15.7749,28.8745,3.0,,False,SWEEP_LOW,,5.5,,,SWEEP,False,500.976,,,2024-09-11 04:30:00,1,,,,,0.05124389751859686,0.490609074843047,0.5,BNBUSDT,13,2.3396699394192613,9.574000000000012,2.642573636933359,0.49091288907457514,2.642573636933359,535.85,505.85,500.976,2024-09-11 17:00:00,524.9110000000001,0.735913612264572,take_profit,TP,15m
LONG,552.5,558.52685,548.4821,-1.0,RANGE,16.1772,4.0179,18.6667,25.6,4.0,BEARISH_BOS,False,SWEEP_LOW,,9.200000000000045,,,SWEEP,False,548.8821,,,2024-09-15 23:30:00,1,,,,,0.24604327778409776,0.9885772858087397,1.0,BNBUSDT,2,0.0,4.017900000000054,0.5973269618457266,1.8417581323576688,0.5973269618457266,554.9,545.1,548.4821,2024-09-16 01:00:00,548.4821,-0.9885772858087397,stop_loss,SL,15m
LONG,550.55,,568.6,1.8324873096446939,TREND,34.21,5.1214,23.6402,16.7364,5.0,BULLISH_BOS,True,,,5.350000000000023,,,BOS,True,,540.7,,2024-09-18 22:30:00,1,zone,inside_zone,,ABOVE,0.14903931669299408,1.4680372694259782,1.5,BNBUSDT,37,2.527918781725921,9.849999999999909,2.6649746192893646,0.0,2.6649746192893646,576.8,550.55,540.7,2024-09-20 11:00:00,568.6,2.690159666308553,stop_loss,trailing_stop,15m
