direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,signal_type,has_fvg,timestamp,ml_score,smc_ok,volume_spike,funding_rate,orderbook_imbalance,ema_position,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,exit_time,exit_price,pnl,exit_reason
SHORT,11.016,10.7888,11.1127,2.35,TREND,31.3341,0.1018,6.9474,36.8421,4,BOS,True,2023-04-12 02:00:00,1.0,True,True,,,BELOW,5.167042399172689,0.4996530000000002,ATOMUSDT,5,0.0,0.09670000000000023,2023-04-12 07:00:00,11.1127,-0.49965300000000024,stop_loss
LONG,11.698,11.8784,11.698,2.35,TREND,30.1602,0.0808,43.2361,8.6649,4,BOS,True,2023-04-13 12:00:00,1.0,True,True,,,ABOVE,5.303316604436592,0.4067643835602901,ATOMUSDT,1,1.1994784876140543,0.07670000000000066,2023-04-13 13:00:00,11.698,-0.0,stop_loss
LONG,11.79,11.983,11.79,2.35,TREND,32.5109,0.0864,43.8843,8.0992,4,BOS,True,2023-04-13 13:00:00,1.0,True,True,,,ABOVE,6.05549901091252,0.4971564687959102,ATOMUSDT,3,1.0718635809988104,0.08209999999999873,2023-04-13 16:00:00,11.79,-0.0,stop_loss
SHORT,11.373,11.0229,11.5321,2.2,TREND,26.9757,0.1675,17.3561,35.3092,4,BOS,True,2023-04-20 16:00:00,0.96,True,True,,,BELOW,2.4349129541784973,0.38739465100980003,ATOMUSDT,6,0.15713387806410123,0.15910000000000046,2023-04-20 22:00:00,11.5321,-0.38739465100980003,stop_loss
SHORT,10.759,10.4363,10.759,2.6,TREND,37.3071,0.1306,6.1782,40.0219,4,BOS,False,2023-04-21 19:00:00,0.88,True,True,,,BELOW,2.7170206598812556,0.3371822638912647,ATOMUSDT,1,0.9186140209508499,0.12410000000000032,2023-04-21 20:00:00,10.759,-0.0,stop_loss
SHORT,10.887,10.7293,10.887,2.25,TREND,32.3927,0.0738,6.97,35.5276,4,BOS,False,2023-05-06 13:00:00,0.88,True,True,,,BELOW,6.1728564716184895,0.4327172386604564,ATOMUSDT,1,1.2696148359486497,0.07010000000000005,2023-05-06 14:00:00,10.887,-0.0,stop_loss
SHORT,10.798,10.6073,10.8686,2.7,TREND,38.7085,0.0744,2.0173,43.2277,4,BOS,True,2023-05-06 14:00:00,0.96,True,True,,,BELOW,5.465812587472448,0.3858863686755585,ATOMUSDT,4,0.2691218130311608,0.07060000000000066,2023-05-06 18:00:00,10.8686,-0.3858863686755585,stop_loss
LONG,10.948,11.1933,10.8436,2.35,TREND,30.1266,0.1099,51.4304,14.4993,4,BOS,True,2023-05-10 13:00:00,1.0,True,True,,,ABOVE,3.8659306189860616,0.403603156622145,ATOMUSDT,4,0.0,0.10440000000000005,2023-05-10 17:00:00,10.8436,-0.403603156622145,stop_loss
LONG,10.821,10.9175,10.821,2.6,TREND,39.8605,0.0391,30.5302,10.0548,3,BOS,False,2023-05-30 09:00:00,0.8,True,True,,,ABOVE,8.586739071395117,0.3185680195487638,ATOMUSDT,3,1.5633423180592703,0.03710000000000058,2023-05-30 12:00:00,10.821,-0.0,stop_loss
SHORT,10.609,10.4864,10.609,2.25,TREND,30.6432,0.0574,12.2042,37.858,4,BOS,False,2023-05-31 04:00:00,0.88,True,True,,,BELOW,6.444426450504704,0.35122124155251205,ATOMUSDT,10,1.7247706422017963,0.05450000000000088,2023-05-31 14:00:00,10.4864,0.7900866828318783,take_profit
LONG,10.608,10.7722,10.5381,2.35,TREND,33.6932,0.0736,31.4563,20.9709,4,BOS,True,2023-06-02 05:00:00,1.0,True,True,,,ABOVE,7.0847471175369225,0.49522382351583455,ATOMUSDT,2,0.0,0.06990000000000052,2023-06-02 07:00:00,10.5381,-0.49522382351583455,stop_loss
SHORT,8.775,8.6127,8.759,2.35,TREND,29.179,0.0727,16.2083,25.6385,4,BOS,True,2023-06-18 01:00:00,1.0,True,True,,,BELOW,5.556593186891925,0.38396058921422554,ATOMUSDT,19,2.4891461649783433,0.06909999999999883,2023-06-18 20:00:00,8.6127,0.9018350742325602,take_profit
SHORT,8.365,8.2538,8.365,2.2,TREND,26.2833,0.0532,14.8993,34.4966,4,BOS,True,2023-06-20 13:00:00,0.96,True,True,,,BELOW,7.6575453338388915,0.3874717938922426,ATOMUSDT,1,1.1857707509881683,0.05059999999999931,2023-06-20 14:00:00,8.365,-0.0,stop_loss
SHORT,8.305,8.1801,8.3581,2.35,TREND,30.0584,0.0559,9.5785,44.4444,4,BOS,True,2023-06-20 14:00:00,1.0,True,True,,,BELOW,7.661871630637482,0.40684538358685485,ATOMUSDT,1,0.0,0.05310000000000059,2023-06-20 15:00:00,8.3581,-0.40684538358685485,stop_loss
LONG,9.403,9.5793,9.3377,2.7,TREND,39.6208,0.0687,37.7339,6.8607,4,BOS,True,2023-06-29 11:00:00,0.96,True,True,,,ABOVE,5.909460674973693,0.3858877820757856,ATOMUSDT,2,0.0,0.06530000000000058,2023-06-29 13:00:00,9.3377,-0.3858877820757856,stop_loss
LONG,9.783,9.953,9.7107,2.35,TREND,30.9058,0.0761,31.7073,18.6679,4,BOS,True,2023-07-03 04:00:00,1.0,True,True,,,ABOVE,5.582360095633512,0.40360463491430437,ATOMUSDT,2,0.8852005532503435,0.07230000000000025,2023-07-03 06:00:00,9.7107,-0.40360463491430437,stop_loss
LONG,9.441,9.5925,9.441,2.35,TREND,28.654,0.0679,34.0,17.7895,4,BOS,True,2023-07-20 08:00:00,1.0,True,True,,,ABOVE,5.935100345728253,0.38281397229947633,ATOMUSDT,1,1.4418604651162636,0.06450000000000067,2023-07-20 09:00:00,9.441,-0.0,stop_loss
LONG,9.534,9.7008,9.463,2.35,TREND,28.4359,0.0747,34.7036,16.1568,4,BOS,True,2023-07-20 09:00:00,1.0,True,True,,,ABOVE,5.391746088724904,0.38281397229947633,ATOMUSDT,3,0.0,0.0710000000000015,2023-07-20 12:00:00,9.463,-0.38281397229947633,stop_loss
SHORT,8.916,8.7038,8.9946,2.7,TREND,39.3479,0.0827,9.7582,52.7634,4,BOS,True,2023-07-24 09:00:00,0.96,True,True,,,BELOW,4.851444330530874,0.3813235243797256,ATOMUSDT,1,0.0,0.07859999999999978,2023-07-24 10:00:00,8.9946,-0.3813235243797256,stop_loss
SHORT,8.824,8.6805,8.8771,2.7,TREND,35.1411,0.0559,8.4291,32.6948,4,BOS,True,2023-07-31 19:00:00,1.0,True,True,,,BELOW,8.345486991805743,0.4431453592648899,ATOMUSDT,5,0.018832391713737,0.05310000000000059,2023-08-01 00:00:00,8.8771,-0.44314535926488985,stop_loss
SHORT,8.499,8.3674,8.499,2.35,TREND,34.7676,0.0589,14.1818,33.0909,4,BOS,True,2023-08-04 18:00:00,1.0,True,True,,,BELOW,7.877365358919779,0.441132460099501,ATOMUSDT,2,1.3928571428571848,0.05599999999999916,2023-08-04 20:00:00,8.499,-0.0,stop_loss
LONG,8.666,8.7821,8.6214,2.6,TREND,37.7428,0.047,31.459,9.1185,4,BOS,False,2023-08-09 12:00:00,0.88,True,True,,,ABOVE,7.407858058803665,0.3303904694226498,ATOMUSDT,1,0.0,0.04460000000000086,2023-08-09 13:00:00,8.6214,-0.3303904694226498,stop_loss
LONG,8.55,8.6315,8.5198,2.7,TREND,39.8096,0.0318,42.0225,16.4045,4,BOS,True,2023-08-14 14:00:00,0.96,True,True,,,ABOVE,12.477721687896858,0.3768271949744935,ATOMUSDT,2,0.0,0.03020000000000067,2023-08-14 16:00:00,8.5198,-0.3768271949744935,stop_loss
SHORT,8.027,7.8363,8.1082,2.35,TREND,32.5504,0.0854,4.097,64.4649,4,BOS,True,2023-08-15 19:00:00,1.0,True,True,,,BELOW,5.9324146777433,0.4817120718327609,ATOMUSDT,3,0.049261083743836434,0.08120000000000083,2023-08-15 22:00:00,8.1082,-0.4817120718327609,stop_loss
SHORT,7.237,7.1432,7.237,2.2,TREND,25.8923,0.0449,9.2357,39.4904,3,BOS,True,2023-08-24 14:00:00,0.96,True,True,,,BELOW,8.349755381021785,0.3556995792315297,ATOMUSDT,3,0.9154929577464677,0.04260000000000019,2023-08-24 17:00:00,7.237,-0.0,stop_loss
LONG,7.456,7.5739,7.4024,2.2,TREND,27.7421,0.0564,46.962,21.3924,4,BOS,True,2023-08-29 14:00:00,1.0,True,True,,,ABOVE,6.967995488677313,0.37348455819310616,ATOMUSDT,1,0.0,0.053600000000000314,2023-08-29 15:00:00,7.4024,-0.37348455819310616,stop_loss
SHORT,6.666,6.5337,6.715,2.7,TREND,37.3442,0.0516,8.8643,43.0748,4,BOS,True,2023-09-01 17:00:00,1.0,True,True,,,BELOW,7.5924578247804275,0.3720304334142371,ATOMUSDT,1,0.0,0.04899999999999949,2023-09-01 18:00:00,6.715,-0.3720304334142371,stop_loss
LONG,7.07,7.1977,7.07,2.35,TREND,31.8758,0.0572,41.3233,7.8652,4,BOS,True,2023-09-16 02:00:00,1.0,True,True,,,ABOVE,8.742282996203466,0.4755801949934705,ATOMUSDT,12,1.5073529411764617,0.054400000000000226,2023-09-16 14:00:00,7.07,-0.0,stop_loss
SHORT,2.0841,2.0482,2.0841,2.35,TREND,31.3309,0.0161,14.9578,33.2446,3,BOS,True,2023-10-27 11:00:00,1.0,True,True,,,BELOW,29.603497976561513,0.45293351904140045,TONUSDT,3,1.3594771241829742,0.015300000000000313,2023-10-27 14:00:00,2.0841,-0.0,stop_loss
SHORT,2.0633,2.0171,2.0633,2.6,TREND,36.0496,0.0187,5.9565,40.5116,5,BOS,False,2023-10-27 14:00:00,0.88,True,True,,,BELOW,18.191544295423753,0.3238094884585475,TONUSDT,2,1.4775280898876184,0.01780000000000026,2023-10-27 16:00:00,2.0633,-0.0,stop_loss
SHORT,513.65,503.5284,518.2507,2.2,TREND,27.187,4.8429,24.5575,36.7994,4,BOS,True,2024-08-15 19:00:00,1.0,True,True,,,BELOW,0.08054904039054406,0.37058197012478206,BNBUSDT,2,0.0,4.600700000000074,2024-08-15 21:00:00,518.2507,-0.37058197012478206,stop_loss
