direction,entry,entry_level,zone_size_at_entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,confidence_bucket,position_size_multiplier,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_type,zone_entry_type,htf_filter_variant,htf_filter_applied,entry_mode,candles_since_bos,ema_position,initial_risk,mtf_tf,position_size,risk_amount,trade_risk,stop_distance,max_leverage,requested_size,actual_size,capital_before_entry,risk_percent,allocated_capital,log_message,sizing_warning,capital_after_entry,symbol,bars_alive,max_r,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,realized_pnl,realized_r,mfe_valid,mae_valid,partial_tp_hits,tp1_taken,tp1_price,signal_id,entry_bar_index,exit_time,exit_price,pnl,exit_reason,exit_type,capital_after_exit,anomaly_flags
SHORT,472.65,,3.747321,,469.65,0.10784027304723244,TREND,35.9187,4.9964,15.4396,22.2302,4.0,4_to_5,1.0,,True,,,3.8000000000000114,,,BOS,True,,,479.2,2022-01-18 04:00:00,2.5,momentum,,NONE,False,momentum,10.0,BELOW,0.9999999999999999,15m,0.07095821980018159,1.0,0.9999999999999999,7.0464000000000055,3.0,67.07680517711165,67.07680517711165,100.0,0.01,33.538402588555826,"ENTRY BNBUSDT: notional=67.076805, capital=100.00, units=0.141916, risk_amount=1.0000, trade_risk=1.0000",False,100.0,BNBUSDT,2,4.000000000000001,5.599999999999967,2.800000000000012,5.599999999999967,475.45,467.05,479.6964,0,-0.022849937556763275,0.10784027304723244,True,True,1,True,471.65,1,412,2022-01-18 06:00:00,469.65,0.0964153042688508,take_profit,TP,100.07356536671209,
SHORT,468.65,,3.747321,,469.65,-20.878557751427866,TREND,35.9187,4.9964,15.4396,22.2302,4.0,4_to_5,1.0,,True,,,3.8000000000000114,,,BOS,True,,,479.2,2022-01-18 05:00:00,2.5,momentum,,NONE,False,momentum,10.0,BELOW,0.07095821980018159,15m,0.6399902916618581,0.9997715006244324,0.6399902916618581,1.0,3.0,299.93145018732974,299.93145018732974,99.97715006244324,0.01,299.93145018732974,"SCALE-IN BNBUSDT L1: notional=299.931450, capital=99.98, units=0.639990, risk_amount=0.9998, trade_risk=0.6400",False,0.0,BNBUSDT,1,0.0,0.0,50.0,0.0,475.45,468.65,479.6964,1,-0.022849937556763275,-20.878557751427866,True,True,1,True,471.65,1,412,2022-01-18 06:00:00,469.65,-1.5035445321475802,stop_loss,trailing_stop,98.5700208345645,
LONG,17.2174,1.0,0.248732,,17.063,-0.30416684965434204,TREND,35.9375,0.3316,29.8945,20.3748,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.25900000000000034,,,BOS,False,,16.552,,2022-01-18 09:00:00,2.5,zone,full,NONE,False,zone,,ABOVE,0.9857002083456451,,1.4813649058395588,0.9857002083456451,0.9857002083456451,0.6654000000000018,3.0,25.505252129802024,25.505252129802024,98.5700208345645,0.01,25.505252129802024,"ENTRY UNIUSDT: notional=25.505252, capital=98.57, units=1.481365, risk_amount=0.9857, trade_risk=0.9857",False,98.5700208345645,UNIUSDT,4,0.285685239402173,0.41960019537194426,0.7196914376132956,0.41960019537194426,17.631,16.508,16.552,0,0.0,-0.30416684965434204,True,True,0,False,18.203100208345646,3,417,2022-01-18 13:00:00,17.063,-0.29981732707612346,stop_loss,trailing_stop,98.2472466563221,
SHORT,465.8,,4.138393,,464.8142997916544,-0.02328989176617339,TREND,30.1981,5.5179,9.7087,35.9871,4.0,4_to_5,1.0,,True,SWEEP_LOW,,3.9499999999999886,,,BOS,True,,,479.2,2022-01-18 09:45:00,2.5,momentum,,NONE,False,momentum,15.0,BELOW,0.9857002083456451,15m,0.07238268810504173,0.9857002083456451,0.9857002083456451,13.617899999999963,3.0,33.715856119328436,33.715856119328436,98.5700208345645,0.01,33.715856119328436,"ENTRY BNBUSDT: notional=33.715856, capital=98.57, units=0.072383, risk_amount=0.9857, trade_risk=0.9857",False,98.5700208345645,BNBUSDT,1,0.6594297074269314,3.0435217265856775,1.2681340527440323,3.0435217265856775,467.05,462.8,479.4179,0,0.0,-0.02328989176617339,True,True,0,False,464.8142997916544,2,417,2022-01-18 10:00:00,464.8142997916544,-0.022956851166264634,stop_loss,trailing_stop,98.54706398339823,
SHORT,16.056,,0.179036,,15.642,1.5484833079179194,TREND,36.6918,0.2387,19.0604,27.3489,3.0,3_to_4,0.5,,True,,,0.1390000000000029,,,BOS,True,,,16.221,2022-01-19 04:00:00,2.5,momentum,,NONE,False,momentum,8.0,BELOW,0.9824724665632211,,4.115929897625596,0.9824724665632211,0.9824724665632211,0.2386999999999979,3.0,66.08537043627656,66.08537043627656,98.2472466563221,0.01,66.08537043627656,"ENTRY UNIUSDT: notional=66.085370, capital=98.25, units=4.115930, risk_amount=0.9825, trade_risk=0.9825",False,98.2472466563221,UNIUSDT,13,0.7837369760534176,0.8346289874854566,0.0,0.8346289874854566,16.056,15.236,16.2947,0,0.0,1.5484833079179194,True,True,0,False,15.07352753343678,4,436,2022-01-19 17:00:00,15.642,1.521342214962094,take_profit,TP,99.26083674799537,
SHORT,0.2591,,0.002306,,0.26445,-0.6271105298969119,TREND,33.1544,0.0031,16.3763,36.8177,4.0,4_to_5,1.0,,True,,,0.0024000000000000132,,,BOS,True,,,0.2688,2022-01-19 07:00:00,2.5,momentum,,NONE,False,momentum,2.0,BELOW,0.9824724665632211,15m,101.28582129517757,0.9824724665632211,0.9824724665632211,0.009699999999999986,3.0,26.24315629758051,26.24315629758051,98.2472466563221,0.01,26.24315629758051,"ENTRY HBARUSDT: notional=26.243156, capital=98.25, units=101.285821, risk_amount=0.9825, trade_risk=0.9825",False,98.2472466563221,HBARUSDT,12,0.004936525108907903,0.006921313554757415,0.006310609417572945,0.006921313554757415,0.2653,0.2523,0.2688,0,0.0,-0.6271105298969119,True,True,0,False,-0.7233724665632211,5,439,2022-01-19 19:00:00,0.26445,-0.6161188291155876,stop_loss,trailing_stop,98.64471791887978,
SHORT,21.89,3.0,0.289714,,22.477,-0.5168105372611443,TREND,31.0678,0.3863,18.2138,39.7374,4.0,4_to_5,1.0,,True,,,0.29799999999999827,,,BOS,True,,,23.146,2022-01-19 07:00:00,2.5,momentum,full,NONE,False,momentum,11.0,BELOW,0.9824724665632211,15m,0.7822233014038383,0.9824724665632211,0.9824724665632211,1.2560000000000002,3.0,17.12286806773002,17.12286806773002,98.2472466563221,0.01,17.12286806773002,"ENTRY LINKUSDT: notional=17.122868, capital=98.25, units=0.782223, risk_amount=0.9825, trade_risk=0.9825",False,98.2472466563221,LINKUSDT,7,0.462099463802924,0.6778815922747734,0.6422571842723452,0.6778815922747734,22.521,21.224,23.146,0,0.0,-0.5168105372611443,True,True,0,False,20.90752753343678,6,439,2022-01-19 14:00:00,22.477,-0.5077521232888199,stop_loss,trailing_stop,97.73949453303328,
LONG,1.3816,1.0,0.017464,,1.378,-0.1643929832599102,TREND,33.1217,0.0233,36.9632,9.6933,4.0,4_to_5,1.0,BULLISH_BOS,True,SWEEP_HIGH,,0.04169999999999985,,,BOS,True,,1.3362,,2022-01-20 15:00:00,2.5,zone,full,NONE,False,zone,,BELOW,0.9864471791887977,,21.727911435876656,0.9864471791887978,0.9864471791887977,0.045399999999999885,3.0,30.01928243980719,30.01928243980719,98.64471791887978,0.01,30.01928243980719,"ENTRY ADAUSDT: notional=30.019282, capital=98.64, units=21.727911, risk_amount=0.9864, trade_risk=0.9864",False,98.64471791887978,ADAUSDT,5,0.025039353876314136,0.034467126793306706,0.02676271021597928,0.034467126793306706,1.4156,1.3552,1.3362,0,0.0,-0.1643929832599102,True,True,0,False,2.368047179188798,7,471,2022-01-20 20:00:00,1.378,-0.16216499461516964,stop_loss,trailing_stop,98.48255292426461,
SHORT,41111.0,1.0,399.053571,,39725.3504803556,0.5606870161849368,TREND,39.9816,532.0714,23.285,39.0254,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,810.0,,,BOS,False,,,43380.5,2022-01-21 00:30:00,2.5,zone,full,NONE,False,zone,,BELOW,0.9848255292426461,15m,0.0004339394268528954,0.9848255292426461,0.9848255292426461,2269.5,3.0,17.839683777349382,17.839683777349382,98.48255292426461,0.01,17.839683777349382,"ENTRY BTCUSDT: notional=17.839684, capital=98.48, units=0.000434, risk_amount=0.9848, trade_risk=0.9848",False,98.48255292426461,BTCUSDT,1,1000.0,50.0,0.0,50.0,41111.0,39723.0,43380.5,0,0.0,0.5606870161849368,True,True,0,False,41110.015174470755,8,480,2022-01-21 01:00:00,39725.3504803556,0.5521788874538104,take_profit,TP,99.03473181171842,
SHORT,23.445,,0.367232,,21.475348941514707,0.5530473591786214,TREND,35.7878,0.4896,16.9949,39.752,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,0.6899999999999977,,,BOS,False,,,25.585,2022-01-21 00:30:00,2.5,momentum,momentum,NONE,False,momentum,,BELOW,0.9848255292426461,15m,0.23009942272024436,0.9848255292426461,0.9848255292426461,2.1400000000000006,3.0,10.789361931352259,10.789361931352259,98.48255292426461,0.01,5.394680965676129,"ENTRY DOTUSDT: notional=10.789362, capital=98.48, units=0.460199, risk_amount=0.9848, trade_risk=0.9848",False,98.48255292426461,DOTUSDT,21,3.5437749087230648,4.3256392868654014,0.0,4.3256392868654014,23.445,19.185,25.585,0,0.2118200205981762,0.5530473591786214,True,True,1,True,22.460174470757355,9,480,2022-01-21 21:00:00,21.475348941514707,0.6505651684984217,take_profit,TP,100.98024241920194,
