direction,entry,entry_level,zone_size_at_entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,confidence_bucket,position_size_multiplier,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_type,zone_entry_type,htf_filter_variant,htf_filter_applied,entry_mode,candles_since_bos,ema_position,initial_risk,mtf_tf,position_size,risk_amount,requested_size,actual_size,trade_risk,capital_before_entry,risk_percent,allocated_capital,log_message,sizing_warning,capital_after_entry,symbol,bars_alive,max_r,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,realized_pnl,realized_r,mfe_valid,mae_valid,partial_tp_hits,tp1_taken,tp1_price,signal_id,entry_bar_index,exit_time,exit_price,pnl,exit_reason,exit_type,capital_after_exit
SHORT,19.76,,0.213214,,19.38,0.3725490196078458,TREND,33.8633,0.2843,9.2965,40.201,4.0,4_to_5,1.0,BEARISH_BOS,True,,,0.3099999999999987,,,BOS,True,,,20.78,2022-01-30 20:00:00,2.5,momentum,momentum,NONE,False,momentum,,ABOVE,1.0199999999999996,15m,5.965106073606583,18.253224585236136,353.61148804339825,117.87049601446608,6.084408195078712,117.87049601446608,0.2,117.87049601446608,"⚠️ ENTRY FILUSDT: requested_size=353.6115, actual_size=117.8705, available=117.8705, units=5.965106, trade_risk=6.0844 (requested > available, capped)",True,0.0,FILUSDT,13,0.6274509803921576,0.8235294117647061,0.2941176470588209,0.8235294117647061,20.06,18.92,20.78,0,0.0,0.3725490196078458,True,True,0,False,18.740000000000002,7,716,2022-01-31 09:00:00,19.38,2.2667403079705166,take_profit,TP,120.1372363224366
SHORT,155.95,,2.051786,,153.25,0.362416107382548,TREND,37.7016,2.7357,14.8825,39.1645,3.0,3_to_4,0.5,,True,,,1.9499999999999886,,,BOS,True,,,163.4,2022-02-02 22:00:00,2.5,momentum,,NONE,False,momentum,3.0,BELOW,7.450000000000017,,0.7703573986690389,12.01372363224366,251.48190610045563,120.1372363224366,5.739162620084352,120.1372363224366,0.2,120.1372363224366,"⚠️ ENTRY AAVEUSDT: requested_size=251.4819, actual_size=120.1372, available=120.1372, units=0.770357, trade_risk=5.7392 (requested > available, capped)",True,0.0,AAVEUSDT,2,0.6375838926174482,0.7449664429530162,0.0,0.7449664429530162,155.95,150.4,163.4,0,0.0,0.362416107382548,True,True,0,False,148.49999999999997,8,790,2022-02-03 00:00:00,153.25,2.079964976406396,take_profit,TP,122.21720129884301
SHORT,68.405,3.0,1.048125,,67.63,0.19795657726692395,TREND,39.1778,1.3975,12.8546,24.4314,3.5,3_to_4,0.5,,False,SWEEP_LOW,,0.6650000000000063,,,BOS,False,,,72.32,2022-02-03 06:00:00,2.5,momentum,full,NONE,False,momentum,3.0,BELOW,3.914999999999992,15m,1.786670584004722,12.221720129884302,213.54451225663792,122.21720129884301,6.994815336378472,122.21720129884301,0.2,122.21720129884301,"⚠️ ENTRY AVAXUSDT: requested_size=213.5445, actual_size=122.2172, available=122.2172, units=1.786671, trade_risk=6.9948 (requested > available, capped)",True,0.0,AVAXUSDT,9,0.7241379310344863,0.8735632183908069,0.08301404853129081,0.8735632183908069,68.73,64.985,72.32,0,0.0,0.19795657726692395,True,True,0,False,64.49000000000001,9,798,2022-02-03 15:00:00,67.63,1.3846697026036696,take_profit,TP,123.60187100144668
SHORT,2663.0,1.0,24.361607,,2620.4,1.3114915599668642,TREND,31.4818,32.4821,15.9868,23.7493,3.5,3_to_4,0.5,BEARISH_BOS,False,,,45.40000000000009,,,BOS,False,,,2682.25,2022-02-03 16:00:00,2.5,zone,full,NONE,False,zone,,BELOW,32.48210000000017,15m,0.046414521592732516,4.522923395481914,370.80561300434005,123.60187100144668,1.5076411318273049,123.60187100144668,0.2,123.60187100144668,"⚠️ ENTRY ETHUSDT: requested_size=370.8056, actual_size=123.6019, available=123.6019, units=0.046415, trade_risk=1.5076 (requested > available, capped)",True,0.0,ETHUSDT,1,1.1098420360752534,1.908743584928304,0.0,1.908743584928304,2663.0,2601.0,2695.4821,0,0.0,1.3114915599668642,True,True,0,False,2630.5179,10,808,2022-02-03 17:00:00,2620.4,1.977258619850401,take_profit,TP,125.57912962129708
LONG,424.15,1.0,3.289286,,433.35,1.1666666666666723,TREND,30.9465,4.3857,34.8534,9.3648,4.0,4_to_5,1.0,BULLISH_BOS,True,,,7.5,,,BOS,True,,410.35,,2022-02-07 04:00:00,2.5,zone,full,NONE,False,zone,,ABOVE,13.799999999999955,15m,0.1480362249455347,12.257399425490235,376.7373888638913,125.57912962129708,4.085799808496744,125.57912962129708,0.2,62.78956481064854,"⚠️ ENTRY BNBUSDT: requested_size=376.7374, actual_size=125.5791, available=125.5791, units=0.296072, trade_risk=4.0858 (requested > available, capped)",True,0.0,BNBUSDT,28,1.2355072463768164,1.5181159420289938,0.20289855072463506,1.5181159420289938,445.1,421.35,410.35,0,2.042899904248372,1.1666666666666723,True,True,1,True,437.94999999999993,11,892,2022-02-08 08:00:00,433.35,3.404833173747298,take_profit,TP,104.47755356558724
LONG,437.7,1.0,3.289286,,433.35,0.11160714285714551,TREND,30.9465,4.3857,34.8534,9.3648,4.0,4_to_5,1.0,BULLISH_BOS,True,,,7.5,,,BOS,True,,410.35,,2022-02-07 15:00:00,2.5,zone,full,NONE,False,zone,,ABOVE,11.199999999999989,15m,0.06065640651977498,12.153309869447764,194.49739414469076,26.54930913370551,1.6589527183158437,64.83246471489691,0.2,26.54930913370551,"⚠️ SCALE-IN BNBUSDT L1: requested_size=194.4974, actual_size=64.8325, available=64.8325, units=0.148121, trade_risk=1.6590 (requested > available, capped)",True,38.28315558119141,BNBUSDT,17,0.31250000000000033,0.6607142857142895,1.0133928571428552,0.6607142857142895,445.1,426.35,410.35,1,2.042899904248372,0.11160714285714551,True,True,1,True,437.94999999999993,11,892,2022-02-08 08:00:00,433.35,1.779044535887353,take_profit,TP,132.80590723518011
SHORT,11.812,,0.235875,,11.969,-0.1508165225744476,TREND,36.3601,0.3145,10.7881,43.2432,4.0,4_to_5,1.0,,True,,,0.21700000000000053,,,BOS,True,,,12.853,2022-02-11 00:00:00,2.5,momentum,,NONE,False,momentum,6.0,BELOW,1.0410000000000004,15m,11.243304032778541,26.561181447036024,301.38393396002823,132.80590723518011,11.704279498122466,132.80590723518011,0.2,132.80590723518011,"⚠️ ENTRY NEARUSDT: requested_size=301.3839, actual_size=132.8059, available=132.8059, units=11.243304, trade_risk=11.7043 (requested > available, capped)",True,0.0,NEARUSDT,8,0.14985590778097863,0.280499519692603,0.1700288184438053,0.280499519692603,11.989,11.52,12.853,0,0.0,-0.1508165225744476,True,True,0,False,10.770999999999999,12,984,2022-02-11 08:00:00,11.969,-1.7651987331462313,stop_loss,trailing_stop,131.04070850203388
SHORT,19.805,3.0,0.226071,,18.765,1.618881118881117,TREND,36.7259,0.3014,8.6493,31.6351,3.0,3_to_4,0.5,,True,,,0.3150000000000013,,,BOS,True,,,20.68,2022-02-11 19:30:00,2.5,momentum,full,NONE,False,momentum,15.0,BELOW,0.9295000000000009,15m,3.308273377986213,13.104070850203389,279.21046066517255,131.04070850203388,6.150080209676376,131.04070850203388,0.2,65.52035425101694,"⚠️ ENTRY DOTUSDT: requested_size=279.2105, actual_size=131.0407, available=131.0407, units=6.616547, trade_risk=6.1501 (requested > available, capped)",True,0.0,DOTUSDT,12,1.2318450779989225,1.6783216783216754,0.0,1.6783216783216754,19.805,18.245,20.7345,0,3.075040104838188,1.618881118881117,True,True,1,True,18.8755,13,1003,2022-02-12 07:00:00,18.765,6.515644417943847,take_profit,TP,72.03599866896079
SHORT,18.7,3.0,0.226071,,19.805,-0.5,TREND,36.7259,0.3014,8.6493,31.6351,3.0,3_to_4,0.5,,True,,,0.3150000000000013,,,BOS,True,,,20.68,2022-02-11 22:00:00,2.5,momentum,full,NONE,False,momentum,15.0,BELOW,1.1050000000000004,15m,1.9334228844816836,6.859539435585514,64.78453911386318,36.15500793980748,3.8281773112737345,68.59539435585513,0.2,36.15500793980748,"SCALE-IN DOTUSDT L1: requested_size=64.7845, actual_size=64.7845, available=68.5954, units=3.464414, trade_risk=3.8282",False,32.44038641604765,DOTUSDT,84,0.5746606334841609,0.6334841628959267,1.0588235294117658,0.6334841628959267,19.87,18.0,20.7345,1,3.075040104838188,-0.5,True,True,1,True,18.8755,13,1003,2022-02-15 10:00:00,19.805,0.9386078174859267,take_profit,TP,37.093615757293406
SHORT,16.215,1.0,0.199982,,16.099,0.07196029776674909,TREND,36.6908,0.2666,5.6255,48.8615,5.0,5_plus,1.25,BEARISH_BOS,True,SWEEP_LOW,,0.5230000000000032,,,BOS,True,,,17.827,2022-02-11 23:30:00,2.5,zone,full,NONE,False,zone,,BELOW,1.6120000000000019,15m,2.0006405436970494,6.488077283209531,65.26313470672608,32.44038641604765,3.2250325564396474,32.44038641604765,0.2,32.44038641604765,"⚠️ ENTRY LINKUSDT: requested_size=65.2631, actual_size=32.4404, available=32.4404, units=2.000641, trade_risk=3.2250 (requested > available, capped)",True,0.0,LINKUSDT,10,0.21464019851116606,0.3777915632754338,0.0614143920595534,0.3777915632754338,16.314,15.606,17.827,0,0.0,0.07196029776674909,True,True,0,False,14.602999999999998,14,1007,2022-02-12 09:00:00,16.099,0.23207430306885704,take_profit,TP,104.7084593880773
