direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,timestamp,ema_position,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,exit_time,exit_price,pnl,exit_reason
LONG,551.55,,565.3,,TREND,37.3686,4.3464,37.4692,6.2449,4,BULLISH_BOS,True,,,8.5,,,BOS,True,2024-08-19 17:30:00,ABOVE,5.0,0.34425,BNBUSDT,21,1.0375586854460126,21.299999999999955,2024-08-20 14:00:00,565.3,68.75,stop_loss
LONG,522.1,,540.3,,TREND,37.6312,4.9607,29.4456,15.6947,4,BULLISH_BOS,True,,,6.850000000000023,,,BOS,True,2024-09-11 16:30:00,ABOVE,8.4375,0.580921875,BNBUSDT,23,1.634408602150529,13.950000000000045,2024-09-12 15:00:00,540.3,153.56249999999943,stop_loss
LONG,557.3,,568.6,,TREND,34.9849,5.3036,31.9192,9.899,4,BULLISH_BOS,True,,,7.649999999999977,,,BOS,True,2024-09-18 23:30:00,ABOVE,16.115624999999973,1.6026989062499972,BNBUSDT,36,1.093373493975915,16.59999999999991,2024-09-20 11:00:00,568.6,182.1065625000008,stop_loss
SHORT,576.8,,575.35,,TREND,32.251,4.2893,6.6611,44.1299,4,BEARISH_BOS,True,,,8.549999999999955,,,BOS,True,2024-09-30 02:30:00,BELOW,25.220953125000012,3.2606909247656266,BNBUSDT,25,0.4049586776859478,24.200000000000045,2024-10-01 03:00:00,575.35,36.5703820312483,stop_loss
LONG,573.55,,571.05,,TREND,33.6773,3.375,31.8519,4.6561,4,BULLISH_BOS,True,,,8.5,,,BOS,True,2024-10-07 00:30:00,ABOVE,27.04947222656243,3.4970910168111233,BNBUSDT,9,0.2966507177033534,10.449999999999932,2024-10-07 09:00:00,571.05,-67.62368056640608,stop_loss
LONG,568.5,577.25,566.5,2.58,RANGE,14.5574,5.0714,17.6056,26.0563,4,,False,SWEEP_LOW,,6.7000000000000455,,,SWEEP,False,2024-10-08 00:30:00,,23.668288198242124,1.4911021564892537,BNBUSDT,5,0.8000000000000114,2.0,2024-10-08 05:00:00,566.5,-47.33657639648425,stop_loss
SHORT,590.95,,599.6,,TREND,37.2123,3.2464,7.3707,36.1936,4,BEARISH_BOS,True,,,7.0,,,BOS,True,2024-10-22 08:30:00,BELOW,21.301459378417913,1.4666054782040732,BNBUSDT,4,0.13294797687862359,8.649999999999977,2024-10-22 12:00:00,599.6,-184.25762362331446,stop_loss
SHORT,581.05,,586.0,,TREND,39.3947,2.6643,3.8874,39.6783,3,BEARISH_BOS,True,,,4.899999999999977,,,BOS,True,2024-10-23 08:30:00,BELOW,12.08857819725219,1.0172538552987718,BNBUSDT,16,0.382636655948547,15.550000000000068,2024-10-24 00:00:00,586.0,-59.83846207639889,stop_loss
LONG,596.8,,604.0,,TREND,34.2223,3.2571,29.8246,12.8289,4,BULLISH_BOS,True,,,2.699999999999932,,,BOS,True,2024-10-28 20:15:00,ABOVE,9.096655093432245,0.9046623490418367,BNBUSDT,23,1.6117647058823583,8.5,2024-10-29 19:00:00,604.0,65.49591667271258,stop_loss
LONG,643.2,,660.5,,TREND,32.9642,6.7179,36.9484,12.5997,4,BULLISH_BOS,True,,,17.200000000000045,,,BOS,True,2024-11-23 01:30:00,ABOVE,12.371450927067874,1.5994430331059701,BNBUSDT,15,1.3387755102040797,24.5,2024-11-23 16:00:00,660.5,214.02610103827365,stop_loss
