direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_mode,candles_since_bos,ema_position,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_price_since_entry,min_price_since_entry,exit_time,exit_price,pnl,exit_reason,mtf_tf
SHORT,10.352,,10.46,-0.9191489361702195,TREND,32.3136,0.1175,14.2857,36.3526,3.0,,True,,,0.041999999999999815,,,BOS,True,,,10.46,2023-05-10 03:00:00,1,momentum,12.0,BELOW,4.874236681260341,1.5597557380033091,ATOMUSDT,9,0.7659574468085113,0.11749999999999972,1.3021276595744753,2.799999999999997,10.681,10.199,2023-05-10 12:00:00,10.46,-0.5264175615761195,stop_loss,
SHORT,10.868,10.7069,10.9486,-1.0,RANGE,20.2667,0.0806,23.1383,21.0993,3.0,,False,SWEEP_HIGH,,0.20000000000000107,,,SWEEP,False,10.9486,,,2023-05-16 21:00:00,1,,,,4.847915803181535,1.551333057018091,ATOMUSDT,3,0.18610421836228888,0.08060000000000045,0.3846153846153897,1.0794044665012315,10.955,10.837,2023-05-17 00:00:00,10.9486,-0.3907420137364339,stop_loss,
SHORT,10.609,,10.336,1.0111111111111115,TREND,30.6432,0.0574,12.2042,37.858,3.5,BEARISH_BOS,False,,,0.21199999999999974,,,BOS,False,,,10.879,2023-05-31 04:00:00,1,zone,,BELOW,4.828378702494714,1.6416487588482025,ATOMUSDT,29,1.4185185185185174,0.2699999999999996,1.4333333333333373,0.13333333333333203,10.645,10.222,2023-06-01 09:00:00,10.336,1.3181473857810553,stop_loss,
LONG,10.616,,10.592,-0.06486486486486266,TREND,39.8377,0.0615,40.9988,13.2404,3.5,BULLISH_BOS,False,,,0.0600000000000005,,,BOS,False,,10.246,,2023-06-02 15:00:00,1,zone,,ABOVE,4.49745206596347,1.6640572644064806,ATOMUSDT,9,0.07837837837837831,0.3699999999999992,0.12702702702702892,0.17027027027026748,10.663,10.553,2023-06-03 00:00:00,10.592,-0.10793884958311939,stop_loss,
LONG,10.694,,10.725,0.4626865671641601,TREND,37.8069,0.0433,35.1485,12.5413,5.0,BULLISH_BOS,True,,,0.014000000000001123,,,BOS,True,,10.627,,2023-06-03 23:00:00,1,zone,,ABOVE,4.88888912930461,1.955555651721844,ATOMUSDT,25,2.089552238805947,0.06700000000000017,2.238805970149227,0.6268656716418132,10.844,10.652,2023-06-05 00:00:00,10.725,0.1515555630084371,stop_loss,
SHORT,9.45,,7.946,8.594285714285677,TREND,31.9659,0.0676,18.8161,33.4038,3.5,BEARISH_BOS,False,,,0.12099999999999866,,,BOS,False,,,9.625,2023-06-08 16:00:00,1,zone,,BELOW,4.896466907455032,1.664798748534711,ATOMUSDT,49,9.428571428571388,0.1750000000000007,13.6571428571428,0.4171428571428577,9.523,7.06,2023-06-10 17:00:00,7.946,7.364286228812366,stop_loss,
LONG,9.187,,9.089,-0.38281249999999567,TREND,37.66,0.1213,30.8598,5.477,3.5,BULLISH_BOS,False,,,0.1869999999999994,,,BOS,False,,8.931,,2023-06-22 00:00:00,1,zone,,ABOVE,5.26468121889565,1.7899916144245211,ATOMUSDT,14,0.7656249999999982,0.2560000000000002,0.8671875000000043,0.8320312499999961,9.409,8.974,2023-06-22 14:00:00,9.089,-0.5159387594517684,stop_loss,
LONG,9.363,,9.219,-1.0,TREND,32.8663,0.0773,21.2569,15.9889,5.0,BULLISH_BOS,True,,,0.0730000000000004,,,BOS,True,,9.219,,2023-06-27 07:00:00,1,zone,,ABOVE,5.238884280923062,2.0955537123692247,ATOMUSDT,8,0.16666666666667285,0.14400000000000013,0.5625000000000084,1.0694444444444429,9.444,9.209,2023-06-27 15:00:00,9.219,-0.7543993364529217,stop_loss,
LONG,9.361,,9.252,-0.7171052631578898,TREND,39.024,0.0734,21.4981,12.5486,3.0,,True,,,0.03599999999999959,,,BOS,True,,9.209,,2023-06-27 22:00:00,1,momentum,15.0,ABOVE,5.201164314100416,1.664372580512133,ATOMUSDT,9,0.3749999999999883,0.15200000000000102,0.4539473684210434,1.493421052631571,9.43,9.134,2023-06-28 07:00:00,9.252,-0.5669269102369453,stop_loss,
LONG,9.214,,9.126,-1.0,TREND,36.7324,0.0671,23.1097,7.0288,3.5,BULLISH_BOS,False,,,0.09499999999999886,,,BOS,False,,9.126,,2023-06-29 09:00:00,1,zone,,BELOW,5.172817968588569,1.7587581093201134,ATOMUSDT,10,2.14772727272725,0.08800000000000097,2.4545454545454195,1.36363636363636,9.43,9.094,2023-06-29 19:00:00,9.126,-0.45520798123579903,stop_loss,
