direction,entry,entry_level,zone_size_at_entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,confidence_bucket,position_size_multiplier,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_type,zone_entry_type,htf_filter_variant,htf_filter_applied,entry_mode,candles_since_bos,ema_position,position_size,risk_amount,capital_before_entry,trade_risk,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,signal_id,exit_time,exit_price,pnl,exit_reason,exit_type,mtf_tf
SHORT,128.425,,2.101339,,124.095,0.2774751682153166,TREND,32.9488,2.8018,19.4264,44.2065,4.0,4_to_5,1.0,BEARISH_BOS,True,,,3.2700000000000102,,,BOS,True,,,144.03,2022-01-21 00:30:00,2.5,momentum,momentum,NONE,False,momentum,,BELOW,0.06274282817411642,0.979101833657086,97.9101833657086,0.979101833657086,SOLUSDT,16,0.6693367510413338,15.60499999999999,0.8250560717718695,0.0,0.8250560717718695,128.425,115.55,144.03,0,13,2022-01-21 16:00:00,124.095,0.2716764459939249,stop_loss,trailing_stop,15m
SHORT,41075.0,1.0,399.053571,,35850.0,2.2663196703535027,TREND,39.9816,532.0714,23.285,39.0254,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,810.0,,,BOS,False,,,43380.5,2022-01-21 00:30:00,2.5,zone,full,NONE,False,zone,,BELOW,0.00021234045405705619,0.489550916828543,97.9101833657086,0.489550916828543,BTCUSDT,37,2.7224029494686617,2305.5,3.08609846020386,0.0,3.08609846020386,41075.0,33960.0,43380.5,0,9,2022-01-22 13:00:00,35850.0,1.1094788724481186,stop_loss,trailing_stop,15m
SHORT,23.4,,0.367232,,19.155,1.9427917620137267,TREND,35.7878,0.4896,16.9949,39.752,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,0.6899999999999977,,,BOS,False,,,25.585,2022-01-21 00:30:00,2.5,momentum,momentum,NONE,False,momentum,,BELOW,0.22405076285059153,0.489550916828543,97.9101833657086,0.489550916828543,DOTUSDT,37,2.9084668192219634,2.1850000000000023,3.3729977116704757,0.0,3.3729977116704757,23.4,16.03,25.585,0,10,2022-01-22 13:00:00,19.155,0.9510954883007605,stop_loss,trailing_stop,15m
SHORT,3027.45,1.0,38.196429,,2430.6,2.44060519321202,TREND,36.0235,50.9286,19.3128,40.1262,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,88.20000000000027,,,BOS,False,,,3272.0,2022-01-21 00:30:00,2.5,zone,full,NONE,False,zone,,BELOW,0.002001843863539328,0.489550916828543,97.9101833657086,0.489550916828543,ETHUSDT,40,2.6248210999795507,244.55000000000018,2.991003884686155,0.0,2.991003884686155,3027.45,2296.0,3272.0,0,11,2022-01-22 16:00:00,2430.6,1.1948005099534476,stop_loss,trailing_stop,15m
SHORT,15.65,,0.335464,,11.333,2.29627659574468,TREND,34.7682,0.4473,15.107,38.5819,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,0.5800000000000001,,,BOS,False,,,17.53,2022-01-21 00:30:00,2.5,momentum,momentum,NONE,False,momentum,,BELOW,0.26039942384496956,0.489550916828543,97.9101833657086,0.489550916828543,NEARUSDT,40,2.6409574468085095,1.8800000000000008,2.9648936170212754,0.0,2.9648936170212754,15.65,10.076,17.53,0,12,2022-01-22 16:00:00,11.333,1.1241443127387336,stop_loss,trailing_stop,15m
SHORT,376.1,,,363.3929,384.57140000000004,-1.0,RANGE,21.0983,8.4714,30.6492,15.8938,3.0,3_to_4,0.5,,False,SWEEP_HIGH,,5.0499999999999545,,,SWEEP,False,376.15,,,2022-01-23 05:45:00,2.5,zone,,NONE,False,,,,0.06053390171349682,0.512806894975718,102.5613789951436,0.512806894975718,BNBUSDT,4,0.005902212149114818,8.471400000000017,0.3187194560521331,1.4283353400854573,0.3187194560521331,388.2,373.4,384.57140000000004,0,14,2022-01-23 09:00:00,384.57140000000004,-0.512806894975718,stop_loss,SL,15m
SHORT,82.93,,2.3625,,94.27,-0.5946512847404296,TREND,32.8239,3.15,14.6485,34.4218,5.0,5_plus,1.25,BEARISH_BOS,True,,,3.4299999999999926,,,BOS,True,,,102.0,2022-01-24 10:30:00,2.5,momentum,momentum,NONE,False,momentum,,BELOW,0.06689077877567379,1.2756071512520986,102.04857210016787,1.2756071512520986,SOLUSDT,10,0.05663345568956544,19.069999999999993,0.11431567907708483,0.7081803880440483,0.11431567907708483,96.435,80.75,102.0,0,16,2022-01-24 20:00:00,94.27,-0.75854143131614,stop_loss,trailing_stop,15m
SHORT,17.21,1.0,0.346607,,18.4,-0.49377593360995753,TREND,31.2955,0.4621,15.3014,36.1669,4.0,4_to_5,1.0,BEARISH_BOS,True,,,0.5899999999999999,,,BOS,True,,,19.62,2022-01-24 10:30:00,2.5,zone,full,NONE,False,zone,,BELOW,0.42343805850692057,1.0204857210016787,102.04857210016787,1.0204857210016787,FILUSDT,13,0.10373443983402489,2.41,0.1701244813278009,0.6224066390041494,0.1701244813278009,18.71,16.8,19.62,0,15,2022-01-24 23:00:00,18.4,-0.5038912896232345,stop_loss,trailing_stop,15m
SHORT,10.845,,,10.3611,11.1676,-1.0,RANGE,20.5067,0.3226,21.1202,14.4565,3.0,3_to_4,0.5,,False,SWEEP_HIGH,,0.3520000000000003,,,SWEEP,False,11.076,,,2022-01-25 12:30:00,2.5,zone,,NONE,False,,,,1.5620914348919501,0.5039306968961424,100.78613937922849,0.5039306968961424,NEARUSDT,2,0.5145691258524507,0.32259999999999955,1.0384376937383797,1.109733415995038,1.0384376937383797,11.203,10.51,11.1676,0,17,2022-01-25 14:00:00,11.1676,-0.5039306968961424,stop_loss,SL,15m
LONG,0.2251,,0.001907,,0.22285,-0.4245283018867929,TREND,36.8062,0.0025,37.5,8.1461,4.0,4_to_5,1.0,,True,SWEEP_HIGH,,0.0014500000000000068,,,BOS,True,,0.2198,,2022-01-30 05:45:00,2.5,momentum,,NONE,False,momentum,9.0,ABOVE,5.014110434116617,1.0028220868233233,100.28220868233234,1.0028220868233233,HBARUSDT,3,0.0,0.005299999999999999,0.12264150943396449,0.5660377358490571,0.12264150943396449,0.22575,0.2221,0.2198,0,18,2022-01-30 08:00:00,0.22285,-0.011281748476762398,stop_loss,trailing_stop,15m
