direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,exit_time,exit_price,pnl,exit_reason,ema_position
SHORT,576.8,,575.35,0.05991735537189789,TREND,32.251,4.2893,6.6611,44.1299,4,BEARISH_BOS,True,,,8.549999999999955,,,BOS,True,,,601.0,2024-09-30 02:30:00,0.08040256098398317,1.9457419758123964,BNBUSDT,25,0.4049586776859478,24.200000000000045,2024-10-01 03:00:00,575.35,0.11658371342677011,stop_loss,BELOW
LONG,573.55,,571.05,-0.2392344497607671,TREND,33.6773,3.375,31.8519,4.6561,4,BULLISH_BOS,True,,,8.5,,,BOS,True,,563.1,,2024-10-07 00:30:00,0.18639621843579815,1.947840482654078,BNBUSDT,9,0.2966507177033534,10.449999999999932,2024-10-07 09:00:00,571.05,-0.46599054608949536,stop_loss,ABOVE
LONG,568.5,577.25,566.5,-1.0,RANGE,14.5574,5.0714,17.6056,26.0563,4,,False,SWEEP_LOW,,6.7000000000000455,,,SWEEP,False,566.5,,,2024-10-08 00:30:00,0.9697263264122336,1.939452652824467,BNBUSDT,5,0.8000000000000114,2.0,2024-10-08 05:00:00,566.5,-1.939452652824467,stop_loss,
LONG,586.9,,587.0,0.012903225806454546,TREND,34.0535,3.9536,34.598,15.8988,4,BULLISH_BOS,True,,,3.3500000000000227,,,BOS,True,,579.15,,2024-10-14 15:30:00,0.2457474200095002,1.9045425050736267,BNBUSDT,12,0.5999999999999971,7.75,2024-10-15 03:00:00,587.0,0.024574742000955607,stop_loss,ABOVE
SHORT,590.95,,599.6,-1.0,TREND,37.2123,3.2464,7.3707,36.1936,4,BEARISH_BOS,True,,,7.0,,,BOS,True,,,599.6,2024-10-22 08:30:00,0.22022946247741604,1.9049848504296436,BNBUSDT,4,0.13294797687862359,8.649999999999977,2024-10-22 12:00:00,599.6,-1.9049848504296438,stop_loss,BELOW
SHORT,581.05,,586.0,-0.31832797427652887,TREND,39.3947,2.6643,3.8874,39.6783,3,BEARISH_BOS,True,,,4.899999999999977,,,BOS,True,,,596.6,2024-10-23 08:30:00,0.1069350552695621,1.6628401094416978,BNBUSDT,16,0.382636655948547,15.550000000000068,2024-10-24 00:00:00,586.0,-0.5293285235843372,stop_loss,BELOW
LONG,593.45,,592.3,-0.05476190476190909,TREND,31.221,3.7,32.4324,11.0039,4,BULLISH_BOS,True,,,2.0,,,BOS,True,,572.45,,2024-10-24 05:45:00,0.08862700998559009,1.861167209697392,BNBUSDT,23,0.14285714285714285,21.0,2024-10-25 04:00:00,592.3,-0.10192106148343666,stop_loss,ABOVE
LONG,596.8,,604.0,0.8470588235294171,TREND,34.2223,3.2571,29.8246,12.8289,4,BULLISH_BOS,True,,,2.699999999999932,,,BOS,True,,588.3,,2024-10-28 20:15:00,0.2187450153636106,1.85933263059069,BNBUSDT,23,1.6117647058823583,8.5,2024-10-29 19:00:00,604.0,1.5749641106180063,stop_loss,ABOVE
LONG,643.2,,660.5,0.70612244897959,TREND,32.9642,6.7179,36.9484,12.5997,4,BULLISH_BOS,True,,,17.200000000000045,,,BOS,True,,618.7,,2024-11-23 01:30:00,0.07704824426864548,1.8876819845818142,BNBUSDT,15,1.3387755102040797,24.5,2024-11-23 16:00:00,660.5,1.3329346258475634,stop_loss,ABOVE
LONG,649.15,,646.15,-0.14319809069212458,TREND,34.4817,8.2679,28.3801,10.2808,4,BULLISH_BOS,True,,,8.299999999999955,,,BOS,True,,628.2,,2024-12-03 00:15:00,0.09124939416931153,1.9116748078470704,BNBUSDT,12,0.3508353221957063,20.949999999999932,2024-12-03 12:00:00,646.15,-0.2737481825079346,stop_loss,ABOVE
LONG,673.6,,744.65,1.3986220472440918,TREND,36.2541,10.25,32.4739,22.1951,4,BULLISH_BOS,True,,,19.75,,,BOS,True,,622.8,,2024-12-03 18:30:00,0.03753439646775443,1.9067473405619275,BNBUSDT,22,2.1948818897637765,50.80000000000007,2024-12-04 16:00:00,744.65,2.6668188690339507,stop_loss,ABOVE
LONG,24.767,,25.163,0.19780219780219832,TREND,39.9628,0.5025,25.3447,17.4129,4,BULLISH_BOS,True,,,0.7640000000000029,,,BOS,True,,22.765,,2024-12-06 19:30:00,0.976398641460809,1.9547500802045386,LINKUSDT,14,0.9350649350649355,2.001999999999999,2024-12-07 09:00:00,25.163,0.3866538620184811,stop_loss,ABOVE
LONG,17.591,,17.357,-0.14173228346456787,TREND,32.6015,0.4763,33.3233,8.6083,4,BULLISH_BOS,True,,,0.5529999999999973,,,BOS,True,,15.94,,2024-12-06 18:00:00,1.1839794549997193,1.9547500802045386,UNIUSDT,18,0.40763173834039834,1.6510000000000016,2024-12-07 12:00:00,17.357,-0.2770511924699364,stop_loss,ABOVE
LONG,0.366,,0.3277,-0.4232044198895029,TREND,30.605,0.0143,48.1133,10.2454,4,BULLISH_BOS,True,,,0.04716999999999999,,,BOS,True,,0.2755,,2024-12-06 22:00:00,5.429861333901496,1.9547500802045386,HBARUSDT,21,0.021436464088397767,0.09049999999999997,2024-12-07 19:00:00,0.3277,-0.20796368908842727,stop_loss,ABOVE
LONG,1.1975,1.2187,1.19288,-1.0,RANGE,14.9024,0.0154,14.7959,24.2115,5,BEARISH_BOS,False,SWEEP_LOW,,0.01750000000000007,,,SWEEP,False,1.1929,,,2024-12-08 06:00:00,5.4249432829245015,2.1699773131698006,ADAUSDT,2,1.2554112554112427,0.0046200000000000685,2024-12-08 08:00:00,1.19288,-0.02506323796711157,stop_loss,
LONG,51.185,53.17,50.99696,-1.0,RANGE,18.19,0.6268,13.9031,25.5271,4,BEARISH_BOS,False,SWEEP_LOW,,0.6499999999999986,,,SWEEP,False,51.152,,,2024-12-08 06:30:00,5.4249432829245015,1.9529795818528206,AVAXUSDT,2,2.2335673261007907,0.18804000000000087,2024-12-08 08:00:00,50.99696,-1.020106334921128,stop_loss,
LONG,0.458,,0.4488,-0.60526315789474,TREND,35.9293,0.0073,32.5886,11.752,4,BULLISH_BOS,True,,,0.008499999999999952,,,BOS,True,,0.4428,,2024-12-07 16:00:00,5.435341467378922,1.9567229282564123,DOGEUSDT,17,1.1138157894736849,0.015199999999999991,2024-12-08 09:00:00,0.4488,-0.05000514149988631,stop_loss,ABOVE
LONG,1.1805,1.2187,1.1569,1.6186440677965968,RANGE,15.5815,0.0157,16.5683,26.1462,4,BEARISH_BOS,False,SWEEP_LOW,,0.025500000000000078,,,SWEEP,False,1.1569,,,2024-12-08 08:00:00,5.372684804280089,1.9341665295408321,ADAUSDT,3,1.1906779661016829,0.023600000000000065,2024-12-08 11:00:00,1.2187,0.20523655952349829,take_profit,
LONG,1.1743,1.2221,1.16977,-1.0,RANGE,19.3412,0.0151,17.9717,28.3019,4,BEARISH_BOS,False,SWEEP_LOW,,0.028900000000000148,,,SWEEP,False,1.1698,,,2024-12-09 00:00:00,5.38044637518127,1.9369606950652574,ADAUSDT,1,0.0,0.004529999999999923,2024-12-09 01:00:00,1.16977,-0.024373422079570738,stop_loss,
LONG,2.4886,2.6243,2.47375,-1.0,RANGE,22.1898,0.0495,26.1723,29.2454,4,BEARISH_BOS,False,SWEEP_LOW,,0.16989999999999972,,,SWEEP,False,2.4784,,,2024-12-09 00:30:00,5.38044637518127,1.9369606950652574,XRPUSDT,2,1.0168350168350075,0.01485000000000003,2024-12-09 02:00:00,2.47375,-0.07989962867144203,stop_loss,
SHORT,124.49,,112.91,0.9422294548413338,TREND,30.082,2.2771,11.857,41.8758,4,BEARISH_BOS,True,,,3.210000000000008,,,BOS,True,,,136.78,2024-12-09 08:00:00,0.15745189423529196,1.935083780151739,LTCUSDT,21,1.4117168429617564,12.290000000000006,2024-12-10 05:00:00,112.91,1.8232929352446807,stop_loss,BELOW
SHORT,8.555,,7.531,1.0733752620545067,TREND,35.0738,0.1728,8.3506,43.241,4,BEARISH_BOS,True,,,0.3249999999999993,,,BOS,True,,,9.509,2024-12-09 08:00:00,2.028389706658006,1.935083780151739,AXSUSDT,25,1.373165618448636,0.9540000000000006,2024-12-10 09:00:00,7.531,2.0770710596177984,stop_loss,BELOW
LONG,99310.9,101961.0,99038.84287,9.740968744322178,RANGE,17.332,906.8571,18.2443,22.9687,3,,False,SWEEP_LOW,,954.0,,,SWEEP,False,99038.8429,,,2024-12-13 01:45:00,0.006551860247749397,1.7824802951637897,BTCUSDT,24,10.523892536835902,272.05713000000105,2024-12-14 01:00:00,101961.0,17.363084842560717,take_profit,
LONG,53.54,,52.03,-0.5252173913043471,TREND,31.35,0.8918,20.5847,7.8494,5,BULLISH_BOS,True,SWEEP_HIGH,,0.7950000000000017,,,BOS,True,,50.665,,2024-12-14 01:30:00,0.8957781098455484,2.5753620658059515,AVAXUSDT,11,0.0,2.875,2024-12-14 12:00:00,52.03,-1.3526249458667763,stop_loss,ABOVE
SHORT,523.4,,534.0,-0.3785714285714294,TREND,35.5931,6.3214,13.3333,25.9887,4,BEARISH_BOS,True,,,9.399999999999977,,,BOS,True,,,551.4,2024-12-14 13:00:00,0.08190995036427695,2.2934786101997546,BCHUSDT,10,0.09999999999999838,28.0,2024-12-14 23:00:00,534.0,-0.8682454738613375,stop_loss,BELOW
SHORT,119.67,,120.18,-0.12259615384615517,TREND,37.9094,1.595,11.33,23.4662,3,BEARISH_BOS,True,,,2.319999999999993,,,BOS,True,,,123.83,2024-12-14 12:00:00,0.49005953209396497,2.0386476535108926,LTCUSDT,26,1.0288461538461549,4.159999999999997,2024-12-15 14:00:00,120.18,-0.24993036136792465,stop_loss,BELOW
