direction,entry,entry_level,zone_size_at_entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,confidence_bucket,position_size_multiplier,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_type,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,signal_id,exit_time,exit_price,pnl,exit_reason,exit_type,entry_mode,candles_since_bos,ema_position,mtf_tf
LONG,16.4347,1.0,0.045661,,16.061,-1.0,TREND,36.3313,0.1826,27.1803,19.9844,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.32399999999999807,,,BOS,False,,16.061,,2022-01-13 14:00:00,2.5,zone,1.3812897755114424,0.5161879891086253,UNIUSDT,1,0.0,0.3736999999999995,0.3299438051913315,1.644902328070645,0.3299438051913315,16.558,15.82,16.061,0,8,2022-01-13 15:00:00,16.061,-0.5161879891086253,stop_loss,SL,zone,,ABOVE,
LONG,39.4,,,40.5598,38.6268,-1.0,RANGE,18.6798,0.7732,22.8176,24.9885,4.0,4_to_5,1.0,BEARISH_BOS,False,SWEEP_LOW,,2.239999999999995,,,SWEEP,False,38.6268,,,2022-01-13 15:00:00,2.5,zone,1.3285231483783888,1.0272140983261644,ATOMUSDT,2,0.14226590791515784,0.7731999999999957,0.7436627004656053,1.1575271598551489,0.7436627004656053,39.975,38.505,38.6268,0,9,2022-01-13 17:00:00,38.6268,-1.0272140983261644,stop_loss,SL,,,,
LONG,93.185,,,95.03915,91.94890000000001,-1.0,RANGE,12.2825,1.2361,26.5819,30.1069,4.0,4_to_5,1.0,BEARISH_BOS,False,SWEEP_LOW,,4.295000000000002,,,SWEEP,False,92.2389,,,2022-01-13 15:30:00,2.5,zone,0.8310121335864169,1.0272140983261644,AVAXUSDT,2,0.35595825580454665,1.2360999999999933,1.0638297872340465,1.541137448426512,1.0638297872340465,94.5,91.28,91.94890000000001,0,10,2022-01-13 17:00:00,91.94890000000001,-1.0272140983261644,stop_loss,SL,,,,15m
SHORT,25.92,1.0,0.100804,,27.46,-1.0,TREND,33.672,0.4032,11.9575,39.6811,3.5,3_to_4,0.5,BEARISH_BOS,False,,,0.3450000000000024,,,BOS,False,,,27.46,2022-01-13 23:30:00,2.5,zone,0.3268408494674161,0.5033349081798205,DOTUSDT,3,0.0,1.5399999999999991,0.25000000000000117,1.123376623376622,0.25000000000000117,27.65,25.535,27.46,0,12,2022-01-14 02:00:00,27.46,-0.5033349081798205,stop_loss,SL,zone,,BELOW,15m
SHORT,0.7758,1.0,0.001929,,0.7733,0.1101321585903112,TREND,30.254,0.0077,16.6667,37.5,3.5,3_to_4,0.5,BEARISH_BOS,False,,,0.027100000000000013,,,BOS,False,,,0.7985,2022-01-13 15:30:00,2.5,zone,5.1360704916308215,0.5136070491630822,XRPUSDT,13,0.4273127753303994,0.022699999999999942,0.6519823788546287,0.21145374449338888,0.6519823788546287,0.7806,0.761,0.7985,0,11,2022-01-14 04:00:00,0.7733,0.01284017622907735,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,145.305,1.0,0.579018,,148.61,-0.5683576956147908,TREND,39.2286,2.3161,14.6184,36.7772,3.5,3_to_4,0.5,BEARISH_BOS,False,,,4.375,,,BOS,False,,,151.12,2022-01-14 10:30:00,2.5,zone,0.08613627420809405,0.5008824345200668,SOLUSDT,9,0.3439380911435943,5.814999999999998,0.6964746345657804,0.7626827171109207,0.6964746345657804,149.74,141.255,151.12,0,13,2022-01-14 19:00:00,148.61,-0.28468038625775144,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,0.7751,1.0,0.001855,,0.7783,-0.2119205298013232,TREND,39.5802,0.0074,20.4042,27.0452,3.5,3_to_4,0.5,BEARISH_BOS,False,,,0.017699999999999938,,,BOS,False,,,0.7902,2022-01-14 10:30:00,2.5,zone,5.008824345200668,0.5008824345200668,XRPUSDT,10,1.1721854304635793,0.015100000000000002,1.5562913907284743,0.6556291390728489,1.5562913907284743,0.785,0.7516,0.7902,0,14,2022-01-14 20:00:00,0.7783,-0.01602823790464204,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,0.7574,1.0,0.001855,,0.7783,-0.6371951219512194,TREND,39.5802,0.0074,20.4042,27.0452,3.5,3_to_4,0.5,BEARISH_BOS,False,,,0.017699999999999938,,,BOS,False,,,0.7902,2022-01-14 11:00:00,2.5,zone,5.008824345200668,0.5008824345200668,XRPUSDT,9,0.0,0.03280000000000005,0.1768292682926801,0.8414634146341471,0.1768292682926801,0.785,0.7516,0.7902,1,14,2022-01-14 20:00:00,0.7783,-0.1046844288146941,stop_loss,trailing_stop,zone,,BELOW,15m
LONG,145.68,1.0,0.550179,,145.68,0.0,TREND,34.7247,2.2007,42.0967,7.6274,3.5,3_to_4,0.5,BULLISH_BOS,False,,,5.100000000000023,,,BOS,False,,143.82,,2022-01-15 00:30:00,2.5,zone,0.22668036045584528,0.49885546925518137,LTCUSDT,12,2.0266278911255307,2.200700000000012,2.1947562139319117,0.47712091607216145,2.1947562139319117,150.51,144.63,143.4793,0,15,2022-01-15 12:00:00,145.68,0.0,stop_loss,trailing_stop,zone,,ABOVE,15m
LONG,147.08,1.0,0.550179,,145.68,-0.4294478527607354,TREND,34.7247,2.2007,42.0967,7.6274,3.5,3_to_4,0.5,BULLISH_BOS,False,,,5.100000000000023,,,BOS,False,,143.82,,2022-01-15 02:00:00,2.5,zone,0.22668036045584528,0.49885546925518137,LTCUSDT,10,0.9386503067484526,3.2600000000000193,1.0521472392637907,0.7515337423312891,1.0521472392637907,150.51,144.63,143.4793,1,15,2022-01-15 12:00:00,145.68,-0.31735250463818465,stop_loss,trailing_stop,zone,,ABOVE,15m
LONG,229.8598,1.0,2.959821,,230.55,0.09129871160612778,TREND,34.3278,3.9464,45.7014,3.5294,5.0,5_plus,1.25,BULLISH_BOS,True,,,5.449999999999989,,,BOS,True,,222.3,,2022-01-15 02:00:00,2.5,zone,0.164969797235106,1.2471386731379535,AAVEUSDT,24,1.5794333183417566,7.559799999999996,1.7646234027355208,0.2923093203523906,1.7646234027355208,243.2,227.65,222.3,0,16,2022-01-16 02:00:00,230.55,0.11386215405167087,stop_loss,trailing_stop,zone,,ABOVE,
LONG,237.95,1.0,2.959821,,230.55,-1.0,TREND,34.3278,3.9464,45.7014,3.5294,5.0,5_plus,1.25,BULLISH_BOS,True,,,5.449999999999989,,,BOS,True,,222.3,,2022-01-15 13:00:00,2.5,zone,0.164969797235106,1.2471386731379535,AAVEUSDT,13,0.520270270270275,7.399999999999977,0.7094594594594616,1.0135135135135167,0.7094594594594616,243.2,230.45,222.3,1,16,2022-01-16 02:00:00,230.55,-1.2207764995397805,stop_loss,trailing_stop,zone,,ABOVE,
LONG,3358.05,1.0,11.896429,,3304.05,-0.5504587155963282,TREND,37.4837,23.7929,29.3906,21.7052,4.0,4_to_5,1.0,BULLISH_BOS,True,,,36.80000000000018,,,BOS,True,,3259.95,,2022-01-15 15:30:00,2.5,zone,0.010137996059775507,0.994537413463981,ETHUSDT,19,0.0,98.10000000000036,0.1442405708460712,0.6630988786952083,0.1442405708460712,3372.2,3293.0,3259.95,0,18,2022-01-16 10:00:00,3304.05,-0.5474517872278774,stop_loss,trailing_stop,zone,,ABOVE,15m
LONG,43270.5,2.0,119.696429,,42790.0,-0.6791519434628975,TREND,30.3541,239.3929,26.2271,20.9458,4.0,4_to_5,1.0,BULLISH_BOS,True,,,327.5,,,BOS,True,,42563.0,,2022-01-15 15:30:00,2.5,zone,0.0014057065914685244,0.994537413463981,BTCUSDT,20,0.2890459363957597,707.5,0.719434628975265,0.6975265017667844,0.719434628975265,43779.5,42777.0,42563.0,0,17,2022-01-16 11:00:00,42790.0,-0.675442017200626,stop_loss,trailing_stop,zone,,ABOVE,15m
LONG,145.91,,,147.88895,144.5907,-1.0,RANGE,16.1845,1.3193,12.0736,29.0742,4.0,4_to_5,1.0,BEARISH_BOS,False,SWEEP_LOW,,1.789999999999992,,,SWEEP,False,144.63,,,2022-01-16 06:30:00,2.5,zone,0.7454470325241425,0.9834682700090999,LTCUSDT,5,0.265292200409304,1.3192999999999984,0.7503979383006217,1.3037216705828856,0.7503979383006217,146.9,144.19,144.5907,0,19,2022-01-16 11:00:00,144.5907,-0.9834682700091,stop_loss,SL,,,,15m
LONG,20.206,2.0,0.077964,,19.689,-1.0,TREND,35.5644,0.3119,33.1425,12.1393,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.24199999999999733,,,BOS,False,,19.689,,2022-01-16 21:30:00,2.5,zone,0.9297917304301014,0.48070232463236195,NEARUSDT,4,0.0,0.5169999999999995,0.5299806576402344,1.0947775628626684,0.5299806576402344,20.48,19.64,19.689,0,20,2022-01-17 01:00:00,19.689,-0.48070232463236195,stop_loss,SL,zone,,ABOVE,15m
LONG,1.5158,1.0,0.022554,,1.4931,-0.2858942065491172,TREND,36.8504,0.0301,40.1663,10.1188,5.0,5_plus,1.25,BULLISH_BOS,True,,,0.04259999999999997,,,BOS,True,,1.4364,,2022-01-17 06:00:00,2.5,zone,4.782988130092002,1.1957470325230004,ADAUSDT,9,0.44584382871536293,0.07940000000000014,0.5440806045340029,0.5226700251889171,0.5440806045340029,1.559,1.4743,1.4364,0,23,2022-01-17 15:00:00,1.4931,-0.10857383055308817,stop_loss,trailing_stop,zone,,ABOVE,
SHORT,143.87,1.0,1.231071,,140.35,0.7719298245614054,TREND,33.4695,1.6414,10.3351,33.5292,5.0,5_plus,1.25,BEARISH_BOS,True,,,2.3799999999999955,,,BOS,True,,,148.43,2022-01-17 03:30:00,2.5,zone,0.2622252264304824,1.1957470325230004,SOLUSDT,20,1.2521929824561415,4.560000000000002,1.484649122807019,0.030701754385961906,1.484649122807019,144.01,137.1,148.43,0,21,2022-01-17 23:00:00,140.35,0.9230327970353007,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,140.0,1.0,1.231071,,140.35,-0.08728179551122073,TREND,33.4695,1.6414,10.3351,33.5292,5.0,5_plus,1.25,BEARISH_BOS,True,,,2.3799999999999955,,,BOS,True,,,148.43,2022-01-17 17:00:00,2.5,zone,0.2622252264304824,1.1957470325230004,SOLUSDT,6,0.45885286783042584,4.009999999999991,0.7231920199501277,0.09102244389027679,0.7231920199501277,140.365,137.1,148.43,1,21,2022-01-17 23:00:00,140.35,-0.09177882925066735,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,0.7631,1.0,0.004071,,0.7653,-0.12087912087911981,TREND,30.6557,0.0054,9.6053,29.8684,5.0,5_plus,1.25,BEARISH_BOS,True,,,0.007800000000000029,,,BOS,True,,,0.7813,2022-01-17 04:30:00,2.5,zone,4.782988130092002,1.1957470325230004,XRPUSDT,20,0.5219780219780196,0.018199999999999994,0.6978021978022004,0.3791208791208802,0.6978021978022004,0.77,0.7504,0.7813,0,22,2022-01-18 00:00:00,0.7653,-0.010522573886202306,stop_loss,trailing_stop,zone,,BELOW,15m
LONG,234.8973,1.0,3.447321,,224.05,-0.7861900516767762,TREND,33.3126,4.5964,25.5633,20.0466,5.0,5_plus,1.25,BULLISH_BOS,True,,,5.550000000000011,,,BOS,True,,221.1,,2022-01-18 01:00:00,2.5,zone,0.08731048843359329,1.2046490020648173,AAVEUSDT,13,0.3625854333818937,13.797300000000007,0.47130235625810857,0.8731635899777493,0.47130235625810857,241.4,222.85,221.1,0,24,2022-01-18 14:00:00,224.05,-0.9470830611857156,stop_loss,trailing_stop,zone,,ABOVE,
