time,symbol,direction,signal_type,selected_tf,status,entry
2022-02-03 10:00:00,AVAXUSDT,SHORT,BOS,30m,accepted,66.145
2022-02-03 10:00:00,HBARUSDT,SHORT,BOS,15m,candidate,
2022-02-03 10:00:00,HBARUSDT,SHORT,BOS,15m,accepted,0.2153
2022-02-03 10:00:00,NEARUSDT,SHORT,BOS,30m,candidate,
2022-02-03 10:00:00,NEARUSDT,SHORT,BOS,30m,accepted,10.606
2022-02-03 16:00:00,ETHUSDT,SHORT,BOS,30m,candidate,
2022-02-03 16:00:00,ETHUSDT,SHORT,BOS,30m,accepted,2638.05
2022-02-07 04:00:00,AVAXUSDT,LONG,BOS,30m,candidate,
2022-02-07 04:00:00,AVAXUSDT,LONG,BOS,30m,accepted,80.8
2022-02-07 04:00:00,BNBUSDT,LONG,BOS,30m,candidate,
2022-02-07 04:00:00,BNBUSDT,LONG,BOS,30m,accepted,427.05
2022-02-07 04:00:00,DOTUSDT,LONG,BOS,30m,candidate,
2022-02-07 04:00:00,DOTUSDT,LONG,BOS,30m,accepted,22.165
2022-02-07 05:00:00,AVAXUSDT,LONG,BOS,30m,candidate,
2022-02-07 05:00:00,AVAXUSDT,LONG,BOS,30m,accepted,81.78
2022-02-07 05:00:00,BNBUSDT,LONG,BOS,30m,candidate,
2022-02-07 05:00:00,BNBUSDT,LONG,BOS,30m,accepted,428.35
2022-02-07 06:00:00,AVAXUSDT,LONG,BOS,30m,candidate,
2022-02-07 06:00:00,AVAXUSDT,LONG,BOS,30m,accepted,82.28
2022-02-07 07:00:00,LTCUSDT,LONG,BOS,30m,candidate,
2022-02-07 07:00:00,LTCUSDT,LONG,BOS,30m,accepted,128.0
2022-02-07 10:00:00,HBARUSDT,LONG,BOS,15m,candidate,
2022-02-07 10:00:00,HBARUSDT,LONG,BOS,15m,accepted,0.2618
2022-02-07 10:00:00,NEARUSDT,LONG,BOS,30m,candidate,
2022-02-07 10:00:00,NEARUSDT,LONG,BOS,30m,accepted,13.347
2022-02-07 14:00:00,SOLUSDT,LONG,BOS,30m,candidate,
2022-02-07 14:00:00,SOLUSDT,LONG,BOS,30m,accepted,118.51
2022-02-11 00:00:00,NEARUSDT,SHORT,BOS,30m,candidate,
2022-02-11 00:00:00,NEARUSDT,SHORT,BOS,30m,accepted,11.784
2022-02-11 17:00:00,DOTUSDT,SHORT,BOS,30m,candidate,
2022-02-11 17:00:00,DOTUSDT,SHORT,BOS,30m,accepted,20.305
2022-02-11 21:00:00,NEARUSDT,SHORT,BOS,30m,candidate,
2022-02-11 21:00:00,NEARUSDT,SHORT,BOS,30m,accepted,10.889
2022-02-11 22:00:00,ATOMUSDT,SHORT,BOS,1h,candidate,
2022-02-11 22:00:00,NEARUSDT,SHORT,BOS,30m,candidate,
2022-02-11 22:00:00,NEARUSDT,SHORT,BOS,30m,accepted,10.965
2022-02-11 23:00:00,ADAUSDT,SHORT,BOS,30m,candidate,
2022-02-11 23:00:00,ADAUSDT,SHORT,BOS,30m,accepted,1.0717
2022-02-11 23:00:00,ATOMUSDT,SHORT,BOS,1h,candidate,
2022-02-11 23:00:00,LINKUSDT,SHORT,BOS,30m,candidate,
2022-02-11 23:00:00,LINKUSDT,SHORT,BOS,30m,accepted,16.044
2022-02-11 23:00:00,SOLUSDT,SHORT,BOS,30m,candidate,
2022-02-11 23:00:00,UNIUSDT,SHORT,BOS,1h,candidate,
2022-02-12 00:00:00,ATOMUSDT,SHORT,BOS,1h,candidate,
2022-02-12 00:00:00,HBARUSDT,SHORT,BOS,15m,candidate,
2022-02-12 00:00:00,HBARUSDT,SHORT,BOS,15m,accepted,0.2333
2022-02-12 00:00:00,LINKUSDT,SHORT,BOS,30m,candidate,
2022-02-12 00:00:00,LINKUSDT,SHORT,BOS,30m,accepted,16.205
