direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_mode,candles_since_bos,ema_position,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,exit_time,exit_price,pnl,exit_reason,exit_type,mtf_tf
LONG,9.187,,9.089,-0.38281249999999567,TREND,37.66,0.1213,30.8598,5.477,3.5,BULLISH_BOS,False,,,0.1869999999999994,,,BOS,False,,8.931,,2023-06-22 00:00:00,1,zone,,ABOVE,5.436067699837533,1.8482630179447612,ATOMUSDT,14,0.7656249999999982,0.2560000000000002,0.8671875000000043,0.8320312499999961,0.8671875000000043,9.409,8.974,8.931,2023-06-22 14:00:00,9.089,-0.5327346345840727,stop_loss,trailing_stop,
LONG,9.363,,9.219,-1.0,TREND,32.8663,0.0773,21.2569,15.9889,5.0,BULLISH_BOS,True,,,0.0730000000000004,,,BOS,True,,9.219,,2023-06-27 07:00:00,1,zone,,ABOVE,5.409430968108329,2.1637723872433314,ATOMUSDT,8,0.16666666666667285,0.14400000000000013,0.5625000000000084,1.0694444444444429,0.5625000000000084,9.444,9.209,9.219,2023-06-27 15:00:00,9.219,-0.7789580594076001,stop_loss,SL,
LONG,9.361,,9.252,-0.7171052631578898,TREND,39.024,0.0734,21.4981,12.5486,3.0,,True,,,0.03599999999999959,,,BOS,True,,9.209,,2023-06-27 22:00:00,1,momentum,15.0,ABOVE,5.370483065137949,1.7185545808441436,ATOMUSDT,9,0.3749999999999883,0.15200000000000102,0.4539473684210434,1.493421052631571,0.4539473684210434,9.43,9.134,9.209,2023-06-28 07:00:00,9.252,-0.5853826541000364,stop_loss,trailing_stop,
LONG,9.214,,9.214,0.0,TREND,36.7324,0.0671,23.1097,7.0288,3.5,BULLISH_BOS,False,,,0.09499999999999886,,,BOS,False,,9.126,,2023-06-29 09:00:00,1,zone,,BELOW,5.3412139324329475,1.8160127370272021,ATOMUSDT,7,2.14772727272725,0.08800000000000097,2.4545454545454195,0.46590909090909,2.4545454545454195,9.43,9.173,9.126,2023-06-29 16:00:00,9.214,0.0,stop_loss,trailing_stop,
SHORT,9.065,,9.386,-0.8794520547945193,TREND,32.0243,0.0953,18.3658,25.0375,3.5,BEARISH_BOS,False,,,0.11800000000000033,,,BOS,False,,,9.43,2023-06-29 20:00:00,1,zone,,BELOW,4.975377361718359,1.8160127370272021,ATOMUSDT,15,0.36986301369862934,0.3650000000000002,0.6027397260273938,0.8794520547945193,0.6027397260273938,9.386,8.845,9.43,2023-06-30 11:00:00,9.386,-1.597096133111592,stop_loss,trailing_stop,
SHORT,9.307,,9.423,-0.21090909090909069,TREND,30.606,0.0984,7.9826,50.6531,3.5,BEARISH_BOS,False,,,0.1999999999999993,,,BOS,False,,,9.857,2023-07-05 15:00:00,1,zone,,BELOW,3.2524765504805613,1.7888621027643052,ATOMUSDT,14,0.04181818181818133,0.5499999999999989,0.08727272727272752,0.29999999999999905,0.08727272727272752,9.472,9.259,9.857,2023-07-06 05:00:00,9.423,-0.377287279855744,stop_loss,trailing_stop,
SHORT,8.992,,9.077,-0.33073929961089177,TREND,32.4789,0.0646,4.8619,42.9834,3.5,BEARISH_BOS,False,,,0.11499999999999844,,,BOS,False,,,9.249,2023-07-12 19:00:00,1,zone,,BELOW,5.242494761784581,1.7824482190067574,ATOMUSDT,14,0.12062256809338763,0.2569999999999997,0.2256809338521466,0.5914396887159511,0.2256809338521466,9.144,8.934,9.249,2023-07-13 09:00:00,9.077,-0.4456120547516845,stop_loss,trailing_stop,
LONG,9.838,,9.687,-0.7224880382775123,TREND,35.5495,0.1051,26.8525,7.274,4.0,BULLISH_BOS,True,,,0.07200000000000095,,,BOS,True,,9.629,,2023-07-15 08:00:00,1,zone,,ABOVE,5.220214159046996,1.8792770972569188,ATOMUSDT,8,0.2966507177033554,0.20899999999999963,0.6937799043062278,0.7703349282296644,0.6937799043062278,9.983,9.677,9.629,2023-07-15 16:00:00,9.687,-0.7882523380160954,stop_loss,trailing_stop,
SHORT,9.335,,9.328,0.07291666666668305,TREND,35.2635,0.0597,10.0478,39.7129,4.0,,True,,,0.049999999999998934,,,BOS,True,,,9.431,2023-07-22 18:00:00,1,momentum,8.0,BELOW,5.180801542146192,1.8650885551726293,ATOMUSDT,11,0.9375000000000335,0.09599999999999831,1.7708333333333823,0.4791666666666686,1.7708333333333823,9.381,9.165,9.431,2023-07-23 05:00:00,9.328,0.03626561079503085,stop_loss,trailing_stop,
SHORT,8.916,,9.024,-0.2983425414364606,TREND,39.3479,0.0827,9.7582,52.7634,5.0,BEARISH_BOS,True,,,0.375,,,BOS,True,,,9.278,2023-07-24 09:00:00,1,zone,,BELOW,5.182614822685943,2.0730459290743775,ATOMUSDT,17,0.0,0.3620000000000001,0.09944751381215353,0.4309392265193336,0.09944751381215353,9.072,8.88,9.278,2023-07-25 02:00:00,9.024,-0.5597224008500755,stop_loss,trailing_stop,
