direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,signal_type,has_fvg,timestamp,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,exit_time,exit_price,pnl,exit_reason,ema_position
SHORT,10.18,9.8,10.3836,1.87,RANGE,21.5526,0.0822,29.192,15.5517,5,SWEEP,False,2023-06-06 20:00:00,1.5208248686103694,0.30963994324907085,ATOMUSDT,18,2.337917485265224,0.20359999999999978,2023-06-07 14:00:00,9.8,0.5779134500719388,take_profit,
SHORT,8.305,,8.622,,TREND,30.0584,0.0559,9.5785,44.4444,4,BOS,True,2023-06-20 14:00:00,1.3958870598395896,0.44249619796915013,ATOMUSDT,4,0.0,0.31700000000000017,2023-06-20 18:00:00,8.622,-0.44249619796915013,stop_loss,BELOW
LONG,9.363,,9.219,,TREND,32.8663,0.0773,21.2569,15.9889,4,BOS,True,2023-06-27 07:00:00,4.4187553388653145,0.6363007687966059,ATOMUSDT,8,0.16666666666667285,0.14400000000000013,2023-06-27 15:00:00,9.219,-0.6363007687966058,stop_loss,ABOVE
LONG,9.403,,9.126,,TREND,39.6208,0.0687,37.7339,6.8607,4,BOS,True,2023-06-29 11:00:00,1.2154076974274648,0.336667932187409,ATOMUSDT,8,0.0,0.277000000000001,2023-06-29 19:00:00,9.126,-0.336667932187409,stop_loss,ABOVE
LONG,9.756,,9.825,,TREND,31.6232,0.0783,29.0146,18.1569,4,BOS,True,2023-07-03 03:00:00,1.5403698187561585,0.6300112558712699,ATOMUSDT,22,0.6821515892420524,0.4090000000000007,2023-07-04 01:00:00,9.825,0.10628551749417349,stop_loss,ABOVE
LONG,9.838,,9.687,,TREND,35.5495,0.1051,26.8525,7.274,3,BOS,True,2023-07-15 08:00:00,2.8371494018341554,0.5929642249833375,ATOMUSDT,8,0.2966507177033554,0.20899999999999963,2023-07-15 16:00:00,9.687,-0.42840955967695693,stop_loss,ABOVE
SHORT,8.916,,9.024,,TREND,39.3479,0.0827,9.7582,52.7634,4,BOS,True,2023-07-24 09:00:00,0.9237570188277335,0.3344000408156396,ATOMUSDT,17,0.0,0.3620000000000001,2023-07-25 02:00:00,9.024,-0.09976575803339408,stop_loss,BELOW
SHORT,8.824,,8.822,,TREND,35.1411,0.0559,8.4291,32.6948,4,BOS,True,2023-07-31 19:00:00,1.646847085141035,0.482526195946325,ATOMUSDT,23,0.45051194539248873,0.29300000000000104,2023-08-01 18:00:00,8.822,0.00329369417028317,stop_loss,BELOW
SHORT,8.499,,8.448,,TREND,34.7676,0.0589,14.1818,33.0909,4,BOS,True,2023-08-04 18:00:00,2.960383888592552,0.48254257384058674,ATOMUSDT,20,0.7116564417177991,0.16300000000000026,2023-08-05 14:00:00,8.448,0.15097957831822062,stop_loss,BELOW
SHORT,8.45,8.383,8.4566,10.15,RANGE,17.0534,0.022,33.1169,11.039,4,SWEEP,False,2023-08-13 20:00:00,46.387676382231014,0.3061586641227528,ATOMUSDT,1,2.5757575757572577,0.006600000000000605,2023-08-13 21:00:00,8.4566,-0.3061586641227528,stop_loss,
LONG,8.55,,8.493,,TREND,39.8096,0.0318,42.0225,16.4045,4,BOS,True,2023-08-14 14:00:00,2.365487459098643,0.3335337317329087,ATOMUSDT,14,0.0,0.14100000000000001,2023-08-15 04:00:00,8.493,-0.13483278516862357,stop_loss,ABOVE
SHORT,8.027,,7.957,,TREND,32.5504,0.0854,4.097,64.4649,4,BOS,True,2023-08-15 19:00:00,1.2686219812491362,0.6254306367558246,ATOMUSDT,23,0.2799188640973609,0.4930000000000003,2023-08-16 18:00:00,7.957,0.08880353868743876,stop_loss,BELOW
SHORT,6.666,,6.689,,TREND,37.3442,0.0516,8.8643,43.0748,4,BOS,True,2023-09-01 17:00:00,1.0930336919734345,0.3333752760518972,ATOMUSDT,12,0.06229508196721359,0.3049999999999997,2023-09-02 05:00:00,6.689,-0.02513977491538865,stop_loss,BELOW
