direction,entry,entry_level,zone_size_at_entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,confidence_bucket,position_size_multiplier,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_type,zone_entry_type,htf_filter_variant,htf_filter_applied,entry_mode,candles_since_bos,ema_position,initial_risk,mtf_tf,position_size,risk_amount,capital_before_entry,trade_risk,risk_percent,allocated_capital,symbol,bars_alive,max_r,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,realized_pnl,realized_r,mfe_valid,mae_valid,partial_tp_hits,tp1_taken,tp1_price,signal_id,entry_bar_index,exit_time,exit_price,pnl,exit_reason,exit_type,capital_after_exit,anomaly_flags,extreme_pnl_raw,extreme_pnl_cap
SHORT,472.65,,3.747321,,475.25,-0.3689827429609475,TREND,35.9187,4.9964,15.4396,22.2302,4.0,4_to_5,1.0,,True,,,3.8000000000000114,,,BOS,True,,,479.2,2022-01-18 04:00:00,2.5,momentum,,NONE,False,momentum,10.0,BELOW,7.0464000000000055,15m,0.634719136781974,4.472484925420505,100.0,4.472484925420505,0.2,4.472484925420505,BNBUSDT,2,0.5676657584014527,0.794732061762029,0.3973660308810186,0.794732061762029,475.45,467.05,479.6964,0,0.0,-0.3689827429609475,True,True,0,False,465.6036,1,412,2022-01-18 06:00:00,475.25,-1.650269755633147,stop_loss,trailing_stop,98.34973024436685,,,
LONG,17.2174,1.0,0.248732,,17.063,-0.23204087766757156,TREND,35.9375,0.3316,29.8945,20.3748,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.25900000000000034,,,BOS,False,,16.552,,2022-01-18 09:00:00,2.5,zone,full,NONE,False,zone,,ABOVE,0.6654000000000018,,13.484192520536237,8.972381703164835,89.72381703164835,8.972381703164835,0.2,8.972381703164835,UNIUSDT,4,0.42320408776675184,0.6215810039074208,1.0661256387135563,0.6215810039074208,17.631,16.508,16.552,0,0.0,-0.23204087766757156,True,True,0,False,17.882800000000003,3,417,2022-01-18 13:00:00,17.063,-2.0819593251708293,stop_loss,trailing_stop,96.26777091919602,,,
SHORT,465.8,,4.138393,,465.8,0.0,TREND,30.1981,5.5179,9.7087,35.9871,4.0,4_to_5,1.0,,True,SWEEP_LOW,,3.9499999999999886,,,BOS,True,,,479.2,2022-01-18 09:45:00,2.5,momentum,,NONE,False,momentum,15.0,BELOW,13.617899999999963,15m,0.6334246258761282,8.625913212718503,98.34973024436685,8.625913212718503,0.2,8.625913212718503,BNBUSDT,1,0.0477312948398825,0.2202982838763692,0.09179095161515383,0.2202982838763692,467.05,462.8,479.4179,0,0.0,0.0,True,True,0,False,452.18210000000005,2,417,2022-01-18 10:00:00,465.8,0.0,stop_loss,trailing_stop,98.34973024436685,,,
SHORT,16.056,,0.179036,,15.817300000000003,1.5,TREND,36.6918,0.2387,19.0604,27.3489,3.0,3_to_4,0.5,,True,,,0.1390000000000029,,,BOS,True,,,16.221,2022-01-19 04:00:00,2.5,momentum,,NONE,False,momentum,8.0,BELOW,0.2386999999999979,,8.993625833258223,4.293556972797438,96.26777091919602,4.293556972797438,0.2,4.293556972797438,UNIUSDT,10,3.225806451612937,3.4352744030163698,0.0,3.4352744030163698,16.056,15.236,16.2947,0,2.146778486398719,1.5,True,True,1,True,15.817300000000003,4,436,2022-01-19 14:00:00,15.817300000000003,4.293556972797438,take_profit,TP,100.56132789199346,,,
SHORT,15.736,,0.179036,,15.817300000000003,0.25803571428570615,TREND,36.6918,0.2387,19.0604,27.3489,3.0,3_to_4,0.5,,True,,,0.1390000000000029,,,BOS,True,,,16.221,2022-01-19 05:00:00,2.5,momentum,,NONE,False,momentum,8.0,BELOW,0.3359999999999985,,8.993625833258223,4.293556972797438,96.1238729058639,3.0218582799747495,0.2,3.0218582799747495,UNIUSDT,9,1.3392857142857233,1.4880952380952446,0.2648809523809495,1.4880952380952446,15.825,15.236,16.2947,1,2.146778486398719,0.25803571428570615,True,True,1,True,15.817300000000003,4,436,2022-01-19 14:00:00,15.817300000000003,1.415596706154804,take_profit,TP,101.97692459814826,,,
SHORT,15.313,,0.179036,,15.817300000000003,-0.5,TREND,36.6918,0.2387,19.0604,27.3489,3.0,3_to_4,0.5,,True,,,0.1390000000000029,,,BOS,True,,,16.221,2022-01-19 07:00:00,2.5,momentum,,NONE,False,momentum,8.0,BELOW,0.5043000000000024,,2.8070527585857565,4.293556972797438,93.3898106525534,1.4155967061548038,0.2,1.4155967061548038,UNIUSDT,7,0.05353955978584354,0.15070394606385118,1.0152686892722511,0.15070394606385118,15.825,15.237,16.2947,2,2.146778486398719,-0.5,True,True,1,True,15.817300000000003,4,436,2022-01-19 14:00:00,15.817300000000003,0.7311817802439151,take_profit,TP,102.70810637839217,,,
LONG,1.3816,1.0,0.017464,,1.378,-0.07929515418502328,TREND,33.1217,0.0233,36.9632,9.6933,4.0,4_to_5,1.0,BULLISH_BOS,True,SWEEP_HIGH,,0.04169999999999985,,,BOS,True,,1.3362,,2022-01-20 15:00:00,2.5,zone,full,NONE,False,zone,,BELOW,0.045399999999999885,,223.01991830861067,10.1251042912109,102.70810637839217,10.1251042912109,0.2,10.1251042912109,ADAUSDT,5,0.5440528634361284,0.7488986784140995,0.5814977973568292,0.7488986784140995,1.4156,1.3552,1.3362,0,0.0,-0.07929515418502328,True,True,0,False,1.4269999999999998,5,471,2022-01-20 20:00:00,1.378,-0.802871705911009,stop_loss,trailing_stop,101.90523467248117,,,
SHORT,41111.0,1.0,399.053571,,35850.0,2.8181317470808547,TREND,39.9816,532.0714,23.285,39.0254,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,810.0,,,BOS,False,,,43380.5,2022-01-21 00:30:00,2.5,zone,full,NONE,False,zone,,BELOW,2269.5,15m,0.0022451032093518657,10.190523467248118,101.90523467248117,10.190523467248118,0.2,10.190523467248118,BTCUSDT,37,2.7814496585150916,3.150914298303591,0.0,3.150914298303591,41111.0,33960.0,43380.5,0,5.095261733624059,2.8181317470808547,True,True,1,True,38841.5,6,480,2022-01-22 13:00:00,35850.0,16.906749718024226,take_profit,TP,122.84585070516425,,,
SHORT,23.445,,0.367232,,19.155,2.5046728971962606,TREND,35.7878,0.4896,16.9949,39.752,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,0.6899999999999977,,,BOS,False,,,25.585,2022-01-21 00:30:00,2.5,momentum,momentum,NONE,False,momentum,,BELOW,2.1400000000000006,15m,2.1428670842344166,9.171471120523305,91.71471120523306,9.171471120523305,0.2,9.171471120523305,DOTUSDT,37,2.990654205607475,3.464953271028036,0.0,3.464953271028036,23.445,16.03,25.585,0,4.585735560261653,2.5046728971962606,True,True,1,True,21.305,7,480,2022-01-22 13:00:00,19.155,13.778635351627297,take_profit,TP,136.62448605679154,,,
SHORT,3033.0,1.0,38.196429,,2430.6,3.0205020920502097,TREND,36.0235,50.9286,19.3128,40.1262,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,88.20000000000027,,,BOS,False,,,3272.0,2022-01-21 00:30:00,2.5,zone,full,NONE,False,zone,,BELOW,239.0,15m,0.01726846026876773,8.254324008470975,82.54324008470975,8.254324008470975,0.2,8.254324008470975,ETHUSDT,40,2.708995815899581,3.083682008368201,0.0,3.083682008368201,3033.0,2296.0,3272.0,0,4.127162004235488,3.0205020920502097,True,True,1,True,2794.0,8,480,2022-01-22 16:00:00,2430.6,14.529682470141168,take_profit,TP,151.15416852693272,,,
SHORT,15.683,,0.335464,,11.333,2.8551705468326998,TREND,34.7682,0.4473,15.107,38.5819,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,0.5800000000000001,,,BOS,False,,,17.53,2022-01-21 00:30:00,2.5,momentum,momentum,NONE,False,momentum,,BELOW,1.8470000000000013,15m,2.0110697367687793,7.428891607623876,74.28891607623876,7.428891607623876,0.2,7.428891607623876,NEARUSDT,40,2.706009745533295,3.035733622089873,0.0,3.035733622089873,15.683,10.076,17.53,0,3.714445803811938,2.8551705468326998,True,True,1,True,13.835999999999999,9,480,2022-01-22 16:00:00,11.333,12.462599158756127,take_profit,TP,163.61676768568884,,,
SHORT,128.715,,2.101339,,124.095,0.30166503428011787,TREND,32.9488,2.8018,19.4264,44.2065,4.0,4_to_5,1.0,BEARISH_BOS,True,,,3.2700000000000102,,,BOS,True,,,144.03,2022-01-21 00:30:00,2.5,momentum,momentum,NONE,False,momentum,,BELOW,15.314999999999998,15m,0.8731312369391435,13.37200489372298,66.8600244686149,13.37200489372298,0.2,13.37200489372298,SOLUSDT,16,0.7009467841984983,0.8596147567744047,0.0,0.8596147567744047,128.715,115.55,144.03,0,0.0,0.30166503428011787,True,True,0,False,113.4,10,480,2022-01-21 16:00:00,124.095,4.033866314658847,take_profit,TP,105.93910098714002,,,
SHORT,2465.05,1.0,38.196429,,2794.0,0.2531539747682023,TREND,36.0235,50.9286,19.3128,40.1262,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,88.20000000000027,,,BOS,False,,,3272.0,2022-01-22 13:00:00,2.5,zone,full,NONE,False,zone,,BELOW,328.9499999999998,15m,0.01254647212109892,8.254324008470975,127.80348728693772,4.127162004235488,0.2,4.127162004235488,ETHUSDT,164,0.8616811065511489,0.9425444596443239,0.7750417996656026,0.9425444596443239,2720.0,2155.0,3272.0,1,4.127162004235488,0.2531539747682023,True,True,1,True,2794.0,8,480,2022-01-29 09:00:00,2546.25,3.108388468002258,timeout,timeout,143.83800139188546,,,
SHORT,17.81,1.0,0.346607,,18.4,-0.3259668508287288,TREND,31.2955,0.4621,15.3014,36.1669,4.0,4_to_5,1.0,BEARISH_BOS,True,,,0.5899999999999999,,,BOS,True,,,19.62,2022-01-24 10:00:00,2.5,zone,full,NONE,False,zone,,BELOW,1.8100000000000023,15m,17.623160848779357,31.897921136290673,159.48960568145336,31.897921136290673,0.2,31.897921136290673,FILUSDT,13,0.46961325966850653,0.5580110497237551,0.49723756906077404,0.5580110497237551,18.71,16.8,19.62,0,0.0,-0.3259668508287288,True,True,0,False,15.999999999999996,11,562,2022-01-24 23:00:00,18.4,-10.397664900779818,stop_loss,trailing_stop,140.7296129238832,,,
SHORT,86.86,,2.3625,,94.27,-0.48943196829590463,TREND,32.8239,3.15,14.6485,34.4218,5.0,5_plus,1.25,BEARISH_BOS,True,,,3.4299999999999926,,,BOS,True,,,102.0,2022-01-24 11:00:00,2.5,momentum,momentum,NONE,False,momentum,,BELOW,15.14,15m,1.685491209315227,25.518336909032538,127.59168454516268,25.518336909032538,0.2,25.518336909032538,SOLUSDT,10,0.3309114927344785,0.40356671070013206,0.6324306472919421,0.40356671070013206,96.435,80.75,102.0,0,0.0,-0.48943196829590463,True,True,0,False,71.72,12,562,2022-01-24 20:00:00,94.27,-12.489489861025826,stop_loss,trailing_stop,151.12727782466303,,,
SHORT,19.76,,0.213214,,19.38,0.3725490196078458,TREND,33.8633,0.2843,9.2965,40.201,4.0,4_to_5,1.0,BEARISH_BOS,True,,,0.3099999999999987,,,BOS,True,,,20.78,2022-01-30 20:00:00,2.5,momentum,momentum,NONE,False,momentum,,ABOVE,1.0199999999999996,15m,21.837753247755888,22.274508312710996,143.83800139188546,22.274508312710996,0.2,22.274508312710996,FILUSDT,13,0.6274509803921576,0.8235294117647061,0.2941176470588209,0.8235294117647061,20.06,18.92,20.78,0,0.0,0.3725490196078458,True,True,0,False,18.740000000000002,13,716,2022-01-31 09:00:00,19.38,8.298346234147294,take_profit,TP,159.59037388792729,,,
SHORT,10.447,1.0,0.136554,,10.259,0.2689556509298976,TREND,30.3594,0.1821,7.1793,39.0349,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,0.13899999999999935,,,BOS,False,,,11.146,2022-01-30 21:00:00,2.5,zone,full,NONE,False,zone,,BELOW,0.6990000000000016,15m,18.17209318900045,12.702293139111344,127.02293139111343,12.702293139111344,0.2,12.702293139111344,NEARUSDT,10,0.48068669527896674,0.6065808297567933,0.13018597997138895,0.6065808297567933,10.538,10.023,11.146,0,0.0,0.2689556509298976,True,True,0,False,9.747999999999998,14,717,2022-01-31 07:00:00,10.259,3.416353519532063,take_profit,TP,147.25435491141752,,,
SHORT,147.1,,1.955357,,144.65,0.3450704225352099,TREND,32.9392,2.6071,10.8219,35.6164,3.5,3_to_4,0.5,BEARISH_BOS,False,,,1.8499999999999943,,,BOS,False,,,154.2,2022-01-31 00:00:00,2.5,momentum,momentum,NONE,False,momentum,,BELOW,7.099999999999994,,1.6480296907602012,11.70101080439742,117.01010804397418,11.70101080439742,0.2,11.70101080439742,AAVEUSDT,8,0.6619718309859144,0.788732394366197,0.0,0.788732394366197,147.1,141.5,154.2,0,0.0,0.3450704225352099,True,True,0,False,140.0,15,720,2022-01-31 08:00:00,144.65,4.037672742362474,take_profit,TP,151.29202765378,,,
