direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,signal_type,has_fvg,timestamp,ema_position,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,exit_time,exit_price,pnl,exit_reason
SHORT,10.983,9.143,11.041,,TREND,41.8689,0.1031,3.3934,34.2105,4,BOS,False,2023-04-07 07:00:00,BELOW,1.068750000000002,0.491625,ATOMUSDT,7,0.11521739130434985,0.4599999999999991,2023-04-07 14:00:00,11.041,-0.06198749999999994,stop_loss
SHORT,11.085,10.881,11.1031,11.28,RANGE,19.6061,0.0603,28.3175,12.5592,4,SWEEP,False,2023-04-10 16:00:00,,22.22378454765356,0.4022505003124999,ATOMUSDT,1,0.0,0.018099999999998673,2023-04-10 17:00:00,11.1031,-0.4022505003124999,stop_loss
LONG,11.287,11.672,11.259,,TREND,27.2345,0.0904,36.1769,15.9558,4,BOS,False,2023-04-11 04:00:00,ABOVE,3.075868336708902,0.53827695892406,ATOMUSDT,13,0.33714285714285164,0.1750000000000007,2023-04-11 17:00:00,11.259,-0.0861243134278507,stop_loss
SHORT,11.016,10.053,11.337,,TREND,31.3341,0.1018,6.9474,36.8421,4,BOS,True,2023-04-12 02:00:00,BELOW,3.2514454908209576,1.0437140025535265,ATOMUSDT,12,0.0,0.32099999999999973,2023-04-12 14:00:00,11.337,-1.0437140025535265,stop_loss
LONG,11.348,11.601,11.296,,TREND,27.8893,0.0671,22.1512,13.8445,4,BOS,False,2023-04-13 05:00:00,ABOVE,4.627538561226272,0.5321669345410223,ATOMUSDT,7,3.0434782608695565,0.11500000000000021,2023-04-13 12:00:00,11.601,1.1707672559902473,take_profit
LONG,11.698,12.904,12.06,,TREND,30.1602,0.0808,43.2361,8.6649,4,BOS,True,2023-04-13 12:00:00,ABOVE,1.7997372222899253,0.7234943633605518,ATOMUSDT,28,1.6890547263681557,0.402000000000001,2023-04-14 16:00:00,12.06,0.6515048744689531,stop_loss
LONG,12.754,14.0564,12.644,,TREND,26.4944,0.1472,27.6565,12.3241,4,BOS,False,2023-04-16 05:00:00,ABOVE,0.915576950065085,0.5420215544385292,ATOMUSDT,15,0.18581081081081324,0.5919999999999987,2023-04-16 20:00:00,12.644,-0.10071346450715883,stop_loss
LONG,12.352,12.944,12.105,2.4,TREND,65.9772,0.1145,3.8054,31.5658,4,SWEEP,False,2023-04-17 23:00:00,,2.330902929192448,0.5757330235105343,ATOMUSDT,33,1.6153846153846125,0.2469999999999999,2023-04-19 08:00:00,12.105,-0.5757330235105343,stop_loss
SHORT,11.56,10.6932,11.428,,TREND,27.1966,0.1617,17.977,29.7703,4,BOS,True,2023-04-20 15:00:00,BELOW,1.5533862936097027,0.6120341996822231,ATOMUSDT,17,0.7741116751269026,0.39400000000000013,2023-04-21 08:00:00,11.428,0.20504699075648025,stop_loss
SHORT,11.133,10.164,10.82,,TREND,32.075,0.1149,10.2548,30.9509,3,BOS,False,2023-04-21 14:00:00,BELOW,2.603212280358031,0.8408375665556451,ATOMUSDT,14,1.5108359133126903,0.3230000000000004,2023-04-22 04:00:00,10.82,0.8148054437520607,stop_loss
SHORT,10.996,10.643,11.2159,1.61,TREND,29.0839,0.1018,34.4561,11.7895,5,SWEEP,False,2023-04-25 22:00:00,,2.62977130570157,0.5782867101237729,ATOMUSDT,12,0.009095043201458281,0.2198999999999991,2023-04-26 10:00:00,11.2159,-0.5782867101237729,stop_loss
SHORT,11.16,10.65,11.3832,2.28,TREND,53.4501,0.0794,27.1827,7.6508,5,SWEEP,False,2023-04-26 11:00:00,,2.575992659231902,0.5749615615405612,ATOMUSDT,1,0.0,0.2232000000000003,2023-04-26 12:00:00,11.3832,-0.5749615615405612,stop_loss
LONG,11.45,12.389,11.426,,TREND,32.3322,0.1626,34.8418,8.1283,4,BOS,False,2023-04-27 10:00:00,ABOVE,2.9322458706959025,0.9177929575278141,ATOMUSDT,22,0.6645367412140606,0.31299999999999883,2023-04-28 08:00:00,11.426,-0.07037390089669912,stop_loss
SHORT,11.239,8.527,11.028,,TREND,39.5427,0.1333,6.6988,38.6924,4,BOS,False,2023-05-01 01:00:00,BELOW,0.7203827502211996,0.48841950464997264,ATOMUSDT,31,0.5663716814159305,0.677999999999999,2023-05-02 08:00:00,11.028,0.15200076029667334,stop_loss
LONG,11.263,12.727,11.161,,TREND,42.204,0.0834,24.5073,19.1088,4,BOS,False,2023-05-05 16:00:00,ABOVE,1.336521252425633,0.48916677838778116,ATOMUSDT,10,0.0,0.36599999999999966,2023-05-06 02:00:00,11.161,-0.136325167747415,stop_loss
SHORT,10.887,10.332,10.889,,TREND,32.3927,0.0738,6.97,35.5276,4,BOS,False,2023-05-06 13:00:00,BELOW,4.95831353111904,0.9172880032570161,ATOMUSDT,21,0.5837837837837907,0.18499999999999872,2023-05-07 10:00:00,10.889,-0.009916627062232584,stop_loss
SHORT,11.071,10.766,11.2924,1.38,TREND,54.1612,0.0746,31.1005,8.0383,4,SWEEP,False,2023-05-08 00:00:00,,2.580325188270528,0.5712839966830973,ATOMUSDT,1,1.4272809394760506,0.22140000000000093,2023-05-08 01:00:00,10.766,0.7869991824225102,take_profit
SHORT,10.567,9.987,10.64,,TREND,36.6234,0.1389,7.9733,37.0885,4,BOS,False,2023-05-09 03:00:00,BELOW,3.3952889785836846,0.49231690189463284,ATOMUSDT,9,0.5862068965517317,0.14499999999999957,2023-05-09 12:00:00,10.64,-0.24785609543661033,stop_loss
LONG,10.948,13.195,10.807,,TREND,30.1266,0.1099,51.4304,14.4993,4,BOS,True,2023-05-10 13:00:00,ABOVE,0.9690142992468285,0.7257917101358751,ATOMUSDT,14,0.10280373831775688,0.7490000000000006,2023-05-11 03:00:00,10.807,-0.13663101619380283,stop_loss
