direction,entry,entry_level,zone_size_at_entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,confidence_bucket,position_size_multiplier,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_type,htf_filter_variant,htf_filter_applied,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,signal_id,exit_time,exit_price,pnl,exit_reason,exit_type,entry_mode,candles_since_bos,ema_position,mtf_tf
SHORT,25.4,2.0,0.140732,,25.195,0.1885924563017464,TREND,38.5047,0.3753,9.3453,33.6125,5.0,5_plus,1.25,BEARISH_BOS,True,,,0.34800000000000253,,,BOS,True,,,26.487,2022-01-13 16:30:00,2.5,zone,NONE,False,1.1661003848393106,1.2675511183203303,LINKUSDT,8,0.6734130634774604,1.0869999999999997,0.8886844526218931,0.0,0.8886844526218931,25.4,24.434,26.487,0,9,2022-01-14 00:00:00,25.195,0.23905057889205666,stop_loss,trailing_stop,zone,,BELOW,15m
LONG,18.342,1.0,0.14242,,19.24,0.7877192982456158,TREND,34.0541,0.3798,33.1578,5.1533,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.8210000000000015,,,BOS,False,,17.202,,2022-01-13 13:30:00,2.5,zone,NONE,False,0.44679078700766695,0.509341497188739,NEARUSDT,13,1.4833333333333394,1.139999999999997,1.7535087719298312,0.0,1.7535087719298312,20.341,18.342,17.202,0,8,2022-01-14 02:00:00,19.24,0.40121812673288476,stop_loss,trailing_stop,zone,,ABOVE,15m
LONG,19.337,1.0,0.14242,,19.24,-0.045433255269321494,TREND,34.0541,0.3798,33.1578,5.1533,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.8210000000000015,,,BOS,False,,17.202,,2022-01-13 14:00:00,2.5,zone,NONE,False,0.44679078700766695,0.509341497188739,NEARUSDT,12,0.3259953161592516,2.134999999999998,0.47025761124121884,0.15409836065573815,0.47025761124121884,20.341,19.008,17.202,1,8,2022-01-14 02:00:00,19.24,-0.04333870633974428,stop_loss,trailing_stop,zone,,ABOVE,15m
SHORT,145.305,1.0,0.868527,,148.61,-0.5683576956147908,TREND,39.2286,2.3161,14.6184,36.7772,3.5,3_to_4,0.5,BEARISH_BOS,False,,,4.375,,,BOS,False,,,151.12,2022-01-14 10:30:00,2.5,zone,NONE,False,0.08770508982365577,0.5100050973245581,SOLUSDT,9,0.3439380911435943,5.814999999999998,0.6964746345657804,0.7626827171109207,0.6964746345657804,149.74,141.255,151.12,0,10,2022-01-14 19:00:00,148.61,-0.2898653218671829,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,0.7751,2.0,0.002783,,0.7783,-0.2119205298013232,TREND,39.5802,0.0074,20.4042,27.0452,3.5,3_to_4,0.5,BEARISH_BOS,False,,,0.017699999999999938,,,BOS,False,,,0.7902,2022-01-14 10:30:00,2.5,zone,NONE,False,5.100050973245581,0.5100050973245581,XRPUSDT,10,1.1721854304635793,0.015100000000000002,1.5562913907284743,0.6556291390728489,1.5562913907284743,0.785,0.7516,0.7902,0,11,2022-01-14 20:00:00,0.7783,-0.016320163114385763,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,0.7574,2.0,0.002783,,0.7783,-0.6371951219512194,TREND,39.5802,0.0074,20.4042,27.0452,3.5,3_to_4,0.5,BEARISH_BOS,False,,,0.017699999999999938,,,BOS,False,,,0.7902,2022-01-14 11:00:00,2.5,zone,NONE,False,5.100050973245581,0.5100050973245581,XRPUSDT,9,0.0,0.03280000000000005,0.1768292682926801,0.8414634146341471,0.1768292682926801,0.785,0.7516,0.7902,1,11,2022-01-14 20:00:00,0.7783,-0.1065910653408328,stop_loss,trailing_stop,zone,,BELOW,15m
LONG,25.659,,0.157848,,25.363,-0.16610549943883243,TREND,33.151,0.4209,32.038,14.5257,5.0,5_plus,1.25,BULLISH_BOS,True,,,0.4450000000000003,,,BOS,True,,23.877,,2022-01-14 23:30:00,2.5,zone,NONE,False,0.7125999082112038,1.2698530364323652,LINKUSDT,13,0.12682379349046163,1.782,0.3013468013468028,0.23569023569023465,0.3013468013468028,26.196,25.239,23.877,0,12,2022-01-15 12:00:00,25.363,-0.21092957283051586,stop_loss,trailing_stop,zone,,ABOVE,15m
LONG,145.68,1.0,0.825268,,145.68,0.0,TREND,34.7247,2.2007,42.0967,7.6274,3.5,3_to_4,0.5,BULLISH_BOS,False,,,5.100000000000023,,,BOS,False,,143.82,,2022-01-15 00:30:00,2.5,zone,NONE,False,0.23080893105509306,0.507941214572946,LTCUSDT,12,2.0266278911255307,2.200700000000012,2.1947562139319117,0.47712091607216145,2.1947562139319117,150.51,144.63,143.4793,0,13,2022-01-15 12:00:00,145.68,0.0,stop_loss,trailing_stop,zone,,ABOVE,15m
LONG,147.08,1.0,0.825268,,145.68,-0.4294478527607354,TREND,34.7247,2.2007,42.0967,7.6274,3.5,3_to_4,0.5,BULLISH_BOS,False,,,5.100000000000023,,,BOS,False,,143.82,,2022-01-15 02:00:00,2.5,zone,NONE,False,0.23080893105509306,0.507941214572946,LTCUSDT,10,0.9386503067484526,3.2600000000000193,1.0521472392637907,0.7515337423312891,1.0521472392637907,150.51,144.63,143.4793,1,13,2022-01-15 12:00:00,145.68,-0.3231325034771316,stop_loss,trailing_stop,zone,,ABOVE,15m
LONG,43270.5,1.0,89.772321,,42790.0,-0.6791519434628975,TREND,30.3541,239.3929,26.2271,20.9458,4.0,4_to_5,1.0,BULLISH_BOS,True,,,327.5,,,BOS,True,,42563.0,,2022-01-15 15:30:00,2.5,zone,NONE,False,0.0014283276443573367,1.0105418083828157,BTCUSDT,20,0.2890459363957597,707.5,0.719434628975265,0.6975265017667844,0.719434628975265,43779.5,42777.0,42563.0,0,14,2022-01-16 11:00:00,42790.0,-0.6863114331137002,stop_loss,trailing_stop,zone,,ABOVE,15m
LONG,30.13,1.0,0.119732,,29.77,-0.4444444444444444,TREND,33.1397,0.3193,31.7673,20.1342,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.5999999999999979,,,BOS,False,,29.32,,2022-01-15 16:15:00,2.5,zone,NONE,False,0.6237912397424799,0.5052709041914079,FILUSDT,19,0.1481481481481496,0.8099999999999987,0.4567901234567921,0.6049382716049373,0.4567901234567921,30.5,29.64,29.32,0,15,2022-01-16 11:00:00,29.77,-0.2245648463072924,stop_loss,trailing_stop,zone,,ABOVE,15m
LONG,1.3481,,0.005971,,1.3945,0.7557003257328975,TREND,31.7082,0.0159,37.9542,10.9466,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.018600000000000172,,,BOS,False,,1.2867,,2022-01-16 04:00:00,2.5,zone,NONE,False,5.0527090419140785,0.5052709041914079,ADAUSDT,15,1.0488599348534184,0.06140000000000012,1.2003257328990184,0.0,1.2003257328990184,1.4218,1.3481,1.2867,0,16,2022-01-16 19:00:00,1.3945,0.23444569954481323,stop_loss,trailing_stop,zone,,ABOVE,
LONG,43.48,,0.304018,,42.58,-0.19396551724137928,TREND,39.3676,0.8107,39.2511,8.6784,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.9250000000000043,,,BOS,False,,38.84,,2022-01-16 12:00:00,2.5,zone,NONE,False,0.10791304370566888,0.5007165227943029,ATOMUSDT,7,0.0,4.6399999999999935,0.010775862068966451,0.2489224137931025,0.010775862068966451,43.53,42.325,38.84,0,17,2022-01-16 19:00:00,42.58,-0.09712173933510185,stop_loss,trailing_stop,zone,,ABOVE,
LONG,1.406,,0.005971,,1.3945,-0.09639564124056871,TREND,31.7082,0.0159,37.9542,10.9466,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.018600000000000172,,,BOS,False,,1.2867,,2022-01-16 12:00:00,2.5,zone,NONE,False,5.0527090419140785,0.5052709041914079,ADAUSDT,7,0.05448449287510624,0.11929999999999996,0.13243922883487041,0.19195305951383007,0.13243922883487041,1.4218,1.3831,1.2867,1,16,2022-01-16 19:00:00,1.3945,-0.05810615398201111,stop_loss,trailing_stop,zone,,ABOVE,
LONG,20.206,2.0,0.116946,,19.689,-1.0,TREND,35.5644,0.3119,33.1425,12.1393,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.24199999999999733,,,BOS,False,,19.689,,2022-01-16 21:30:00,2.5,zone,NONE,False,0.9692700422155548,0.5011126118254413,NEARUSDT,4,0.0,0.5169999999999995,0.5299806576402344,1.0947775628626684,0.5299806576402344,20.48,19.64,19.689,0,18,2022-01-17 01:00:00,19.689,-0.5011126118254413,stop_loss,SL,zone,,ABOVE,15m
SHORT,26.635,,0.127768,,25.915,0.6288209606986923,TREND,34.966,0.3407,8.805,32.5996,3.5,3_to_4,0.5,BEARISH_BOS,False,,,0.5249999999999986,,,BOS,False,,,27.78,2022-01-17 03:30:00,2.5,zone,NONE,False,0.4354646714116282,0.4986070487663141,DOTUSDT,22,1.152838427947599,1.1449999999999996,1.3580786026200906,0.22270742358078524,1.3580786026200906,26.89,25.08,27.78,0,20,2022-01-18 01:00:00,25.915,0.31353456341637337,stop_loss,trailing_stop,zone,,BELOW,15m
