direction,entry,entry_level,zone_size_at_entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,confidence_bucket,position_size_multiplier,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_type,zone_entry_type,htf_filter_variant,htf_filter_applied,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,signal_id,exit_time,exit_price,pnl,exit_reason,exit_type,entry_mode,candles_since_bos,ema_position,mtf_tf
LONG,19.337,1.0,0.284839,,19.24,-0.045433255269321494,TREND,34.0541,0.3798,33.1578,5.1533,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.8210000000000015,,,BOS,False,,17.202,,2022-01-13 14:00:00,2.5,zone,full,NONE,False,0.4471190060209341,0.5097156668638635,NEARUSDT,12,0.3259953161592516,2.134999999999998,0.47025761124121884,0.15409836065573815,0.47025761124121884,20.341,19.008,17.202,1,6,2022-01-14 02:00:00,19.24,-0.04337054358403119,stop_loss,trailing_stop,zone,,ABOVE,15m
SHORT,145.305,1.0,1.737054,,148.61,-0.5683576956147908,TREND,39.2286,2.3161,14.6184,36.7772,3.5,3_to_4,0.5,BEARISH_BOS,False,,,4.375,,,BOS,False,,,151.12,2022-01-14 10:30:00,2.5,zone,full,NONE,False,0.08816990285526129,0.5127079851033441,SOLUSDT,9,0.3439380911435943,5.814999999999998,0.6964746345657804,0.7626827171109207,0.6964746345657804,149.74,141.255,151.12,0,8,2022-01-14 19:00:00,148.61,-0.2914015289366392,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,0.7751,2.0,0.005566,,0.7783,-0.2119205298013232,TREND,39.5802,0.0074,20.4042,27.0452,3.5,3_to_4,0.5,BEARISH_BOS,False,,,0.017699999999999938,,,BOS,False,,,0.7902,2022-01-14 10:30:00,2.5,zone,full,NONE,False,5.127079851033441,0.5127079851033441,XRPUSDT,10,1.1721854304635793,0.015100000000000002,1.5562913907284743,0.6556291390728489,1.5562913907284743,0.785,0.7516,0.7902,0,9,2022-01-14 20:00:00,0.7783,-0.016406655523306914,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,0.7574,2.0,0.005566,,0.7783,-0.6371951219512194,TREND,39.5802,0.0074,20.4042,27.0452,3.5,3_to_4,0.5,BEARISH_BOS,False,,,0.017699999999999938,,,BOS,False,,,0.7902,2022-01-14 11:00:00,2.5,zone,full,NONE,False,5.127079851033441,0.5127079851033441,XRPUSDT,9,0.0,0.03280000000000005,0.1768292682926801,0.8414634146341471,0.1768292682926801,0.785,0.7516,0.7902,1,9,2022-01-14 20:00:00,0.7783,-0.10715596888659908,stop_loss,trailing_stop,zone,,BELOW,15m
LONG,145.68,1.0,1.650536,,145.68,0.0,TREND,34.7247,2.2007,42.0967,7.6274,3.5,3_to_4,0.5,BULLISH_BOS,False,,,5.100000000000023,,,BOS,False,,143.82,,2022-01-15 00:30:00,2.5,zone,full,NONE,False,0.23203215537629326,0.5106331643366113,LTCUSDT,12,2.0266278911255307,2.200700000000012,2.1947562139319117,0.47712091607216145,2.1947562139319117,150.51,144.63,143.4793,0,10,2022-01-15 12:00:00,145.68,0.0,stop_loss,trailing_stop,zone,,ABOVE,15m
LONG,147.08,1.0,1.650536,,145.68,-0.4294478527607354,TREND,34.7247,2.2007,42.0967,7.6274,3.5,3_to_4,0.5,BULLISH_BOS,False,,,5.100000000000023,,,BOS,False,,143.82,,2022-01-15 02:00:00,2.5,zone,full,NONE,False,0.23203215537629326,0.5106331643366113,LTCUSDT,10,0.9386503067484526,3.2600000000000193,1.0521472392637907,0.7515337423312891,1.0521472392637907,150.51,144.63,143.4793,1,10,2022-01-15 12:00:00,145.68,-0.3248450175268119,stop_loss,trailing_stop,zone,,ABOVE,15m
LONG,228.3799,1.0,2.959821,,230.55,0.3569302126679758,TREND,34.3278,3.9464,45.7014,3.5294,5.0,5_plus,1.25,BULLISH_BOS,True,,,5.449999999999989,,,BOS,True,,222.3,,2022-01-15 02:00:00,2.5,zone,full,NONE,False,0.20996774796321196,1.2765829108415283,AAVEUSDT,24,2.2072895935788517,6.079899999999981,2.4375565387588685,0.12005131663349541,2.4375565387588685,243.2,227.65,222.3,0,11,2022-01-16 02:00:00,230.55,0.4556510098549703,stop_loss,trailing_stop,zone,,ABOVE,
LONG,235.15,1.0,2.959821,,230.55,-0.6865671641791019,TREND,34.3278,3.9464,45.7014,3.5294,5.0,5_plus,1.25,BULLISH_BOS,True,,,5.449999999999989,,,BOS,True,,222.3,,2022-01-15 12:00:00,2.5,zone,full,NONE,False,0.20996774796321196,1.2765829108415283,AAVEUSDT,14,0.9925373134328341,6.700000000000017,1.2014925373134273,0.7014925373134336,1.2014925373134273,243.2,230.45,222.3,1,11,2022-01-16 02:00:00,230.55,-0.9658516406307739,stop_loss,trailing_stop,zone,,ABOVE,
LONG,43270.5,1.0,179.544643,,42790.0,-0.6791519434628975,TREND,30.3541,239.3929,26.2271,20.9458,4.0,4_to_5,1.0,BULLISH_BOS,True,,,327.5,,,BOS,True,,42563.0,,2022-01-15 15:30:00,2.5,zone,full,NONE,False,0.0014388945279123033,1.0180178784979546,BTCUSDT,20,0.2890459363957597,707.5,0.719434628975265,0.6975265017667844,0.719434628975265,43779.5,42777.0,42563.0,0,12,2022-01-16 11:00:00,42790.0,-0.6913888206618617,stop_loss,trailing_stop,zone,,ABOVE,15m
LONG,1.3676,,0.012745,,1.3945,0.3325092707045755,TREND,36.2007,0.017,46.0698,10.2564,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.026899999999999924,,,BOS,False,,1.2867,,2022-01-16 05:00:00,2.5,momentum,momentum,NONE,False,5.064579360950983,0.5064579360950983,ADAUSDT,14,0.555006180469718,0.08089999999999997,0.6699629171817063,0.14091470951792162,0.6699629171817063,1.4218,1.3562,1.2867,0,13,2022-01-16 19:00:00,1.3945,0.1362371848095822,stop_loss,trailing_stop,momentum,,ABOVE,
LONG,20.206,2.0,0.233893,,19.689,-1.0,TREND,35.5644,0.3119,33.1425,12.1393,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.24199999999999733,,,BOS,False,,19.689,,2022-01-16 21:30:00,2.5,zone,full,NONE,False,0.9742401893923355,0.5036821779158369,NEARUSDT,4,0.0,0.5169999999999995,0.5299806576402344,1.0947775628626684,0.5299806576402344,20.48,19.64,19.689,0,14,2022-01-17 01:00:00,19.689,-0.5036821779158369,stop_loss,SL,zone,,ABOVE,15m
SHORT,0.7631,1.0,0.004071,,0.7653,-0.12087912087911981,TREND,30.6557,0.0054,9.6053,29.8684,5.0,5_plus,1.25,BEARISH_BOS,True,,,0.007800000000000029,,,BOS,True,,,0.7813,2022-01-17 04:30:00,2.5,zone,full,NONE,False,5.011637670262577,1.2529094175656443,XRPUSDT,20,0.5219780219780196,0.018199999999999994,0.6978021978022004,0.3791208791208802,0.6978021978022004,0.77,0.7504,0.7813,0,17,2022-01-18 00:00:00,0.7653,-0.011025602874577569,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,26.635,,0.255536,,25.915,0.6288209606986923,TREND,34.966,0.3407,8.805,32.5996,3.5,3_to_4,0.5,BEARISH_BOS,False,,,0.5249999999999986,,,BOS,False,,,27.78,2022-01-17 03:30:00,2.5,momentum,momentum,NONE,False,0.43769761312336936,0.5011637670262578,DOTUSDT,22,1.152838427947599,1.1449999999999996,1.3580786026200906,0.22270742358078524,1.3580786026200906,26.89,25.08,27.78,0,16,2022-01-18 01:00:00,25.915,0.315142281448827,stop_loss,trailing_stop,momentum,,BELOW,15m
LONG,233.1737,1.0,3.447321,,224.05,-0.7556672768082678,TREND,33.3126,4.5964,25.5633,20.0466,5.0,5_plus,1.25,BULLISH_BOS,True,,,5.550000000000011,,,BOS,True,,221.1,,2022-01-18 01:00:00,2.5,zone,full,NONE,False,0.10408664088455256,1.2567108760478225,AAVEUSDT,13,0.5571034562727256,12.073700000000002,0.681340434166826,0.8550568591235496,0.681340434166826,241.4,222.85,221.1,0,18,2022-01-18 14:00:00,224.05,-0.9496552854383907,stop_loss,trailing_stop,zone,,ABOVE,
SHORT,90.175,,0.717857,,84.825,1.9669117647058811,TREND,32.711,0.9571,5.0373,33.9179,5.0,5_plus,1.25,BEARISH_BOS,True,,,1.4050000000000011,,,BOS,True,,,92.895,2022-01-17 03:30:00,2.5,momentum,momentum,NONE,False,0.46062846234031063,1.2529094175656443,AVAXUSDT,77,3.1801470588235277,2.719999999999999,3.3547794117647074,0.0,3.3547794117647074,90.175,81.05,92.895,0,15,2022-01-20 08:00:00,84.825,2.4643622735206594,stop_loss,trailing_stop,momentum,,BELOW,15m
SHORT,87.08,,0.717857,,84.825,2.5337078651685325,TREND,32.711,0.9571,5.0373,33.9179,5.0,5_plus,1.25,BEARISH_BOS,True,,,1.4050000000000011,,,BOS,True,,,92.895,2022-01-18 00:00:00,2.5,momentum,momentum,NONE,False,0.46062846234031063,1.2529094175656443,AVAXUSDT,56,6.241573033707853,0.8900000000000006,6.775280898876401,0.30898876404495,6.775280898876401,87.355,81.05,92.895,1,15,2022-01-20 08:00:00,84.825,1.0387171825773984,stop_loss,trailing_stop,momentum,,BELOW,15m
SHORT,84.015,,0.717857,,84.825,-0.2608695652173917,TREND,32.711,0.9571,5.0373,33.9179,5.0,5_plus,1.25,BEARISH_BOS,True,,,1.4050000000000011,,,BOS,True,,,92.895,2022-01-18 14:00:00,2.5,momentum,momentum,NONE,False,0.46062846234031063,1.2529094175656443,AVAXUSDT,42,0.8019323671497558,3.105000000000004,0.9549114331723026,0.843800322061192,0.9549114331723026,86.635,81.05,92.895,2,15,2022-01-20 08:00:00,84.825,-0.3731090544956527,stop_loss,trailing_stop,momentum,,BELOW,15m
LONG,1.3729,2.0,0.016827,,1.3768,0.10626702997275257,TREND,33.4015,0.0224,33.2697,10.2833,5.0,5_plus,1.25,BULLISH_BOS,True,SWEEP_HIGH,,0.03859999999999997,,,BOS,True,,1.3362,,2022-01-20 14:00:00,2.5,zone,full,NONE,False,5.13585925999949,1.2839648149998726,ADAUSDT,6,0.9100817438692136,0.036699999999999955,1.435967302452317,0.48228882833787656,1.435967302452317,1.4256,1.3552,1.3362,0,19,2022-01-20 20:00:00,1.3768,0.020029851113998087,stop_loss,trailing_stop,zone,,ABOVE,
LONG,1.4052,2.0,0.016827,,1.3768,-0.41159420289855075,TREND,33.4015,0.0224,33.2697,10.2833,5.0,5_plus,1.25,BULLISH_BOS,True,SWEEP_HIGH,,0.03859999999999997,,,BOS,True,,1.3362,,2022-01-20 15:00:00,2.5,zone,full,NONE,False,5.13585925999949,1.2839648149998726,ADAUSDT,5,0.01594202898550872,0.06899999999999995,0.150724637681159,0.7246376811594215,0.150724637681159,1.4156,1.3552,1.3362,1,19,2022-01-20 20:00:00,1.3768,-0.14585840298398542,stop_loss,trailing_stop,zone,,ABOVE,
LONG,0.2784,1.0,0.003126,,0.2671,-1.0,TREND,39.6038,0.0042,36.5039,18.2519,5.0,5_plus,1.25,BULLISH_BOS,True,,,0.008299999999999974,,,BOS,True,,0.2671,,2022-01-20 14:30:00,2.5,zone,full,NONE,False,5.13585925999949,1.2839648149998726,HBARUSDT,7,0.11504424778761292,0.011299999999999977,0.3407079646017724,1.0353982300884967,0.3407079646017724,0.28225,0.2667,0.2671,0,20,2022-01-20 21:00:00,0.2671,-0.05803520963799412,stop_loss,SL,zone,,ABOVE,15m
SHORT,21.493,1.0,0.284786,,19.713,1.2117086453369612,TREND,39.164,0.3797,16.7419,38.9014,3.5,3_to_4,0.5,BEARISH_BOS,False,,,1.3620000000000019,,,BOS,False,,,22.962,2022-01-20 21:30:00,2.5,zone,full,NONE,False,0.348990202309332,0.5126666071924091,LINKUSDT,18,1.8025867937372346,1.4690000000000012,2.1524846834581326,0.0,2.1524846834581326,21.493,18.331,22.962,0,25,2022-01-21 15:00:00,19.713,0.62120256011061,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,41769.5,1.0,311.946429,,35901.0,3.6427684667908133,TREND,38.962,415.9286,30.6715,36.519,5.0,5_plus,1.25,BEARISH_BOS,True,,,1508.5,,,BOS,True,,,43380.5,2022-01-20 21:30:00,2.5,zone,full,NONE,False,0.0007955720161272644,1.281666517981023,BTCUSDT,40,4.3271260086902545,1611.0,4.847610180012414,0.0,4.847610180012414,41769.5,33960.0,43380.5,0,22,2022-01-22 13:00:00,35901.0,4.668814376642851,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,16.24,1.0,0.272786,,11.872,3.3860465116278986,TREND,31.957,0.3637,19.5405,36.8028,5.0,5_plus,1.25,BEARISH_BOS,True,,,1.0630000000000006,,,BOS,True,,,17.53,2022-01-20 21:30:00,2.5,zone,full,NONE,False,0.9935399364193955,1.281666517981023,NEARUSDT,47,4.306201550387586,1.2900000000000027,4.778294573643399,0.0,4.778294573643399,16.24,10.076,17.53,0,26,2022-01-22 20:00:00,11.872,4.339782442279918,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,83.01,1.0,0.866786,,61.285,4.637139807897559,TREND,36.8928,1.1557,20.3028,41.78,5.0,5_plus,1.25,BEARISH_BOS,True,,,4.465000000000003,,,BOS,True,,,87.695,2022-01-20 21:30:00,2.5,zone,full,NONE,False,0.27356809348581135,1.281666517981023,AVAXUSDT,51,5.922091782283901,4.684999999999988,6.472785485592333,0.0,6.472785485592333,83.01,52.685,87.695,0,21,2022-01-23 00:00:00,61.285,5.943266830979254,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,3126.4,1.0,28.944643,,2462.6,4.559065934065938,TREND,32.7355,38.5929,25.4858,37.8956,5.0,5_plus,1.25,BEARISH_BOS,True,,,137.5,,,BOS,True,,,3272.0,2022-01-20 21:30:00,2.5,zone,full,NONE,False,0.008802654656463075,1.281666517981023,ETHUSDT,56,5.475618131868135,145.5999999999999,5.703296703296708,0.0,5.703296703296708,3126.4,2296.0,3272.0,0,24,2022-01-23 05:00:00,2462.6,5.843202160960191,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,23.86,1.0,0.272411,,18.89,2.881159420289852,TREND,31.1523,0.3632,23.1072,41.3963,5.0,5_plus,1.25,BEARISH_BOS,True,,,1.3200000000000003,,,BOS,True,,,25.585,2022-01-20 21:30:00,2.5,zone,full,NONE,False,0.7429950828875489,1.281666517981023,DOTUSDT,60,3.9507246376811547,1.7250000000000014,4.539130434782604,0.0,4.539130434782604,23.86,16.03,25.585,0,23,2022-01-23 09:00:00,18.89,3.692685561951117,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,18.835,1.0,0.272411,,18.89,-0.6111111111111089,TREND,31.1523,0.3632,23.1072,41.3963,5.0,5_plus,1.25,BEARISH_BOS,True,,,1.3200000000000003,,,BOS,True,,,25.585,2022-01-23 00:00:00,2.5,zone,full,NONE,False,0.7429950828875489,1.281666517981023,DOTUSDT,9,8.50000000000002,0.08999999999999986,10.38888888888893,3.6666666666666536,10.38888888888893,19.165,17.9,25.585,1,23,2022-01-23 09:00:00,18.89,-0.040864729558814976,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,18.39,1.0,0.272411,,18.89,-1.0,TREND,31.1523,0.3632,23.1072,41.3963,5.0,5_plus,1.25,BEARISH_BOS,True,,,1.3200000000000003,,,BOS,True,,,25.585,2022-01-23 05:00:00,2.5,zone,full,NONE,False,0.7429950828875489,1.281666517981023,DOTUSDT,4,0.1600000000000037,0.5,0.37000000000000455,1.5499999999999972,0.37000000000000455,19.165,18.205,25.585,2,23,2022-01-23 09:00:00,18.89,-0.37149754144377445,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,0.2137,3.0,0.003437,,0.2052,1.0,TREND,31.5096,0.0046,12.6267,29.9299,3.0,3_to_4,0.5,,True,,,0.003500000000000003,,,BOS,True,,,0.2222,2022-01-24 02:30:00,2.5,momentum,full,NONE,False,6.361495655020159,0.6361495655020158,HBARUSDT,18,3.1058823529411743,0.008500000000000008,3.2529411764705864,0.011764705882351635,3.2529411764705864,0.2138,0.18605,0.2222,0,27,2022-01-24 20:00:00,0.2052,0.0540727130676714,stop_loss,trailing_stop,momentum,7.0,BELOW,15m
SHORT,0.20335,3.0,0.003437,,0.2052,-0.09840425531914852,TREND,31.5096,0.0046,12.6267,29.9299,3.0,3_to_4,0.5,,True,,,0.003500000000000003,,,BOS,True,,,0.2222,2022-01-24 07:00:00,2.5,momentum,full,NONE,False,6.361495655020159,0.6361495655020158,HBARUSDT,13,0.8537234042553203,0.018799999999999983,0.9202127659574482,0.46808510638297923,0.9202127659574482,0.21215,0.18605,0.2222,1,27,2022-01-24 20:00:00,0.2052,-0.011768766961787233,stop_loss,trailing_stop,momentum,7.0,BELOW,15m
