direction,entry,entry_level,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,confidence_bucket,position_size_multiplier,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_type,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,signal_id,exit_time,exit_price,pnl,exit_reason,exit_type,entry_mode,candles_since_bos,ema_position,mtf_tf
SHORT,10.9476,1.0,,10.889,0.47106109324759154,TREND,32.3927,0.0738,6.97,35.5276,3.5,3_to_4,0.5,BEARISH_BOS,False,,,0.16300000000000026,,,BOS,False,,,11.072,2023-05-06 13:00:00,2.5,zone,3.9168498765809265,0.4872561246466658,ATOMUSDT,21,1.3553054662379433,0.12439999999999962,1.6125401929260472,0.0032154340836080815,1.6125401929260472,10.948,10.747,11.072,0,8,2023-05-07 10:00:00,10.889,0.2295274027676431,stop_loss,trailing_stop,zone,,BELOW,
SHORT,10.798,1.0,,10.889,-0.33211678832116637,TREND,32.3927,0.0738,6.97,35.5276,3.5,3_to_4,0.5,BEARISH_BOS,False,,,0.16300000000000026,,,BOS,False,,,11.072,2023-05-06 14:00:00,2.5,zone,3.9168498765809265,0.4872561246466658,ATOMUSDT,20,0.06934306569343135,0.27399999999999913,0.18613138686131503,0.5474452554744555,0.18613138686131503,10.948,10.747,11.072,1,8,2023-05-07 10:00:00,10.889,-0.3564333387688616,stop_loss,trailing_stop,zone,,BELOW,
SHORT,10.571,2.0,,10.64,-0.4893617021276655,TREND,36.6234,0.1389,7.9733,37.0885,3.5,3_to_4,0.5,BEARISH_BOS,False,,,0.06099999999999994,,,BOS,False,,,10.712,2023-05-09 03:00:00,2.5,zone,3.451216985579146,0.48662159496665963,ATOMUSDT,9,0.6312056737588682,0.14100000000000001,0.9645390070921931,0.7092198581560257,0.9645390070921931,10.671,10.435,10.712,0,9,2023-05-09 12:00:00,10.64,-0.23813397200496397,stop_loss,trailing_stop,zone,,BELOW,
SHORT,10.4038,1.0,,10.432,-0.10322108345534438,TREND,35.3968,0.125,17.0857,38.9714,3.5,3_to_4,0.5,BEARISH_BOS,False,,,0.5090000000000003,,,BOS,False,,,10.677,2023-05-09 15:00:00,2.5,zone,1.7768335472424461,0.4854309251066349,ATOMUSDT,10,0.29941434846266995,0.2731999999999992,0.49341142020498036,0.3191800878477289,0.49341142020498036,10.491,10.269,10.677,0,10,2023-05-10 01:00:00,10.432,-0.050106706032236985,stop_loss,trailing_stop,zone,,BELOW,
SHORT,10.868,,10.7471,10.9486,-1.0,RANGE,20.2667,0.0806,23.1383,21.0993,3.0,3_to_4,0.5,,False,SWEEP_HIGH,,0.20000000000000107,,,SWEEP,False,10.9486,,,2023-05-16 21:00:00,2.5,zone,4.851803915764737,0.4851803915764737,ATOMUSDT,3,0.18610421836228888,0.08060000000000045,0.3846153846153897,1.0794044665012315,0.3846153846153897,10.955,10.837,10.9486,0,11,2023-05-17 00:00:00,10.9486,-0.39105539561064,stop_loss,SL,,,,
SHORT,10.645,,,10.621,0.08955223880596669,TREND,35.4269,0.1244,16.7623,34.1561,4.0,4_to_5,1.0,,True,,,0.06700000000000017,,,BOS,True,,,10.913,2023-05-19 01:00:00,2.5,momentum,3.6061575716299945,0.966450229196841,ATOMUSDT,26,0.4776119402985067,0.2680000000000007,0.8955223880597,0.05597014925373332,0.8955223880597,10.66,10.405,10.913,0,12,2023-05-20 03:00:00,10.621,0.08654778171911674,stop_loss,trailing_stop,momentum,6.0,BELOW,
SHORT,10.7991,1.0,,10.336,5.795994993742142,TREND,30.6432,0.0574,12.2042,37.858,3.5,3_to_4,0.5,BEARISH_BOS,False,,,0.21199999999999974,,,BOS,False,,,10.879,2023-05-31 04:00:00,2.5,zone,4.836578535070161,0.48365785350701607,ATOMUSDT,29,7.1727158948685386,0.0799000000000003,7.222778473091333,0.0,7.222778473091333,10.7991,10.222,10.879,0,13,2023-06-01 09:00:00,10.336,2.2398195195909865,stop_loss,trailing_stop,zone,,BELOW,
SHORT,10.595,1.0,,10.336,2.0853462157810294,TREND,30.6432,0.0574,12.2042,37.858,3.5,3_to_4,0.5,BEARISH_BOS,False,,,0.21199999999999974,,,BOS,False,,,10.879,2023-05-31 05:00:00,2.5,zone,4.836578535070161,0.48365785350701607,ATOMUSDT,28,2.9710144927536617,0.12419999999999831,3.003220611916314,0.31400966183575063,3.003220611916314,10.634,10.222,10.879,1,13,2023-06-01 09:00:00,10.336,1.2526738405831732,stop_loss,trailing_stop,zone,,BELOW,
SHORT,10.597,1.0,,10.336,2.1358428805237355,TREND,30.6432,0.0574,12.2042,37.858,3.5,3_to_4,0.5,BEARISH_BOS,False,,,0.21199999999999974,,,BOS,False,,,10.879,2023-05-31 06:00:00,2.5,zone,4.836578535070161,0.48365785350701607,ATOMUSDT,27,3.036006546644848,0.12219999999999942,3.068739770867445,0.30278232405892785,3.068739770867445,10.634,10.222,10.879,2,13,2023-06-01 09:00:00,10.336,1.2623469976533084,stop_loss,trailing_stop,zone,,BELOW,
LONG,10.608,2.0,,10.592,-0.044198895027624335,TREND,39.8377,0.0615,40.9988,13.2404,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.0600000000000005,,,BOS,False,,10.246,,2023-06-02 15:00:00,2.5,zone,1.401746009105396,0.5074320552961534,ATOMUSDT,9,0.10220994475137851,0.3620000000000001,0.15193370165745773,0.15193370165745773,0.15193370165745773,10.663,10.553,10.246,0,14,2023-06-03 00:00:00,10.592,-0.022427936145686354,stop_loss,trailing_stop,zone,,ABOVE,
