direction,entry,entry_level,zone_size_at_entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,confidence_bucket,position_size_multiplier,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_type,zone_entry_type,htf_filter_variant,htf_filter_applied,entry_mode,candles_since_bos,ema_position,initial_risk,mtf_tf,position_size,risk_amount,requested_size,actual_size,trade_risk,capital_before_entry,risk_percent,allocated_capital,log_message,sizing_warning,capital_after_entry,symbol,bars_alive,max_r,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,realized_pnl,realized_r,mfe_valid,mae_valid,partial_tp_hits,tp1_taken,tp1_price,signal_id,entry_bar_index,exit_time,exit_price,pnl,exit_reason,exit_type,capital_after_exit
SHORT,472.65,,3.747321,,475.25,-0.011791273053847381,TREND,35.9187,4.9964,15.4396,22.2302,4.0,4_to_5,1.0,,True,,,3.8000000000000114,,,BOS,True,,,479.2,2022-01-18 04:00:00,2.5,momentum,,NONE,False,momentum,10.0,BELOW,7.0464000000000055,15m,0.021157304559399133,0.14908283084735016,10.0,10.0,0.14908283084735016,100.0,0.01,10.0,"ENTRY BNBUSDT: requested_size=10.0000, actual_size=10.0000, available=100.0000, units=0.021157, trade_risk=0.1491",False,90.0,BNBUSDT,2,0.5676657584014527,0.794732061762029,0.3973660308810186,0.794732061762029,475.45,467.05,479.6964,0,0.0,-0.011791273053847381,True,True,0,False,465.6036,1,412,2022-01-18 06:00:00,475.25,-0.08308602644663025,stop_loss,trailing_stop,99.91691397355336
LONG,17.2174,1.0,0.248732,,17.063,-0.15886412382512843,TREND,35.9375,0.3316,29.8945,20.3748,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.25900000000000034,,,BOS,False,,16.552,,2022-01-18 09:00:00,2.5,zone,full,NONE,False,zone,,ABOVE,0.6654000000000018,,0.5222926956230209,0.34753355966755906,8.992522257619802,8.992522257619802,0.34753355966755906,89.92522257619802,0.01,8.992522257619802,"ENTRY UNIUSDT: requested_size=8.9925, actual_size=8.9925, available=89.9252, units=0.522293, trade_risk=0.3475",False,80.93270031857823,UNIUSDT,4,0.42320408776675184,0.6215810039074208,1.0661256387135563,0.6215810039074208,17.631,16.508,16.552,0,0.0,-0.15886412382512843,True,True,0,False,17.882800000000003,3,417,2022-01-18 13:00:00,17.063,-0.10570818799324075,stop_loss,trailing_stop,99.78322904964753
SHORT,465.8,,4.138393,,465.8,-0.002054408970002246,TREND,30.1981,5.5179,9.7087,35.9871,4.0,4_to_5,1.0,,True,SWEEP_LOW,,3.9499999999999886,,,BOS,True,,,479.2,2022-01-18 09:45:00,2.5,momentum,,NONE,False,momentum,15.0,BELOW,13.617899999999963,15m,0.021450604116263067,0.29211218179485804,9.991691397355337,9.991691397355337,0.29211218179485804,99.91691397355336,0.01,9.991691397355337,"ENTRY BNBUSDT: requested_size=9.9917, actual_size=9.9917, available=99.9169, units=0.021451, trade_risk=0.2921",False,89.92522257619802,BNBUSDT,1,0.0477312948398825,0.2202982838763692,0.09179095161515383,0.2202982838763692,467.05,462.8,479.4179,0,0.0,-0.002054408970002246,True,True,0,False,452.18210000000005,2,417,2022-01-18 10:00:00,465.8,-0.02797673591259351,stop_loss,trailing_stop,90.89641498002098
SHORT,16.056,,0.179036,,15.817300000000003,0.37896942529536864,TREND,36.6918,0.2387,19.0604,27.3489,3.0,3_to_4,0.5,,True,,,0.1390000000000029,,,BOS,True,,,16.221,2022-01-19 04:00:00,2.5,momentum,,NONE,False,momentum,8.0,BELOW,0.2386999999999979,,0.31073501821639116,0.14834489769650383,9.978322904964754,9.978322904964754,0.14834489769650383,99.78322904964753,0.01,4.989161452482377,"ENTRY UNIUSDT: requested_size=9.9783, actual_size=9.9783, available=99.7832, units=0.621470, trade_risk=0.1483",False,89.80490614468277,UNIUSDT,10,3.225806451612937,3.4352744030163698,0.0,3.4352744030163698,16.056,15.236,16.2947,0,0.06030666787866914,0.37896942529536864,True,True,1,True,15.817300000000003,4,436,2022-01-19 14:00:00,15.817300000000003,0.12061333575733828,take_profit,TP,92.05066379371384
SHORT,15.736,,0.179036,,15.817300000000003,-0.03302435147290375,TREND,36.6918,0.2387,19.0604,27.3489,3.0,3_to_4,0.5,,True,,,0.1390000000000029,,,BOS,True,,,16.221,2022-01-19 05:00:00,2.5,momentum,,NONE,False,momentum,8.0,BELOW,0.3359999999999985,,0.4267057660864368,0.20253603045916738,9.485437426504381,6.71464193513617,0.14337313740504212,94.85437426504382,0.01,6.71464193513617,"SCALE-IN UNIUSDT L1: requested_size=9.4854, actual_size=9.4854, available=94.8544, units=0.602786, trade_risk=0.2025",False,88.13973232990764,UNIUSDT,9,1.3392857142857233,1.4880952380952446,0.2648809523809495,1.4880952380952446,15.825,15.236,16.2947,1,0.06030666787866914,-0.03302435147290375,True,True,1,True,15.817300000000003,4,436,2022-01-19 14:00:00,15.817300000000003,0.006765910150692424,take_profit,TP,98.7720716390007
SHORT,15.313,,0.179036,,15.817300000000003,0.04126797431630906,TREND,36.6918,0.2387,19.0604,27.3489,3.0,3_to_4,0.5,,True,,,0.1390000000000029,,,BOS,True,,,16.221,2022-01-19 07:00:00,2.5,momentum,,NONE,False,momentum,8.0,BELOW,0.5043000000000024,,0.07828925255884078,0.2902688370271837,8.813973232990765,1.198843324433529,0.039481270065423596,88.13973232990764,0.01,1.198843324433529,"SCALE-IN UNIUSDT L2: requested_size=8.8140, actual_size=8.8140, available=88.1397, units=0.575588, trade_risk=0.2903",False,86.94088900547412,UNIUSDT,7,0.05353955978584354,0.15070394606385118,1.0152686892722511,0.15070394606385118,15.825,15.237,16.2947,2,0.06030666787866914,0.04126797431630906,True,True,1,True,15.817300000000003,4,436,2022-01-19 14:00:00,15.817300000000003,0.017413346934232125,take_profit,TP,99.98832831036846
LONG,1.3816,1.0,0.017464,,1.378,-1.1897350595044014,TREND,33.1217,0.0233,36.9632,9.6933,4.0,4_to_5,1.0,BULLISH_BOS,True,SWEEP_HIGH,,0.04169999999999985,,,BOS,True,,1.3362,,2022-01-20 15:00:00,2.5,zone,full,NONE,False,zone,,BELOW,0.045399999999999885,,7.237140149852959,0.3285661628033235,9.998832831036847,9.998832831036847,0.3285661628033235,99.98832831036846,0.01,9.998832831036847,"ENTRY ADAUSDT: requested_size=9.9988, actual_size=9.9988, available=99.9883, units=7.237140, trade_risk=0.3286",False,89.98949547933161,ADAUSDT,5,0.5440528634361284,0.7488986784140995,0.5814977973568292,0.7488986784140995,1.4156,1.3552,1.3362,0,0.0,-1.1897350595044014,True,True,0,False,1.4269999999999998,5,471,2022-01-20 20:00:00,1.378,-0.054013971701499686,stop_loss,trailing_stop,99.93431433866697
SHORT,41111.0,1.0,399.053571,,35850.0,0.0003337541496406397,TREND,39.9816,532.0714,23.285,39.0254,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,810.0,,,BOS,False,,,43380.5,2022-01-21 00:30:00,2.5,zone,full,NONE,False,zone,,BELOW,2269.5,15m,0.00012154206214719536,0.5516794200861197,9.993431433866697,9.993431433866697,0.5516794200861197,99.93431433866697,0.01,4.996715716933348,"ENTRY BTCUSDT: requested_size=9.9934, actual_size=9.9934, available=99.9343, units=0.000243, trade_risk=0.5517",False,89.94088290480028,BTCUSDT,37,2.7814496585150916,3.150914298303591,0.0,3.150914298303591,41111.0,33960.0,43380.5,0,0.26223519196559086,0.0003337541496406397,True,True,1,True,38841.5,6,480,2022-01-22 13:00:00,35850.0,0.8885726385922272,take_profit,TP,90.69609559558454
SHORT,23.445,,0.367232,,19.155,0.47227439522360676,TREND,35.7878,0.4896,16.9949,39.752,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,0.6899999999999977,,,BOS,False,,,25.585,2022-01-21 00:30:00,2.5,momentum,momentum,NONE,False,momentum,,BELOW,2.1400000000000006,15m,0.19181250352911125,0.8209575151045964,8.994088290480027,8.994088290480027,0.8209575151045964,89.94088290480028,0.01,4.497044145240014,"ENTRY DOTUSDT: requested_size=8.9941, actual_size=8.9941, available=89.9409, units=0.383625, trade_risk=0.8210",False,80.94679461432025,DOTUSDT,37,2.990654205607475,3.464953271028036,0.0,3.464953271028036,23.445,16.03,25.585,0,0.3984618683977029,0.47227439522360676,True,True,1,True,21.305,7,480,2022-01-22 13:00:00,19.155,1.2098981399773703,take_profit,TP,96.40303788080192
SHORT,3033.0,1.0,38.196429,,2430.6,0.003965181832192134,TREND,36.0235,50.9286,19.3128,40.1262,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,88.20000000000027,,,BOS,False,,,3272.0,2022-01-21 00:30:00,2.5,zone,full,NONE,False,zone,,BELOW,239.0,15m,0.0013344344644629124,0.6378596740132721,8.094679461432026,8.094679461432026,0.6378596740132721,80.94679461432025,0.01,4.047339730716013,"ENTRY ETHUSDT: requested_size=8.0947, actual_size=8.0947, available=80.9468, units=0.002669, trade_risk=0.6379",False,72.85211515288823,ETHUSDT,40,2.708995815899581,3.083682008368201,0.0,3.083682008368201,3033.0,2296.0,3272.0,0,0.3080439151043757,0.003965181832192134,True,True,1,True,2794.0,8,480,2022-01-22 16:00:00,2430.6,1.1017004154461079,take_profit,TP,99.16211604273175
