symbol,direction,entry,sl,tp,rr,signal_type,regime,confidence,timestamp,initial_risk,position_size,risk_amount,trade_risk,stop_distance,max_leverage,requested_size,actual_size,capital_before_entry,risk_percent,allocated_capital,log_message,sizing_warning,capital_after_entry,entry_type,bars_alive,max_r,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,realized_pnl,realized_r,mfe_valid,mae_valid,partial_tp_hits,tp1_taken,tp1_price,signal_id,entry_bar_index,exit_time,exit_price,pnl,exit_reason,exit_type,capital_after_exit,mtf_tf
HBARUSDT,LONG,0.2614,0.25627678571428575,,-1.1414638367375294,RANDOM,RANDOM,5.0,2022-01-09 15:15:00,1.0,195.18996165911517,1.0,1.0,0.005123214285714273,3.0,51.02265597769271,51.02265597769271,100.0,0.01,51.02265597769271,"ENTRY HBARUSDT: notional=51.022656, capital=100.00, units=195.189962, risk_amount=1.0000, trade_risk=1.0000",False,100.0,zone,23,0.013949999999999962,0.01469999999999999,0.012450000000000017,0.01469999999999999,0.2761,0.24895,0.25627678571428575,0,0.0,-1.1414638367375294,True,True,0,False,1.2614,1,207,2022-01-10 14:00:00,0.25627678571428575,-1.1414638367375294,stop_loss,SL,98.27414839038131,15m
ADAUSDT,SHORT,1.1818,1.1899321428571428,1.1736678571428572,0.5944916604304076,RANDOM,RANDOM,5.0,2022-01-09 22:00:00,1.0,122.96881862099325,1.0,1.0,0.00813214285714281,3.0,145.3245498462898,145.3245498462898,100.0,0.01,145.3245498462898,"ENTRY ADAUSDT: notional=145.324550, capital=100.00, units=122.968819, risk_amount=1.0000, trade_risk=1.0000",False,100.0,zone,1,0.011900000000000022,0.014100000000000001,0.0033000000000000806,0.014100000000000001,1.1851,1.1677,1.1899321428571428,0,0.0,0.5944916604304076,True,True,0,False,0.18179999999999996,2,214,2022-01-09 23:00:00,1.1736678571428572,0.5944916604304076,take_profit,TP,100.5944916604304,
ATOMUSDT,LONG,35.205,34.65821428571428,35.75178571428572,-1.1788794333115649,RANDOM,RANDOM,5.0,2022-01-09 22:00:00,1.0,1.828870019595022,1.0,1.0,0.5467857142857184,3.0,64.38536903984274,64.38536903984274,100.0,0.01,64.38536903984274,"ENTRY ATOMUSDT: notional=64.385369, capital=100.00, units=1.828870, risk_amount=1.0000, trade_risk=1.0000",False,100.0,zone,2,0.0,0.25,0.6499999999999986,0.25,35.455,34.555,34.65821428571428,0,0.0,-1.1788794333115649,True,True,0,False,36.205,3,214,2022-01-10 00:00:00,34.65821428571428,-1.1788794333115649,stop_loss,SL,99.41561222711884,
DOGEUSDT,SHORT,0.1455,0.14622749999999998,0.1447725,-0.595996250000024,RANDOM,RANDOM,5.0,2022-01-10 13:00:00,0.9941561222711884,1366.5376251150506,0.9941561222711884,0.9941561222711884,0.000727499999999992,3.0,198.83122445423984,198.83122445423984,99.41561222711884,0.01,198.83122445423984,"ENTRY DOGEUSDT: notional=198.831224, capital=99.42, units=1366.537625, risk_amount=0.9942, trade_risk=0.9942",False,99.41561222711884,zone,1,0.0025146955734564654,0.009455255356196294,0.00010058782293827538,0.009455255356196294,0.1456,0.1361,0.14622749999999998,0,0.0,-0.595996250000024,True,True,0,False,-0.8486561222711885,4,229,2022-01-10 14:00:00,0.1447725,-0.5925133207881936,stop_loss,SL,97.68163506959311,
ATOMUSDT,LONG,35.19,34.669821428571424,35.71017857142857,-1.1880199674562226,RANDOM,RANDOM,5.0,2022-01-10 14:00:00,0.9768163506959312,1.877848116682868,0.9768163506959312,0.9768163506959312,0.5201785714285734,3.0,66.08147522607013,66.08147522607013,97.68163506959311,0.01,66.08147522607013,"ENTRY ATOMUSDT: notional=66.081475, capital=97.68, units=1.877848, risk_amount=0.9768, trade_risk=0.9768",False,97.68163506959311,zone,1,1.2591926815349606,1.3308540536548363,0.890648482061308,1.3308540536548363,36.49,34.32,34.669821428571424,0,0.0,-1.1880199674562226,True,True,0,False,36.16681635069593,5,230,2022-01-10 15:00:00,34.669821428571424,-1.1604773291644863,stop_loss,SL,96.52115774042862,
DOGEUSDT,SHORT,0.1417,0.1430142857142857,0.14038571428571428,-1.8665254891304366,RANDOM,RANDOM,5.0,2022-01-10 17:00:00,0.9652115774042862,734.4001132423928,0.9652115774042862,0.9652115774042862,0.0013142857142857123,3.0,104.06449604644705,104.06449604644705,96.52115774042862,0.01,104.06449604644705,"ENTRY DOGEUSDT: notional=104.064496, capital=96.52, units=734.400113, risk_amount=0.9652, trade_risk=0.9652",False,96.52115774042862,zone,2,0.0002072084553086895,0.0005180211382717093,0.0014504591871607978,0.0005180211382717093,0.1431,0.1412,0.1430142857142857,0,0.0,-1.8665254891304366,True,True,0,False,-0.8235115774042863,6,233,2022-01-10 19:00:00,0.1430142857142857,-1.8015920116288955,stop_loss,SL,94.71956572879972,
ADAUSDT,SHORT,1.1297,1.1418249999999999,1.117575,-1.2622795752577312,RANDOM,RANDOM,5.0,2022-01-10 22:00:00,0.9471956572879973,78.1192294670517,0.9471956572879973,0.9471956572879973,0.012124999999999941,3.0,88.2512935289283,88.2512935289283,94.71956572879972,0.01,88.2512935289283,"ENTRY ADAUSDT: notional=88.251294, capital=94.72, units=78.119229, risk_amount=0.9472, trade_risk=0.9472",False,94.71956572879972,zone,3,0.007179086968651884,0.008973858710814913,0.028294048641157934,0.008973858710814913,1.1565,1.1212,1.1418249999999999,0,0.0,-1.2622795752577312,True,True,0,False,0.18250434271200267,7,238,2022-01-11 01:00:00,1.1418249999999999,-1.1956257319674606,stop_loss,SL,93.52393999683227,
DOGEUSDT,SHORT,0.1458,0.1487214285714286,,-1.4032604737163814,RANDOM,RANDOM,5.0,2022-01-11 02:15:00,0.9352393999683227,320.1308459549267,0.9352393999683227,0.9352393999683227,0.002921428571428575,3.0,46.67507734022832,46.67507734022832,93.52393999683227,0.01,46.67507734022832,"ENTRY DOGEUSDT: notional=46.675077, capital=93.52, units=320.130846, risk_amount=0.9352, trade_risk=0.9352",False,93.52393999683227,zone,9,0.003100810338078399,0.003314659326911397,0.02288184180513012,0.003314659326911397,0.1672,0.1427,0.1487214285714286,0,0.0,-1.4032604737163814,True,True,0,False,-0.7894393999683227,8,242,2022-01-11 11:00:00,0.1487214285714286,-1.312384483437773,stop_loss,SL,92.2115555133945,15m
DOGEUSDT,LONG,0.1527,0.1492642857142857,,-1.351563001559254,RANDOM,RANDOM,5.0,2022-01-11 13:00:00,0.922115555133945,268.39122186850744,0.922115555133945,0.922115555133945,0.003435714285714292,3.0,40.98333957932109,40.98333957932109,92.2115555133945,0.01,40.98333957932109,"ENTRY DOGEUSDT: notional=40.983340, capital=92.21, units=268.391222, risk_amount=0.9221, trade_risk=0.9221",False,92.2115555133945,zone,2,0.0,0.0033618346233728704,0.005530760186839246,0.0033618346233728704,0.1558,0.1476,0.1492642857142857,0,0.0,-1.351563001559254,True,True,0,False,1.074815555133945,9,252,2022-01-11 14:00:00,0.1492642857142857,-1.2462972674813124,stop_loss,SL,90.96525824591319,15m
ATOMUSDT,LONG,38.55,38.003392857142856,39.09660714285714,0.8011276786671072,RANDOM,RANDOM,5.0,2022-01-11 16:00:00,0.9096525824591319,1.6641798306994955,0.9096525824591319,0.9096525824591319,0.5466071428571411,3.0,64.15413247346555,64.15413247346555,90.96525824591319,0.01,64.15413247346555,"ENTRY ATOMUSDT: notional=64.154132, capital=90.97, units=1.664180, risk_amount=0.9097, trade_risk=0.9097",False,90.96525824591319,zone,1,0.0,0.8519736160204043,0.5166807735865627,0.8519736160204043,39.325,38.08,38.003392857142856,0,0.0,0.8011276786671072,True,True,0,False,39.45965258245913,10,256,2022-01-11 17:00:00,39.09660714285714,0.7287478617790237,take_profit,TP,91.69400610769222,
ADAUSDT,SHORT,1.1976,1.2051107142857143,1.1900892857142857,0.5549342088445285,RANDOM,RANDOM,5.0,2022-01-12 01:00:00,0.9169400610769222,122.08426871209657,0.9169400610769222,0.9169400610769222,0.0075107142857142595,3.0,146.20812020960685,146.20812020960685,91.69400610769222,0.01,146.20812020960685,"ENTRY ADAUSDT: notional=146.208120, capital=91.69, units=122.084269, risk_amount=0.9169, trade_risk=0.9169",False,91.69400610769222,zone,1,0.004035160156111495,0.012868889146517648,0.0066525613384540135,0.012868889146517648,1.2037,1.1858,1.2051107142857143,0,0.0,0.5549342088445285,True,True,0,False,0.28065993892307783,11,265,2022-01-12 02:00:00,1.1900892857142857,0.5088414073515755,take_profit,TP,92.2028475150438,
DOGEUSDT,SHORT,0.1531,0.15410000000000001,0.1521,-0.2207962500000071,RANDOM,RANDOM,5.0,2022-01-12 04:00:00,0.9220284751504381,922.0284751504372,0.9220284751504381,0.9220284751504381,0.0010000000000000009,3.0,141.16255954553196,141.16255954553196,92.2028475150438,0.01,141.16255954553196,"ENTRY DOGEUSDT: notional=141.162560, capital=92.20, units=922.028475, risk_amount=0.9220, trade_risk=0.9220",False,92.2028475150438,zone,3,0.0011930217229142968,0.001952217364768844,0.0009761086823843919,0.001952217364768844,0.154,0.1513,0.15410000000000001,0,0.0,-0.2207962500000071,True,True,0,False,-0.768928475150438,12,268,2022-01-12 07:00:00,0.1521,-0.20358042970644147,stop_loss,SL,92.52249333034186,
ADAUSDT,SHORT,1.2171,1.2249535714285715,1.2092464285714286,0.5674729784447609,RANDOM,RANDOM,5.0,2022-01-12 05:00:00,0.9220284751504381,117.40244340251097,0.9220284751504381,0.9220284751504381,0.00785357142857146,3.0,142.8905138651961,142.8905138651961,92.2028475150438,0.01,142.8905138651961,"ENTRY ADAUSDT: notional=142.890514, capital=92.20, units=117.402443, risk_amount=0.9220, trade_risk=0.9220",False,92.2028475150438,zone,1,0.008134239019870143,0.01117102158728821,0.0014099347634439912,0.01117102158728821,1.2184,1.2068,1.2249535714285715,0,0.0,0.5674729784447609,True,True,0,False,0.295071524849562,13,269,2022-01-12 06:00:00,1.2092464285714286,0.5232262450045002,take_profit,TP,92.7260737600483,
HBARUSDT,SHORT,0.2934,0.29743214285714287,,-1.2051431812223212,RANDOM,RANDOM,5.0,2022-01-12 13:30:00,0.9252249333034186,229.46233952609052,0.9252249333034186,0.9252249333034186,0.004032142857142873,3.0,67.32425041695495,67.32425041695495,92.52249333034186,0.01,67.32425041695495,"ENTRY HBARUSDT: notional=67.324250, capital=92.52, units=229.462340, risk_amount=0.9252, trade_risk=0.9252",False,92.52249333034186,zone,8,0.003134372946096327,0.004323273029098365,0.005187927634918063,0.004323273029098365,0.2982,0.2894,0.29743214285714287,0,0.0,-1.2051431812223212,True,True,0,False,-0.6318249333034186,14,277,2022-01-12 21:00:00,0.29743214285714287,-1.1150285194674918,stop_loss,SL,91.40746481087437,15m
DOGEUSDT,SHORT,0.1711,0.17307142857142857,0.16912857142857143,0.30968490942029053,RANDOM,RANDOM,5.0,2022-01-13 11:00:00,0.9140746481087437,463.6610533884939,0.9140746481087437,0.9140746481087437,0.0019714285714285684,3.0,79.3324062347713,79.3324062347713,91.40746481087437,0.01,79.3324062347713,"ENTRY DOGEUSDT: notional=79.332406, capital=91.41, units=463.661053, risk_amount=0.9141, trade_risk=0.9141",False,91.40746481087437,zone,2,0.00032820076633862066,0.004594810728740781,0.0010940025544620893,0.004594810728740781,0.1721,0.1669,0.17307142857142857,0,0.0,0.30968490942029053,True,True,0,False,-0.7429746481087437,15,299,2022-01-13 13:00:00,0.16912857142857143,0.28307512460294026,take_profit,TP,91.69053993547732,
HBARUSDT,SHORT,0.28255,0.2847,0.28040000000000004,-1.3693724930232465,RANDOM,RANDOM,5.0,2022-01-13 15:00:00,0.9169053993547732,426.4676276068742,0.9169053993547732,0.9169053993547732,0.0021499999999999853,3.0,120.49842818032232,120.49842818032232,91.69053993547732,0.01,120.49842818032232,"ENTRY HBARUSDT: notional=120.498428, capital=91.69, units=426.467628, risk_amount=0.9169, trade_risk=0.9169",False,91.69053993547732,zone,1,0.0,0.0017995313378688206,0.0033264064124240993,0.0017995313378688206,0.2856,0.2809,0.2847,0,0.0,-1.3693724930232465,True,True,0,False,-0.6343553993547733,16,303,2022-01-13 16:00:00,0.2847,-1.2555850325809212,stop_loss,SL,90.4349549028964,
ADAUSDT,LONG,1.2393,1.2285857142857144,1.2500142857142857,-1.3224708000000003,RANDOM,RANDOM,5.0,2022-01-13 22:00:00,0.904349549028964,84.40595790937027,0.9043495490289639,0.904349549028964,0.010714285714285676,3.0,104.60430363708258,104.60430363708258,90.4349549028964,0.01,104.60430363708258,"ENTRY ADAUSDT: notional=104.604304, capital=90.43, units=84.405958, risk_amount=0.9043, trade_risk=0.9043",False,90.4349549028964,zone,1,0.0,0.00475479863357819,0.014043242475917248,0.00475479863357819,1.2436,1.2266,1.2285857142857144,0,0.0,-1.3224708000000003,True,True,0,False,2.143649549028964,17,310,2022-01-13 23:00:00,1.2285857142857144,-1.1959758715839734,stop_loss,SL,89.23897903131243,
DOGEUSDT,LONG,0.1652,0.16109285714285715,,-1.3177846195652188,RANDOM,RANDOM,5.0,2022-01-13 22:30:00,0.9043495490289639,220.18945541574732,0.9043495490289639,0.9043495490289639,0.004107142857142865,3.0,36.37529803468146,36.37529803468146,90.4349549028964,0.01,36.37529803468146,"ENTRY DOGEUSDT: notional=36.375298, capital=90.43, units=220.189455, risk_amount=0.9043, trade_risk=0.9043",False,90.4349549028964,zone,129,0.03803838906862577,0.05539893291680672,0.00663460274452776,0.05539893291680672,0.2153,0.1592,0.16109285714285715,0,0.0,-1.3177846195652188,True,True,0,False,1.069549549028964,18,310,2022-01-19 07:00:00,0.16109285714285715,-1.1917379264211103,stop_loss,SL,86.83711086321388,15m
ADAUSDT,LONG,1.2674,1.2607535714285716,1.2740464285714286,-1.5325292554540149,RANDOM,RANDOM,5.0,2022-01-15 11:00:00,0.8923897903131242,134.26606194931625,0.8923897903131243,0.8923897903131242,0.006646428571428498,3.0,170.16880691456342,170.16880691456342,89.23897903131243,0.01,170.16880691456342,"ENTRY ADAUSDT: notional=170.168807, capital=89.24, units=134.266062, risk_amount=0.8924, trade_risk=0.8924",False,89.23897903131243,zone,1,0.0,0.0023532317635134945,0.01714497427702707,0.0023532317635134945,1.2695,1.2521,1.2607535714285716,0,0.0,-1.5325292554540149,True,True,0,False,2.1597897903131242,19,347,2022-01-15 12:00:00,1.2607535714285716,-1.3676134609233366,stop_loss,SL,87.87136557038909,
ADAUSDT,LONG,1.3676,1.3591035714285713,1.3760964285714286,0.547907503825161,RANDOM,RANDOM,5.0,2022-01-16 05:00:00,0.8787136557038909,103.42153156666156,0.8787136557038909,0.8787136557038909,0.008496428571428627,3.0,141.43928657056634,141.43928657056634,87.87136557038909,0.01,141.43928657056634,"ENTRY ADAUSDT: notional=141.439287, capital=87.87, units=103.421532, risk_amount=0.8787, trade_risk=0.8787",False,87.87136557038909,zone,1,0.003641686889953635,0.012290693253593329,0.0026174624521540647,0.012290693253593329,1.3784,1.3653,1.3591035714285713,0,0.0,0.547907503825161,True,True,0,False,2.246313655703891,20,365,2022-01-16 06:00:00,1.3760964285714286,0.4814538056738008,take_profit,TP,88.35281937606288,
XRPUSDT,SHORT,0.7803,0.7858428571428572,,30.770543891752382,RANDOM,RANDOM,5.0,2022-01-16 14:00:00,0.8835281937606289,159.3994164001123,0.8835281937606289,0.8835281937606289,0.005542857142857183,3.0,124.37936461700762,124.37936461700762,88.35281937606288,0.01,124.37936461700762,"ENTRY XRPUSDT: notional=124.379365, capital=88.35, units=159.399416, risk_amount=0.8835, trade_risk=0.8835",False,88.35281937606288,zone,201,0.2487753096643678,0.2647340533689519,0.004074572860744931,0.2647340533689519,0.7839,0.5464,0.7858428571428572,0,0.0,30.770543891752382,True,True,0,False,-0.10322819376062886,21,373,2022-01-24 22:00:00,0.6078,27.186643065712133,timeout,timeout,106.09976316937352,15m
ADAUSDT,SHORT,1.4118,1.4222571428571429,1.401342857142857,0.623377449180361,RANDOM,RANDOM,5.0,2022-01-16 17:00:00,0.8835281937606289,84.4904010426824,0.8835281937606289,0.8835281937606289,0.010457142857142943,3.0,119.283548192059,119.283548192059,88.35281937606288,0.01,119.283548192059,"ENTRY ADAUSDT: notional=119.283548, capital=88.35, units=84.490401, risk_amount=0.8835, trade_risk=0.8835",False,88.35281937606288,zone,2,0.025805628118050813,0.029993383558260867,0.005885494132187151,0.029993383558260867,1.417,1.3853,1.4222571428571429,0,0.0,0.623377449180361,True,True,0,False,0.5282718062393711,22,377,2022-01-16 19:00:00,1.401342857142857,0.5507715517054326,take_profit,TP,88.90359092776832,
