direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,signal_type,has_fvg,timestamp,ema_position,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,exit_time,exit_price,pnl,exit_reason
SHORT,11.016,10.7888,11.1127,2.35,TREND,31.3341,0.1018,6.9474,36.8421,4,BOS,True,2023-04-12 02:00:00,BELOW,5.167042399172689,0.4996530000000002,ATOMUSDT,5,0.0,0.09670000000000023,2023-04-12 07:00:00,11.1127,-0.49965300000000024,stop_loss
LONG,11.698,11.8784,11.698,2.35,TREND,30.1602,0.0808,43.2361,8.6649,4,BOS,True,2023-04-13 12:00:00,ABOVE,5.303316604436592,0.4067643835602901,ATOMUSDT,1,1.1994784876140543,0.07670000000000066,2023-04-13 13:00:00,11.698,-0.0,stop_loss
LONG,11.79,11.983,11.79,2.35,TREND,32.5109,0.0864,43.8843,8.0992,4,BOS,True,2023-04-13 13:00:00,ABOVE,6.05549901091252,0.4971564687959102,ATOMUSDT,3,1.0718635809988104,0.08209999999999873,2023-04-13 16:00:00,11.79,-0.0,stop_loss
LONG,12.751,13.0328,12.6426,2.6,TREND,37.0997,0.1141,37.5704,16.531,4,BOS,False,2023-04-18 11:00:00,ABOVE,3.122695392011082,0.33850018049400005,ATOMUSDT,2,0.0,0.10839999999999961,2023-04-18 13:00:00,12.6426,-0.33850018049400005,stop_loss
SHORT,11.56,11.222,11.56,2.2,TREND,27.1966,0.1617,17.977,29.7703,4,BOS,True,2023-04-20 15:00:00,BELOW,2.5135204062960095,0.38607673440706475,ATOMUSDT,1,1.2174479166666816,0.15359999999999907,2023-04-20 16:00:00,11.56,-0.0,stop_loss
SHORT,11.373,11.0229,11.5321,2.2,TREND,26.9757,0.1675,17.3561,35.3092,4,BOS,True,2023-04-20 16:00:00,BELOW,2.4266293803083823,0.38607673440706475,ATOMUSDT,6,0.15713387806410123,0.15910000000000046,2023-04-20 22:00:00,11.5321,-0.38607673440706475,stop_loss
SHORT,10.759,10.4363,10.759,2.6,TREND,37.3071,0.1306,6.1782,40.0219,4,BOS,False,2023-04-21 19:00:00,BELOW,2.70777735559634,0.33603516982950665,ATOMUSDT,1,0.9186140209508499,0.12410000000000032,2023-04-21 20:00:00,10.759,-0.0,stop_loss
LONG,11.45,11.7975,11.2956,2.25,TREND,32.3322,0.1626,34.8418,8.1283,4,BOS,False,2023-04-27 10:00:00,ABOVE,2.7930384366226453,0.43124513461453357,ATOMUSDT,2,0.025906735751304158,0.15439999999999898,2023-04-27 12:00:00,11.2956,-0.43124513461453357,stop_loss
SHORT,10.887,10.7293,10.887,2.25,TREND,32.3927,0.0738,6.97,35.5276,4,BOS,False,2023-05-06 13:00:00,BELOW,6.124998023984589,0.42936236148132,ATOMUSDT,1,1.2696148359486497,0.07010000000000005,2023-05-06 14:00:00,10.887,-0.0,stop_loss
SHORT,10.798,10.6073,10.8686,2.7,TREND,38.7085,0.0744,2.0173,43.2277,4,BOS,True,2023-05-06 14:00:00,BELOW,5.423435884450601,0.38289457344221606,ATOMUSDT,4,0.2691218130311608,0.07060000000000066,2023-05-06 18:00:00,10.8686,-0.38289457344221606,stop_loss
SHORT,10.567,10.224,10.64,2.6,TREND,36.6234,0.1389,7.9733,37.0885,4,BOS,False,2023-05-09 03:00:00,BELOW,2.526652513591341,0.3332654665426976,ATOMUSDT,9,0.6444275966641464,0.1318999999999999,2023-05-09 12:00:00,10.64,-0.1844456334921689,stop_loss
LONG,10.948,11.1933,10.8436,2.35,TREND,30.1266,0.1099,51.4304,14.4993,4,BOS,True,2023-05-10 13:00:00,ABOVE,3.8287353987985107,0.3997199756345647,ATOMUSDT,4,0.0,0.10440000000000005,2023-05-10 17:00:00,10.8436,-0.3997199756345647,stop_loss
LONG,10.983,11.1455,10.9139,2.35,TREND,29.0569,0.0728,29.1462,13.739,4,BOS,True,2023-05-18 03:00:00,ABOVE,5.486677587950778,0.37912942132740207,ATOMUSDT,2,0.0,0.0691000000000006,2023-05-18 05:00:00,10.9139,-0.37912942132740207,stop_loss
LONG,10.821,10.9175,10.821,2.6,TREND,39.8605,0.0391,30.5302,10.0548,3,BOS,False,2023-05-30 09:00:00,ABOVE,8.471013652909445,0.3142746065229453,ATOMUSDT,3,1.5633423180592703,0.03710000000000058,2023-05-30 12:00:00,10.821,-0.0,stop_loss
SHORT,10.609,10.4864,10.609,2.25,TREND,30.6432,0.0574,12.2042,37.858,4,BOS,False,2023-05-31 04:00:00,BELOW,6.357573462230121,0.3464877536915472,ATOMUSDT,10,1.7247706422017963,0.05450000000000088,2023-05-31 14:00:00,10.4864,0.7794385064694146,take_profit
LONG,10.608,10.7722,10.5381,2.35,TREND,33.6932,0.0736,31.4563,20.9709,4,BOS,True,2023-06-02 05:00:00,ABOVE,6.989264383261999,0.4885495803900174,ATOMUSDT,2,0.0,0.06990000000000052,2023-06-02 07:00:00,10.5381,-0.4885495803900174,stop_loss
LONG,10.616,10.7679,10.5576,2.6,TREND,39.8377,0.0615,40.9988,13.2404,4,BOS,False,2023-06-02 15:00:00,ABOVE,5.667430496157894,0.3309779409756147,ATOMUSDT,3,0.17123287671232834,0.0583999999999989,2023-06-02 18:00:00,10.5576,-0.3309779409756147,stop_loss
SHORT,10.569,10.4504,10.6195,2.35,TREND,31.6693,0.0531,21.5054,24.5968,4,BOS,True,2023-06-03 01:00:00,ABOVE,9.593164089974113,0.4844547865436884,ATOMUSDT,7,0.25742574257429296,0.050499999999999545,2023-06-03 08:00:00,10.6195,-0.48445478654368834,stop_loss
LONG,10.694,10.805,10.6529,2.7,TREND,37.8069,0.0433,35.1485,12.5413,4,BOS,True,2023-06-03 23:00:00,ABOVE,9.138955231189259,0.3756110600018798,ATOMUSDT,2,0.12165450121652041,0.041100000000000136,2023-06-04 01:00:00,10.6529,-0.37561106000187977,stop_loss
LONG,10.793,10.891,10.793,2.7,TREND,35.7463,0.0382,23.9252,17.1963,4,BOS,True,2023-06-04 07:00:00,ABOVE,12.024979758063179,0.43650676521768,ATOMUSDT,5,1.1294765840220833,0.03629999999999889,2023-06-04 12:00:00,10.793,-0.0,stop_loss
LONG,10.834,10.9059,10.802,2.25,TREND,33.459,0.0336,30.5732,10.1911,3,BOS,False,2023-06-04 12:00:00,ABOVE,12.486757326788684,0.3995762344572382,ATOMUSDT,1,0.0,0.03200000000000003,2023-06-04 13:00:00,10.802,-0.3995762344572382,stop_loss
SHORT,8.775,8.6127,8.759,2.35,TREND,29.179,0.0727,16.2083,25.6385,4,BOS,True,2023-06-18 01:00:00,BELOW,5.392083151803749,0.3725929457896327,ATOMUSDT,19,2.4891461649783433,0.06909999999999883,2023-06-18 20:00:00,8.6127,0.875135095537749,take_profit
SHORT,8.365,8.2538,8.365,2.2,TREND,26.2833,0.0532,14.8993,34.4966,4,BOS,True,2023-06-20 13:00:00,BELOW,7.430833928272816,0.37600019677059937,ATOMUSDT,1,1.1857707509881683,0.05059999999999931,2023-06-20 14:00:00,8.365,-0.0,stop_loss
SHORT,8.305,8.1801,8.3581,2.35,TREND,30.0584,0.0559,9.5785,44.4444,4,BOS,True,2023-06-20 14:00:00,BELOW,7.435032139531544,0.3948002066091294,ATOMUSDT,1,0.0,0.05310000000000059,2023-06-20 15:00:00,8.3581,-0.3948002066091294,stop_loss
LONG,9.187,9.4866,9.0718,2.6,TREND,37.66,0.1213,30.8598,5.477,4,BOS,False,2023-06-22 00:00:00,ABOVE,2.8402842964668404,0.3272007509529793,ATOMUSDT,6,0.8680555555555698,0.11519999999999975,2023-06-22 06:00:00,9.0718,-0.3272007509529793,stop_loss
LONG,9.363,9.5355,9.2896,2.35,TREND,32.8663,0.0773,21.2569,15.9889,4,BOS,True,2023-06-27 07:00:00,ABOVE,6.524878561459377,0.4789260864111148,ATOMUSDT,7,0.3269754768392518,0.07339999999999947,2023-06-27 14:00:00,9.2896,-0.4789260864111148,stop_loss
LONG,9.403,9.5793,9.3377,2.7,TREND,39.6208,0.0687,37.7339,6.8607,4,BOS,True,2023-06-29 11:00:00,ABOVE,5.686439623546565,0.371324507417594,ATOMUSDT,2,0.0,0.06530000000000058,2023-06-29 13:00:00,9.3377,-0.371324507417594,stop_loss
LONG,9.756,9.9308,9.756,2.35,TREND,31.6232,0.0783,29.0146,18.1569,4,BOS,True,2023-07-03 03:00:00,ABOVE,6.3800777394022505,0.4746777838115318,ATOMUSDT,3,1.2231182795698718,0.07440000000000069,2023-07-03 06:00:00,9.756,-0.0,stop_loss
LONG,9.378,9.5264,9.3106,2.2,TREND,25.1437,0.071,22.2334,15.996,4,BOS,True,2023-07-10 19:00:00,ABOVE,5.4878159136560605,0.3698787925804143,ATOMUSDT,2,0.0,0.06739999999999924,2023-07-10 21:00:00,9.3106,-0.3698787925804143,stop_loss
LONG,9.838,10.1075,9.7382,2.7,TREND,35.5495,0.1051,26.8525,7.274,3,BOS,True,2023-07-15 08:00:00,ABOVE,4.101967340117879,0.4093763405437575,ATOMUSDT,5,0.6212424849699619,0.09979999999999833,2023-07-15 13:00:00,9.7382,-0.4093763405437575,stop_loss
LONG,9.441,9.5925,9.441,2.35,TREND,28.654,0.0679,34.0,17.7895,4,BOS,True,2023-07-20 08:00:00,ABOVE,5.6875169092264315,0.36684484064510864,ATOMUSDT,1,1.4418604651162636,0.06450000000000067,2023-07-20 09:00:00,9.441,-0.0,stop_loss
LONG,9.534,9.7008,9.463,2.35,TREND,28.4359,0.0747,34.7036,16.1568,4,BOS,True,2023-07-20 09:00:00,ABOVE,5.166828741480294,0.36684484064510864,ATOMUSDT,3,0.0,0.0710000000000015,2023-07-20 12:00:00,9.463,-0.36684484064510864,stop_loss
SHORT,8.916,8.7038,8.9946,2.7,TREND,39.3479,0.0827,9.7582,52.7634,4,BOS,True,2023-07-24 09:00:00,BELOW,4.649065737182467,0.36541656694254093,ATOMUSDT,1,0.0,0.07859999999999978,2023-07-24 10:00:00,8.9946,-0.36541656694254093,stop_loss
SHORT,9.028,8.9707,9.046,2.25,TREND,30.0738,0.0268,19.4667,26.9333,3,BOS,False,2023-07-30 09:00:00,BELOW,12.521767016005413,0.3180528822065303,ATOMUSDT,5,0.8267716535433572,0.025399999999999423,2023-07-30 14:00:00,9.046,-0.22539180628808372,stop_loss
SHORT,8.912,8.7986,8.912,2.35,TREND,29.9918,0.0508,4.2194,30.2391,3,BOS,True,2023-07-31 16:00:00,BELOW,7.174793788227781,0.345825060592576,ATOMUSDT,3,1.8257261410788743,0.048199999999999577,2023-07-31 19:00:00,8.7986,0.8136216155850332,take_profit
SHORT,8.824,8.6805,8.8771,2.7,TREND,35.1411,0.0559,8.4291,32.6948,4,BOS,True,2023-07-31 19:00:00,BELOW,8.047672555374252,0.42733141269037755,ATOMUSDT,5,0.018832391713737,0.05310000000000059,2023-08-01 00:00:00,8.8771,-0.42733141269037755,stop_loss
SHORT,8.499,8.3674,8.499,2.35,TREND,34.7676,0.0589,14.1818,33.0909,4,BOS,True,2023-08-04 18:00:00,BELOW,7.596256164545008,0.4253903452145141,ATOMUSDT,2,1.3928571428571848,0.05599999999999916,2023-08-04 20:00:00,8.499,-0.0,stop_loss
LONG,8.666,8.7821,8.6214,2.6,TREND,37.7428,0.047,31.459,9.1185,4,BOS,False,2023-08-09 12:00:00,ABOVE,7.143503554972639,0.31860025855178586,ATOMUSDT,1,0.0,0.04460000000000086,2023-08-09 13:00:00,8.6214,-0.31860025855178586,stop_loss
LONG,8.55,8.6315,8.5198,2.7,TREND,39.8096,0.0318,42.0225,16.4045,4,BOS,True,2023-08-14 14:00:00,ABOVE,12.03244561759938,0.3633798576515094,ATOMUSDT,2,0.0,0.03020000000000067,2023-08-14 16:00:00,8.5198,-0.3633798576515094,stop_loss
