timestamp,symbol,tf,trade_type,entry,exit,PnL,R,confidence,regime
2024-09-24 01:00:00,DOTUSDT,30m,standalone,4.417,4.427,-0.05577508196720843,-0.05577508196720843,2.5,TREND
2024-09-24 05:00:00,DOTUSDT,30m,standalone,4.456,4.613,2.4866030590575914,2.487990737931009,3.5,TREND
2024-09-25 05:00:00,FILUSDT,15m,standalone,3.924,3.899,-0.15759718256755717,-0.15768513157894543,2.5,TREND
2024-09-25 15:00:00,DOTUSDT,30m,aligned,4.743,4.613,-0.9321745864799329,-0.9114551082802549,3.5,TREND
2024-09-26 13:00:00,FILUSDT,15m,aligned,4.094,4.071,-0.16381572012379342,-0.16164793051643,2.5,TREND
2024-09-26 18:00:00,DOTUSDT,30m,aligned,4.801,4.782,-0.6570185432886215,-0.6483241519999844,3.5,TREND
2024-09-27 02:00:00,DOTUSDT,30m,aligned,4.887,4.871,-0.22085563336839997,-0.21971263999999305,2.5,TREND
2024-09-28 10:00:00,XRPUSDT,15m,aligned,0.608,0.6222,0.5465100343710736,0.5448788506550204,2.5,TREND
2024-09-29 16:00:00,XRPUSDT,15m,aligned,0.6595,0.6396,-0.56016526116525,-0.5554666997442443,4.0,TREND
2024-09-30 20:00:00,DOTUSDT,30m,aligned,4.516,4.543,-0.30148476073985797,-0.3006258393939349,2.5,TREND
2024-10-01 13:00:00,DOTUSDT,30m,aligned,4.497,4.236,4.011849413059201,4.0124823290322515,2.5,TREND
2024-10-01 19:00:00,FILUSDT,15m,aligned,3.574,3.627,-0.17185686904858763,-0.17188398147138828,2.5,TREND
2024-10-02 15:00:00,XRPUSDT,15m,aligned,0.58,0.5762,0.08340032279419193,0.08019564411764642,2.5,TREND
2024-10-02 20:00:00,XRPUSDT,15m,aligned,0.5748,0.5237,3.479649957401909,3.3487919216216095,2.5,TREND
2024-10-05 20:00:00,DOTUSDT,30m,aligned,4.125,4.131,-0.2192498702716923,-0.20416746976744296,2.5,TREND
2024-10-05 23:00:00,FILUSDT,15m,aligned,3.62,3.604,0.12394609968450454,0.115419733333342,2.5,TREND
2024-10-06 00:00:00,FILUSDT,15m,standalone,3.614,3.604,-0.001984166631431833,-0.0018455438596446997,2.5,TREND
2024-10-07 15:00:00,DOTUSDT,30m,standalone,4.217,4.218,-0.2694661592635463,-0.2511568705882409,2.5,TREND
2024-10-08 22:00:00,FILUSDT,15m,standalone,3.662,3.665,-0.2182856481344223,-0.20396617230768926,3.5,TREND
2024-10-09 20:00:00,FILUSDT,15m,aligned,3.526,3.536,-0.24697151196590594,-0.23124190697674046,3.5,TREND
2024-10-09 21:00:00,DOTUSDT,30m,aligned,3.958,4.06,-0.8115911504810345,-0.7599009449664351,4.0,TREND
2024-10-10 08:00:00,DOTUSDT,30m,aligned,4.038,4.024,0.041677448297855926,0.03932182028985972,4.0,TREND
2024-10-13 10:00:00,XRPUSDT,15m,aligned,0.5336,0.5302,0.32082870683083675,0.3032827555555518,2.5,TREND
2024-10-13 15:00:00,DOTUSDT,30m,aligned,4.124,4.148,-0.2767594257400888,-0.26162359999999424,3.0,TREND
