direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,exit_time,exit_price,pnl,exit_reason,ema_position,mtf_tf
SHORT,11.085,10.9644,11.1453,-1.0,RANGE,19.6061,0.0603,28.3175,12.5592,4,BULLISH_BOS,False,SWEEP_HIGH,,0.11999999999999922,,,SWEEP,False,11.1453,,,2023-04-10 16:00:00,1,5.0,1.8000000000000003,ATOMUSDT,1,0.0,0.0602999999999998,2023-04-10 17:00:00,11.1453,-0.301499999999999,stop_loss,,
SHORT,11.016,,11.337,-1.0,TREND,31.3341,0.1018,6.9474,36.8421,4,BEARISH_BOS,True,,,0.26699999999999946,,,BOS,True,,,11.337,2023-04-12 02:00:00,1,4.9849250000000005,1.7945730000000002,ATOMUSDT,12,0.0,0.32099999999999973,2023-04-12 14:00:00,11.337,-1.6001609249999988,stop_loss,BELOW,
LONG,11.698,,12.06,0.900497512437809,TREND,30.1602,0.0808,43.2361,8.6649,4,BULLISH_BOS,True,,,0.2110000000000003,,,BOS,True,,11.296,,2023-04-13 12:00:00,1,4.392462943656706,1.7657701033500002,ATOMUSDT,28,1.6890547263681557,0.402000000000001,2023-04-14 16:00:00,12.06,1.590071585603728,stop_loss,ABOVE,
SHORT,10.919,10.7167,11.0201,2.0009891196835143,RANGE,19.2848,0.1011,26.9068,18.0791,3,,False,SWEEP_HIGH,,0.16999999999999993,,,SWEEP,False,11.0201,,,2023-04-24 13:00:00,1,4.984420533030186,1.5950145705696597,ATOMUSDT,3,2.1958456973294145,0.10109999999999886,2023-04-24 16:00:00,10.7167,1.0083482738320118,take_profit,,
SHORT,10.798,,10.889,-0.33211678832116637,TREND,38.7085,0.0744,2.0173,43.2277,4,BEARISH_BOS,True,,,0.11500000000000021,,,BOS,True,,,11.072,2023-05-06 14:00:00,1,5.034837946721787,1.8125416608198435,ATOMUSDT,20,0.06934306569343135,0.27399999999999913,2023-05-07 10:00:00,10.889,-0.4581702531516791,stop_loss,BELOW,
LONG,10.948,,10.807,-0.18825100133511335,TREND,30.1266,0.1099,51.4304,14.4993,4,BULLISH_BOS,True,,,0.41999999999999993,,,BOS,True,,10.199,,2023-05-10 13:00:00,1,2.408938045745143,1.8042945962631132,ATOMUSDT,14,0.10280373831775688,0.7490000000000006,2023-05-11 03:00:00,10.807,-0.3396602644500652,stop_loss,ABOVE,
SHORT,10.868,10.7069,10.9486,-1.0,RANGE,20.2667,0.0806,23.1383,21.0993,3,,False,SWEEP_HIGH,,0.20000000000000107,,,SWEEP,False,10.9486,,,2023-05-16 21:00:00,1,4.9949464208417,1.598382854669344,ATOMUSDT,3,0.18610421836228888,0.08060000000000045,2023-05-17 00:00:00,10.9486,-0.40259268151984323,stop_loss,,
LONG,10.957,,10.874,-0.8645833333333345,TREND,30.1841,0.0664,32.1505,10.1075,3,BULLISH_BOS,True,,,0.0389999999999997,,,BOS,True,,10.861,,2023-05-18 04:00:00,1,4.974816786765707,1.5919413717650264,ATOMUSDT,10,0.27083333333333104,0.09600000000000009,2023-05-18 14:00:00,10.874,-0.41290979330155464,stop_loss,ABOVE,
LONG,10.879,,10.815,-0.5378151260504217,TREND,37.8546,0.0416,37.7358,6.0034,3,BULLISH_BOS,True,,,0.045999999999999375,,,BOS,True,,10.76,,2023-05-30 11:00:00,1,4.95417129710063,1.5853348150722015,ATOMUSDT,15,0.0,0.11899999999999977,2023-05-31 02:00:00,10.815,-0.3170669630144406,stop_loss,ABOVE,
LONG,10.608,,10.592,-0.044198895027624335,TREND,33.6932,0.0736,31.4563,20.9709,4,BULLISH_BOS,True,,,0.16500000000000092,,,BOS,True,,10.246,,2023-06-02 05:00:00,1,4.911034424370073,1.777794461621967,ATOMUSDT,19,0.10220994475137851,0.3620000000000001,2023-06-03 00:00:00,10.592,-0.07857655078992123,stop_loss,ABOVE,
LONG,10.694,,10.725,0.4626865671641601,TREND,37.8069,0.0433,35.1485,12.5413,4,BULLISH_BOS,True,,,0.014000000000001123,,,BOS,True,,10.627,,2023-06-03 23:00:00,1,4.934389121410412,1.7763800837077486,ATOMUSDT,25,2.089552238805947,0.06700000000000017,2023-06-05 00:00:00,10.725,0.15296606276371688,stop_loss,ABOVE,
SHORT,8.305,,8.622,-1.0,TREND,30.0584,0.0559,9.5785,44.4444,4,BEARISH_BOS,True,,,0.10299999999999976,,,BOS,True,,,8.622,2023-06-20 14:00:00,1,4.942037424548598,1.7791334728374952,ATOMUSDT,4,0.0,0.31700000000000017,2023-06-20 18:00:00,8.622,-1.5666258635819064,stop_loss,BELOW,
LONG,9.363,,9.219,-1.0,TREND,32.8663,0.0773,21.2569,15.9889,4,BULLISH_BOS,True,,,0.0730000000000004,,,BOS,True,,9.219,,2023-06-27 07:00:00,1,4.8637061313695025,1.750934207293021,ATOMUSDT,8,0.16666666666667285,0.14400000000000013,2023-06-27 15:00:00,9.219,-0.700373682917209,stop_loss,ABOVE,
