direction,entry,entry_level,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_mode,candles_since_bos,ema_position,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,signal_id,exit_time,exit_price,pnl,exit_reason,exit_type,mtf_tf
SHORT,10.9476,1.0,,10.889,0.47106109324759154,TREND,32.3927,0.0738,6.97,35.5276,3.5,BEARISH_BOS,False,,,0.16300000000000026,,,BOS,False,,,11.072,2023-05-06 13:00:00,1,zone,,BELOW,4.845432862165311,1.647447173136206,ATOMUSDT,21,1.3553054662379433,0.12439999999999962,1.6125401929260472,0.0032154340836080815,1.6125401929260472,10.948,10.747,11.072,0,8,2023-05-07 10:00:00,10.889,0.2839423657228882,stop_loss,trailing_stop,
SHORT,10.798,1.0,,10.889,-0.33211678832116637,TREND,32.3927,0.0738,6.97,35.5276,3.5,BEARISH_BOS,False,,,0.16300000000000026,,,BOS,False,,,11.072,2023-05-06 14:00:00,1,zone,,BELOW,4.845432862165311,1.647447173136206,ATOMUSDT,20,0.06934306569343135,0.27399999999999913,0.18613138686131503,0.5474452554744555,0.18613138686131503,10.948,10.747,11.072,1,8,2023-05-07 10:00:00,10.889,-0.44093439045703997,stop_loss,trailing_stop,
SHORT,10.571,2.0,,10.64,-0.4893617021276655,TREND,36.6234,0.1389,7.9733,37.0885,3.5,BEARISH_BOS,False,,,0.06099999999999994,,,BOS,False,,,10.712,2023-05-09 03:00:00,1,zone,,BELOW,4.837583260928604,1.6447783087157253,ATOMUSDT,9,0.6312056737588682,0.14100000000000001,0.9645390070921931,0.7092198581560257,0.9645390070921931,10.671,10.435,10.712,0,9,2023-05-09 12:00:00,10.64,-0.3337932450040777,stop_loss,trailing_stop,
SHORT,10.4038,1.0,,10.432,-0.10322108345534438,TREND,35.3968,0.125,17.0857,38.9714,3.5,BEARISH_BOS,False,,,0.5090000000000003,,,BOS,False,,,10.677,2023-05-09 15:00:00,1,zone,,BELOW,4.8208935986784,1.639103823550656,ATOMUSDT,10,0.29941434846266995,0.2731999999999992,0.49341142020498036,0.3191800878477289,0.49341142020498036,10.491,10.269,10.677,0,10,2023-05-10 01:00:00,10.432,-0.1359491994827309,stop_loss,trailing_stop,
SHORT,10.352,,,10.46,-0.9191489361702195,TREND,32.3136,0.1175,14.2857,36.3526,3.0,,True,,,0.041999999999999815,,,BOS,True,,,10.46,2023-05-10 03:00:00,1,momentum,12.0,BELOW,4.814096138704263,1.5405107643853642,ATOMUSDT,9,0.7659574468085113,0.11749999999999972,1.3021276595744753,2.799999999999997,1.3021276595744753,10.681,10.199,10.4695,0,11,2023-05-10 12:00:00,10.46,-0.519922382980063,stop_loss,trailing_stop,
SHORT,10.296,,,10.46,-1.0,TREND,32.3136,0.1175,14.2857,36.3526,3.0,,True,,,0.041999999999999815,,,BOS,True,,,10.46,2023-05-10 06:00:00,1,momentum,12.0,BELOW,4.814096138704263,1.5405107643853642,ATOMUSDT,6,0.20731707317072326,0.16400000000000148,0.33536585365853183,2.3475609756097335,0.33536585365853183,10.681,10.241,10.4695,1,11,2023-05-10 12:00:00,10.46,-0.7895117667475063,stop_loss,trailing_stop,
SHORT,10.868,,10.7471,10.9486,-1.0,RANGE,20.2667,0.0806,23.1383,21.0993,3.0,,False,SWEEP_HIGH,,0.20000000000000107,,,SWEEP,False,10.9486,,,2023-05-16 21:00:00,1,,,,4.748624431217885,1.5195598179897232,ATOMUSDT,3,0.18610421836228888,0.08060000000000045,0.3846153846153897,1.0794044665012315,0.3846153846153897,10.955,10.837,10.9486,0,12,2023-05-17 00:00:00,10.9486,-0.38273912915616365,stop_loss,SL,
SHORT,10.7991,1.0,,10.336,5.795994993742142,TREND,30.6432,0.0574,12.2042,37.858,3.5,BEARISH_BOS,False,,,0.21199999999999974,,,BOS,False,,,10.879,2023-05-31 04:00:00,1,zone,,BELOW,4.729487474760076,1.6080257414184262,ATOMUSDT,29,7.1727158948685386,0.0799000000000003,7.222778473091333,0.0,7.222778473091333,10.7991,10.222,10.879,0,13,2023-06-01 09:00:00,10.336,2.1902256495613863,stop_loss,trailing_stop,
SHORT,10.595,1.0,,10.336,2.0853462157810294,TREND,30.6432,0.0574,12.2042,37.858,3.5,BEARISH_BOS,False,,,0.21199999999999974,,,BOS,False,,,10.879,2023-05-31 05:00:00,1,zone,,BELOW,4.729487474760076,1.6080257414184262,ATOMUSDT,28,2.9710144927536617,0.12419999999999831,3.003220611916314,0.31400966183575063,3.003220611916314,10.634,10.222,10.879,1,13,2023-06-01 09:00:00,10.336,1.2249372559628613,stop_loss,trailing_stop,
SHORT,10.597,1.0,,10.336,2.1358428805237355,TREND,30.6432,0.0574,12.2042,37.858,3.5,BEARISH_BOS,False,,,0.21199999999999974,,,BOS,False,,,10.879,2023-05-31 06:00:00,1,zone,,BELOW,4.729487474760076,1.6080257414184262,ATOMUSDT,27,3.036006546644848,0.12219999999999942,3.068739770867445,0.30278232405892785,3.068739770867445,10.634,10.222,10.879,2,13,2023-06-01 09:00:00,10.336,1.2343962309123764,stop_loss,trailing_stop,
LONG,10.608,2.0,,10.592,-0.044198895027624335,TREND,39.8377,0.0615,40.9988,13.2404,3.5,BULLISH_BOS,False,,,0.0600000000000005,,,BOS,False,,10.246,,2023-06-02 15:00:00,1,zone,,ABOVE,4.660409521375271,1.6870682467378486,ATOMUSDT,9,0.10220994475137851,0.3620000000000001,0.15193370165745773,0.15193370165745773,0.15193370165745773,10.663,10.553,10.246,0,14,2023-06-03 00:00:00,10.592,-0.0745665523420044,stop_loss,trailing_stop,
LONG,10.693,2.0,,10.725,0.484848484848493,TREND,37.8069,0.0433,35.1485,12.5413,5.0,BULLISH_BOS,True,,,0.014000000000001123,,,BOS,True,,10.627,,2023-06-03 23:00:00,1,zone,,ABOVE,4.958237103964808,1.983294841585923,ATOMUSDT,25,2.1363636363636704,0.06599999999999895,2.2878787878788214,0.6212121212121368,2.2878787878788214,10.844,10.652,10.627,0,15,2023-06-05 00:00:00,10.725,0.158663587326874,stop_loss,trailing_stop,
LONG,10.758,2.0,,10.725,-0.31132075471697657,TREND,37.8069,0.0433,35.1485,12.5413,5.0,BULLISH_BOS,True,,,0.014000000000001123,,,BOS,True,,10.627,,2023-06-04 03:00:00,1,zone,,ABOVE,4.958237103964808,1.983294841585923,ATOMUSDT,21,0.7169811320754774,0.10599999999999987,0.811320754716985,0.3490566037735762,0.811320754716985,10.844,10.721,10.627,1,15,2023-06-05 00:00:00,10.725,-0.16362182443083606,stop_loss,trailing_stop,
LONG,10.834,2.0,,10.725,-0.7730496453900707,TREND,37.8069,0.0433,35.1485,12.5413,5.0,BULLISH_BOS,True,,,0.014000000000001123,,,BOS,True,,10.627,,2023-06-04 12:00:00,1,zone,,ABOVE,4.958237103964808,1.983294841585923,ATOMUSDT,12,0.0,0.14100000000000001,0.07092198581560132,0.8014184397163088,0.07092198581560132,10.844,10.721,10.627,2,15,2023-06-05 00:00:00,10.725,-0.540447844332164,stop_loss,trailing_stop,
SHORT,10.18,,9.8746,10.3836,1.5000000000000044,RANGE,21.5526,0.0822,29.192,15.5517,5.0,BULLISH_BOS,False,SWEEP_HIGH,,0.10400000000000098,,,SWEEP,False,10.3836,,,2023-06-06 20:00:00,1,,,,4.930966799893001,1.9723867199572005,ATOMUSDT,13,1.3998035363457781,0.20359999999999978,1.5422396856581553,0.0933202357563858,1.5422396856581553,10.199,9.866,10.3836,0,16,2023-06-07 09:00:00,9.8746,1.5059172606873255,take_profit,TP,
