direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,signal_type,has_fvg,timestamp,ema_position,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,exit_time,exit_price,pnl,exit_reason
LONG,10.608,10.8729,10.5197,3.0,TREND,33.6932,0.0736,31.4563,20.9709,4,BOS,True,2023-06-02 05:00:00,ABOVE,12.127806647648011,1.0708853269873226,ATOMUSDT,8,0.0,0.08830000000000027,2023-06-02 13:00:00,10.5197,-1.0708853269873226,stop_loss
SHORT,10.569,10.3777,10.6328,3.0,TREND,31.6693,0.0531,21.5054,24.5968,4,BOS,True,2023-06-03 01:00:00,ABOVE,16.608879193873733,1.0596464925691234,ATOMUSDT,11,0.2037617554859237,0.06379999999999875,2023-06-03 12:00:00,10.6328,-1.0596464925691234,stop_loss
LONG,10.834,10.947,10.7936,2.8,TREND,33.459,0.0336,30.5732,10.1911,3,BOS,False,2023-06-04 12:00:00,ABOVE,20.844380163198416,0.8421129585932158,ATOMUSDT,2,0.0,0.04039999999999999,2023-06-04 14:00:00,10.7936,-0.8421129585932158,stop_loss
SHORT,9.45,9.223,9.45,2.8,TREND,31.9659,0.0676,18.8161,33.4038,4,BOS,False,2023-06-08 16:00:00,BELOW,11.276696938391682,0.9145401217035773,ATOMUSDT,20,2.231812577065312,0.08110000000000106,2023-06-09 12:00:00,9.45,-0.0,stop_loss
SHORT,8.365,8.199,8.4289,2.6,TREND,26.2833,0.0532,14.8993,34.4966,4,BOS,True,2023-06-20 13:00:00,BELOW,9.53126501404806,0.6090478343976737,ATOMUSDT,3,0.9389671361502383,0.06390000000000029,2023-06-20 16:00:00,8.4289,-0.6090478343976737,stop_loss
LONG,8.75,9.0049,8.75,2.4,TREND,26.5824,0.0885,34.3019,24.3745,4,BOS,False,2023-06-20 22:00:00,ABOVE,5.013586312999183,0.5324428664405103,ATOMUSDT,13,1.9303201506591452,0.1061999999999994,2023-06-21 11:00:00,8.75,-0.0,stop_loss
LONG,9.363,9.6412,9.2703,3.0,TREND,32.8663,0.0773,21.2569,15.9889,4,BOS,True,2023-06-27 07:00:00,ABOVE,11.146664737733676,1.0332958211878995,ATOMUSDT,8,0.25889967637541744,0.0926999999999989,2023-06-27 15:00:00,9.2703,-1.0332958211878995,stop_loss
SHORT,9.065,8.7448,9.1793,2.8,TREND,32.0243,0.0953,18.3658,25.0375,4,BOS,False,2023-06-29 20:00:00,BELOW,7.8685793609280985,0.8993786209540822,ATOMUSDT,7,1.1811023622047219,0.11430000000000007,2023-06-30 03:00:00,9.1793,-0.8993786209540822,stop_loss
LONG,9.378,9.5995,9.2928,2.6,TREND,25.1437,0.071,22.2334,15.996,4,BOS,True,2023-07-10 19:00:00,ABOVE,6.965042018940527,0.5934215800137356,ATOMUSDT,2,0.0,0.08520000000000039,2023-07-10 21:00:00,9.2928,-0.5934215800137356,stop_loss
SHORT,9.282,9.1623,9.334,2.3,TREND,34.2096,0.0434,13.5091,22.2405,3,SWEEP,False,2023-07-23 19:00:00,,9.685326378739587,0.5036369716944546,ATOMUSDT,7,2.1153846153846207,0.0519999999999996,2023-07-24 02:00:00,9.1623,1.1593335675351277,take_profit
SHORT,8.834,8.6643,8.8946,2.8,TREND,32.8079,0.0505,11.0325,39.604,3,BOS,False,2023-07-26 09:00:00,BELOW,13.50430752111374,0.8183610357795045,ATOMUSDT,3,0.0,0.060600000000000875,2023-07-26 12:00:00,8.8946,-0.8183610357795045,stop_loss
SHORT,9.009,8.844,9.0651,2.94,TREND,33.2697,0.0467,24.3119,11.7737,5,SWEEP,False,2023-07-28 15:00:00,,9.86743297019113,0.5535629896277118,ATOMUSDT,10,0.07130124777182952,0.05609999999999893,2023-07-29 01:00:00,9.0651,-0.5535629896277118,stop_loss
SHORT,9.028,8.938,9.046,2.8,TREND,30.0738,0.0268,19.4667,26.9333,3,BOS,False,2023-07-30 09:00:00,BELOW,17.40037224284376,0.558551948995281,ATOMUSDT,5,0.6542056074766645,0.032099999999999795,2023-07-30 14:00:00,9.046,-0.3132067003711686,stop_loss
SHORT,8.936,8.8064,8.99,2.4,TREND,26.3942,0.045,9.6825,39.3651,4,BOS,False,2023-07-30 19:00:00,BELOW,9.554418696436253,0.5159386096075602,ATOMUSDT,1,0.0,0.05400000000000027,2023-07-30 20:00:00,8.99,-0.5159386096075602,stop_loss
SHORT,8.884,8.7359,8.9457,2.4,TREND,25.4722,0.0514,8.0556,27.9167,4,BOS,False,2023-07-31 15:00:00,BELOW,8.316831087506127,0.5131484780991288,ATOMUSDT,2,0.0,0.06170000000000009,2023-07-31 17:00:00,8.9457,-0.5131484780991288,stop_loss
SHORT,7.237,7.097,7.237,2.6,TREND,25.8923,0.0449,9.2357,39.4904,3,BOS,True,2023-08-24 14:00:00,BELOW,9.846851643084047,0.5297606183979202,ATOMUSDT,6,2.2304832713754728,0.05379999999999985,2023-08-24 20:00:00,7.097,1.3785592300317635,take_profit
LONG,7.456,7.6321,7.3883,2.6,TREND,27.7421,0.0564,46.962,21.3924,4,BOS,True,2023-08-29 14:00:00,ABOVE,8.695557679713488,0.5886892549166058,ATOMUSDT,1,0.0,0.06770000000000032,2023-08-29 15:00:00,7.3883,-0.5886892549166058,stop_loss
LONG,6.928,7.1471,6.855,3.0,TREND,34.4966,0.0609,27.23,10.2113,4,BOS,True,2023-09-07 01:00:00,ABOVE,10.524298712054797,0.7682738059799951,ATOMUSDT,9,0.5205479452054864,0.07299999999999951,2023-09-07 10:00:00,6.855,-0.7682738059799951,stop_loss
LONG,7.07,7.276,7.037,3.0,TREND,31.8758,0.0572,41.3233,7.8652,4,BOS,True,2023-09-16 02:00:00,ABOVE,14.420567554695849,0.9906929910076141,ATOMUSDT,17,1.1935953420669443,0.06870000000000065,2023-09-16 19:00:00,7.037,-0.4758787293049682,stop_loss
LONG,7.124,7.2378,7.0834,2.8,TREND,28.0534,0.0339,25.5274,18.7764,4,BOS,False,2023-09-24 17:00:00,ABOVE,12.510264334311728,0.5079167319730502,ATOMUSDT,1,0.0,0.040599999999999525,2023-09-24 18:00:00,7.0834,-0.5079167319730502,stop_loss
