direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,timestamp,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,exit_time,exit_price,pnl,exit_reason,ema_position
SHORT,11.085,10.881,11.1031,11.28,RANGE,19.6061,0.0603,28.3175,12.5592,4,BULLISH_BOS,False,SWEEP_HIGH,,0.11999999999999922,,,SWEEP,False,2023-04-10 16:00:00,17.40331491712835,0.315,ATOMUSDT,1,0.0,0.018099999999998673,2023-04-10 17:00:00,11.1031,-0.315,stop_loss,
SHORT,11.016,,11.337,,TREND,31.3341,0.1018,6.9474,36.8421,4,BEARISH_BOS,True,,,0.26699999999999946,,,BOS,True,2023-04-12 02:00:00,2.0074416238317774,0.64438876125,ATOMUSDT,12,0.0,0.32099999999999973,2023-04-12 14:00:00,11.337,-0.64438876125,stop_loss,BELOW
LONG,11.698,,12.06,,TREND,30.1602,0.0808,43.2361,8.6649,4,BULLISH_BOS,True,,,0.2110000000000003,,,BOS,True,2023-04-13 12:00:00,1.1025659090701863,0.443231495446216,ATOMUSDT,28,1.6890547263681557,0.402000000000001,2023-04-14 16:00:00,12.06,0.39912885908340756,stop_loss,ABOVE
SHORT,10.798,,10.889,,TREND,38.7085,0.0744,2.0173,43.2277,4,BEARISH_BOS,True,,,0.11500000000000021,,,BOS,True,2023-05-06 14:00:00,1.2493478295138416,0.3423213052867915,ATOMUSDT,20,0.06934306569343135,0.27399999999999913,2023-05-07 10:00:00,10.889,-0.11369065248575871,stop_loss,BELOW
LONG,10.948,,10.807,,TREND,30.1266,0.1099,51.4304,14.4993,4,BULLISH_BOS,True,,,0.41999999999999993,,,BOS,True,2023-05-10 13:00:00,0.5934698301472521,0.4445089027802921,ATOMUSDT,14,0.10280373831775688,0.7490000000000006,2023-05-11 03:00:00,10.807,-0.08367924605076255,stop_loss,ABOVE
SHORT,10.868,10.677,10.8922,7.9,RANGE,20.2667,0.0806,23.1383,21.0993,3,,False,SWEEP_HIGH,,0.20000000000000107,,,SWEEP,False,2023-05-16 21:00:00,15.788558895342396,0.382083125267293,ATOMUSDT,1,0.6198347107438138,0.024200000000000443,2023-05-16 22:00:00,10.8922,-0.382083125267293,stop_loss,
LONG,10.957,,10.874,,TREND,30.1841,0.0664,32.1505,10.1075,3,BULLISH_BOS,True,,,0.0389999999999997,,,BOS,True,2023-05-18 04:00:00,5.632719325241386,0.5407410552231735,ATOMUSDT,10,0.27083333333333104,0.09600000000000009,2023-05-18 14:00:00,10.874,-0.46751570399503606,stop_loss,ABOVE
LONG,10.879,,10.815,,TREND,37.8546,0.0416,37.7358,6.0034,3,BULLISH_BOS,True,,,0.045999999999999375,,,BOS,True,2023-05-30 11:00:00,3.478887273440515,0.4139875855394205,ATOMUSDT,15,0.0,0.11899999999999977,2023-05-31 02:00:00,10.815,-0.22264878550019315,stop_loss,ABOVE
LONG,10.608,,10.592,,TREND,33.6932,0.0736,31.4563,20.9709,4,BULLISH_BOS,True,,,0.16500000000000092,,,BOS,True,2023-06-02 05:00:00,1.7530282180029728,0.6345962149170763,ATOMUSDT,19,0.10220994475137851,0.3620000000000001,2023-06-03 00:00:00,10.592,-0.02804845148804759,stop_loss,ABOVE
LONG,10.694,,10.725,,TREND,37.8069,0.0433,35.1485,12.5413,4,BULLISH_BOS,True,,,0.014000000000001123,,,BOS,True,2023-06-03 23:00:00,5.042598361238971,0.33785409020301194,ATOMUSDT,25,2.089552238805947,0.06700000000000017,2023-06-05 00:00:00,10.725,0.15632054919840208,stop_loss,ABOVE
SHORT,10.18,9.8,10.3836,1.87,RANGE,21.5526,0.0822,29.192,15.5517,5,BULLISH_BOS,False,SWEEP_HIGH,,0.10400000000000098,,,SWEEP,False,2023-06-06 20:00:00,1.5208248686103694,0.30963994324907085,ATOMUSDT,18,2.337917485265224,0.20359999999999978,2023-06-07 14:00:00,9.8,0.5779134500719388,take_profit,
SHORT,8.305,,8.622,,TREND,30.0584,0.0559,9.5785,44.4444,4,BEARISH_BOS,True,,,0.10299999999999976,,,BOS,True,2023-06-20 14:00:00,1.3958870598395896,0.44249619796915013,ATOMUSDT,4,0.0,0.31700000000000017,2023-06-20 18:00:00,8.622,-0.44249619796915013,stop_loss,BELOW
LONG,9.363,,9.219,,TREND,32.8663,0.0773,21.2569,15.9889,4,BULLISH_BOS,True,,,0.0730000000000004,,,BOS,True,2023-06-27 07:00:00,4.4187553388653145,0.6363007687966059,ATOMUSDT,8,0.16666666666667285,0.14400000000000013,2023-06-27 15:00:00,9.219,-0.6363007687966058,stop_loss,ABOVE
LONG,9.403,,9.126,,TREND,39.6208,0.0687,37.7339,6.8607,4,BULLISH_BOS,True,,,0.09399999999999942,,,BOS,True,2023-06-29 11:00:00,1.2154076974274648,0.336667932187409,ATOMUSDT,8,0.0,0.277000000000001,2023-06-29 19:00:00,9.126,-0.336667932187409,stop_loss,ABOVE
LONG,9.756,,9.825,,TREND,31.6232,0.0783,29.0146,18.1569,4,BULLISH_BOS,True,,,0.07699999999999996,,,BOS,True,2023-07-03 03:00:00,1.5403698187561585,0.6300112558712699,ATOMUSDT,22,0.6821515892420524,0.4090000000000007,2023-07-04 01:00:00,9.825,0.10628551749417349,stop_loss,ABOVE
LONG,9.838,,9.687,,TREND,35.5495,0.1051,26.8525,7.274,3,BULLISH_BOS,True,,,0.07200000000000095,,,BOS,True,2023-07-15 08:00:00,2.8371494018341554,0.5929642249833375,ATOMUSDT,8,0.2966507177033554,0.20899999999999963,2023-07-15 16:00:00,9.687,-0.42840955967695693,stop_loss,ABOVE
SHORT,8.916,,9.024,,TREND,39.3479,0.0827,9.7582,52.7634,4,BEARISH_BOS,True,,,0.375,,,BOS,True,2023-07-24 09:00:00,0.9237570188277335,0.3344000408156396,ATOMUSDT,17,0.0,0.3620000000000001,2023-07-25 02:00:00,9.024,-0.09976575803339408,stop_loss,BELOW
SHORT,8.824,,8.822,,TREND,35.1411,0.0559,8.4291,32.6948,4,BEARISH_BOS,True,,,0.11000000000000121,,,BOS,True,2023-07-31 19:00:00,1.646847085141035,0.482526195946325,ATOMUSDT,23,0.45051194539248873,0.29300000000000104,2023-08-01 18:00:00,8.822,0.00329369417028317,stop_loss,BELOW
SHORT,8.499,,8.448,,TREND,34.7676,0.0589,14.1818,33.0909,4,BEARISH_BOS,True,,,0.19200000000000017,,,BOS,True,2023-08-04 18:00:00,2.960383888592552,0.48254257384058674,ATOMUSDT,20,0.7116564417177991,0.16300000000000026,2023-08-05 14:00:00,8.448,0.15097957831822062,stop_loss,BELOW
SHORT,8.45,8.383,8.4566,10.15,RANGE,17.0534,0.022,33.1169,11.039,4,,False,SWEEP_HIGH,,0.05500000000000149,,,SWEEP,False,2023-08-13 20:00:00,46.387676382231014,0.3061586641227528,ATOMUSDT,1,2.5757575757572577,0.006600000000000605,2023-08-13 21:00:00,8.4566,-0.3061586641227528,stop_loss,
LONG,8.55,,8.493,,TREND,39.8096,0.0318,42.0225,16.4045,4,BULLISH_BOS,True,,,0.08200000000000074,,,BOS,True,2023-08-14 14:00:00,2.365487459098643,0.3335337317329087,ATOMUSDT,14,0.0,0.14100000000000001,2023-08-15 04:00:00,8.493,-0.13483278516862357,stop_loss,ABOVE
SHORT,8.027,,7.957,,TREND,32.5504,0.0854,4.097,64.4649,4,BEARISH_BOS,True,,,0.6279999999999992,,,BOS,True,2023-08-15 19:00:00,1.2686219812491362,0.6254306367558246,ATOMUSDT,23,0.2799188640973609,0.4930000000000003,2023-08-16 18:00:00,7.957,0.08880353868743876,stop_loss,BELOW
SHORT,6.666,,6.689,,TREND,37.3442,0.0516,8.8643,43.0748,4,BEARISH_BOS,True,,,0.13699999999999957,,,BOS,True,2023-09-01 17:00:00,1.0930336919734345,0.3333752760518972,ATOMUSDT,12,0.06229508196721359,0.3049999999999997,2023-09-02 05:00:00,6.689,-0.02513977491538865,stop_loss,BELOW
LONG,6.928,,6.907,,TREND,34.4966,0.0609,27.23,10.2113,4,BULLISH_BOS,True,,,0.036000000000000476,,,BOS,True,2023-09-07 01:00:00,2.0312956028587723,0.48141705787752925,ATOMUSDT,32,0.223628691983122,0.2370000000000001,2023-09-08 09:00:00,6.907,-0.04265720766003403,stop_loss,ABOVE
SHORT,6.784,,6.42,,TREND,32.3441,0.0277,12.6289,38.6598,4,BEARISH_BOS,True,,,0.041999999999999815,,,BOS,True,2023-09-10 01:00:00,7.028836274001897,0.6255664283861717,ATOMUSDT,50,5.2921348314606504,0.08900000000000041,2023-09-12 03:00:00,6.42,2.5584964037366897,stop_loss,BELOW
LONG,7.07,,7.037,,TREND,31.8758,0.0572,41.3233,7.8652,4,BULLISH_BOS,True,,,0.1459999999999999,,,BOS,True,2023-09-16 02:00:00,2.1914852858840486,0.6421051887640266,ATOMUSDT,17,0.2798634812286683,0.29300000000000015,2023-09-16 19:00:00,7.037,-0.07231901443417439,stop_loss,ABOVE
