symbol,entry_time,exit_time,MFE,MAE,final_R
BTCUSDT,2022-02-13 23:30:00,2022-02-14 03:00:00,1.0965456155890168,0.0,0.6120460584588131
LINKUSDT,2022-02-13 23:30:00,2022-02-14 05:00:00,0.806138933764134,0.0,0.42810985460419854
BCHUSDT,2022-02-15 02:00:00,2022-02-15 06:00:00,2.328571428571422,0.0,1.0999999999999903
AVAXUSDT,2022-02-15 08:15:00,2022-02-16 04:00:00,1.2435714285714283,0.0,1.0521428571428564
ATOMUSDT,2022-02-16 08:00:00,2022-02-16 10:00:00,1.2250942380183003,0.511577813677977,-0.16155088852989247
BCHUSDT,2022-02-15 03:00:00,2022-02-16 15:00:00,1.406250000000005,1.0312499999999982,-1.0
BCHUSDT,2022-02-15 04:00:00,2022-02-16 15:00:00,2.3118279569892586,1.0430107526881698,-1.0
ATOMUSDT,2022-02-17 07:00:00,2022-02-17 08:00:00,2.4029850746268715,0.0,1.5746268656716458
AAVEUSDT,2022-02-17 14:00:00,2022-02-18 07:00:00,2.7014129153217215,0.0,1.8606219919979885
AXSUSDT,2022-02-17 14:00:00,2022-02-18 07:00:00,2.2303568909578213,0.0,1.2452626134386606
BCHUSDT,2022-02-17 14:00:00,2022-02-18 08:00:00,2.3659508265844633,0.0,1.3772482079764974
SOLUSDT,2022-02-17 14:30:00,2022-02-18 08:00:00,1.7402799377915996,0.0,0.7465007776049732
ADAUSDT,2022-02-18 12:00:00,2022-02-18 14:00:00,4.514563106796126,0.0,2.0
LINKUSDT,2022-02-17 14:30:00,2022-02-19 01:00:00,1.6826666666666672,0.0,1.2986666666666669
ATOMUSDT,2022-02-20 04:00:00,2022-02-20 12:00:00,1.6570048309178764,0.2839889579020019,-0.2063492063492038
AVAXUSDT,2022-02-20 12:30:00,2022-02-21 01:00:00,0.5102543068088597,0.351107465135357,0.1287940935192799
UNIUSDT,2022-02-21 08:00:00,2022-02-21 11:00:00,3.154864709268851,0.17271157167529838,1.500287852619458
SOLUSDT,2022-02-21 22:00:00,2022-02-22 05:00:00,0.676911544227886,0.009745127436283646,0.30584707646176784
AXSUSDT,2022-02-24 01:00:00,2022-02-24 15:00:00,2.70967741935484,0.0,2.0186757215619693
NEARUSDT,2022-02-24 01:45:00,2022-02-24 15:00:00,1.5676741130091958,0.07227332457293222,0.9776609724047278
ATOMUSDT,2022-02-26 23:00:00,2022-02-27 00:00:00,0.27256584788398847,0.7681759889513669,-0.35878465029101103
HBARUSDT,2022-02-27 14:30:00,2022-02-27 15:00:00,0.17676767676767707,0.3131313131313153,0.26767676767676646
FILUSDT,2022-02-27 16:30:00,2022-02-27 20:00:00,0.10483870967741997,0.25000000000000033,-0.2016129032258064
FILUSDT,2022-02-27 22:15:00,2022-02-27 23:00:00,0.10434782608695752,0.3739130434782611,-0.07826086956521737
AVAXUSDT,2022-02-28 00:30:00,2022-02-28 14:00:00,0.2702539298669887,0.7394195888754537,-0.5785973397823464
DOTUSDT,2022-02-28 21:15:00,2022-03-01 14:00:00,1.2804878048780506,0.0,0.7520325203252036
AVAXUSDT,2022-03-01 20:30:00,2022-03-02 00:00:00,0.2879310344827622,0.7396551724137939,-0.22241379310344755
LINKUSDT,2022-02-18 14:00:00,2022-03-02 11:00:00,19.584905660377387,1.1792452830188693,-1.0
FILUSDT,2022-03-02 12:15:00,2022-03-02 16:00:00,0.05208333333333403,0.7812499999999993,-0.6562499999999983
FILUSDT,2022-03-03 16:30:00,2022-03-03 21:00:00,0.8703703703703762,0.0,0.07407407407407919
BCHUSDT,2022-03-04 00:00:00,2022-03-04 08:00:00,0.7058823529411767,0.0,0.15837104072398173
ATOMUSDT,2022-03-03 17:00:00,2022-03-05 00:00:00,0.8138686131386844,1.0346715328467162,-1.0
AVAXUSDT,2022-03-05 04:30:00,2022-03-05 06:00:00,0.06482982171799118,0.31928687196110184,-0.2050243111831443
SOLUSDT,2022-03-06 09:30:00,2022-03-06 16:00:00,0.8055555555555537,0.18888888888889058,-0.15555555555555603
DOGEUSDT,2022-03-06 10:00:00,2022-03-06 16:00:00,1.599999999999998,0.0,0.1999999999999963
ETHUSDT,2022-03-06 10:30:00,2022-03-06 16:00:00,0.27835820895522523,0.6925373134328372,-0.6283582089552225
AAVEUSDT,2022-03-06 10:00:00,2022-03-06 21:00:00,2.0576422181118046,0.0,1.5291608470801374
ATOMUSDT,2022-03-06 10:00:00,2022-03-06 21:00:00,0.665648639759432,0.0,0.426020767748908
UNIUSDT,2022-03-06 10:00:00,2022-03-06 21:00:00,2.4043659043659145,0.0,0.9178794178794243
UNIUSDT,2022-03-07 00:00:00,2022-03-07 06:00:00,3.7023723939612068,0.0,2.897196261682265
ETHUSDT,2022-03-07 08:45:00,2022-03-07 10:00:00,0.11905839746491727,0.12584880036215584,0.01403349932096138
UNIUSDT,2022-03-07 01:00:00,2022-03-07 12:00:00,0.5482093663911848,0.42148760330578205,-0.14600550964187084
LTCUSDT,2022-03-07 19:30:00,2022-03-07 22:00:00,0.20144927536231919,0.21884057971014387,-0.13623188405797085
NEARUSDT,2022-03-07 19:30:00,2022-03-07 22:00:00,0.21892103205629293,0.48214751107636283,-0.2462861610633307
FILUSDT,2022-03-08 18:30:00,2022-03-09 08:00:00,0.21978021978021897,1.0,-1.0
BNBUSDT,2022-03-09 10:30:00,2022-03-09 12:00:00,0.2310126582278465,0.110759493670886,-0.05696202531645781
AAVEUSDT,2022-03-10 02:00:00,2022-03-10 13:00:00,3.0909090909091077,0.0,1.7424242424242515
AAVEUSDT,2022-03-10 04:00:00,2022-03-10 13:00:00,0.5779220779220792,0.181818181818181,0.0
BCHUSDT,2022-03-11 02:00:00,2022-03-11 05:00:00,1.6451612903225636,0.0,1.0645161290322478
UNIUSDT,2022-03-11 02:00:00,2022-03-11 06:00:00,0.798384264137685,0.5398665261678965,-0.2939936775553217
DOTUSDT,2022-03-12 13:30:00,2022-03-12 14:00:00,0.30549898167006156,0.6109979633401231,-0.33944331296672836
AAVEUSDT,2022-03-13 19:00:00,2022-03-13 20:00:00,0.010717418665851079,0.5995270605286248,0.20141881841412548
BNBUSDT,2022-03-13 19:30:00,2022-03-14 04:00:00,3.282051282051304,0.0,1.0
BNBUSDT,2022-03-13 22:00:00,2022-03-14 04:00:00,0.28000000000000114,0.9899999999999978,-0.6100000000000023
ETHUSDT,2022-03-15 01:30:00,2022-03-15 09:00:00,1.106280193236706,0.4311594202898629,0.4492753623188374
FILUSDT,2022-03-15 01:30:00,2022-03-15 12:00:00,4.142857142857201,0.0,2.0
FILUSDT,2022-03-15 09:00:00,2022-03-15 12:00:00,0.5555555555555424,1.0555555555555227,-1.0
