time,symbol,signal_id,scale_level,capital,pnl,trade_risk,capital_before_entry,risk_percent,allocated_capital
2022-01-19 19:00:00,HBARUSDT,1,0,99.24003878807947,-0.7599612119205313,1.0,100.0,0.01,16.801324503311257
2022-01-21 21:00:00,DOTUSDT,2,0,100.11609242252251,0.6608455480205344,0.9924003878807948,99.24003878807947,0.01,5.436174554641408
2022-01-24 23:00:00,FILUSDT,3,0,99.5571353731067,-0.5589570494158123,1.001160924225225,100.11609242252251,0.01,6.411207880793228
2022-01-29 09:00:00,DOTUSDT,2,1,100.96036339837042,1.4032280252637093,0.5460520825839419,99.45524687450198,0.01,6.09823632756215
2022-01-29 09:00:00,DOTUSDT,2,2,108.92183181748678,7.961468419116364,0.6096659950290344,99.45524687450198,0.01,48.56642863972342
2022-01-31 09:00:00,FILUSDT,4,0,109.17695085430306,0.25511903681628856,1.0892183181748678,108.92183181748678,0.01,19.675879527397385
2022-02-03 12:00:00,HBARUSDT,5,0,107.933375321478,-1.2435755328250606,1.0917695085430306,109.17695085430306,0.01,53.67039652224016
2022-02-07 18:00:00,DOTUSDT,6,0,108.00356235948526,0.07018703800725945,1.07933375321478,107.933375321478,0.01,16.80352232636487
2022-02-07 18:00:00,HBARUSDT,7,0,107.98411953786565,-0.019442821619609182,1.07933375321478,107.933375321478,0.01,21.636110198030625
2022-02-12 07:00:00,DOTUSDT,8,0,109.85860119911257,1.2414482670633689,1.0798411953786566,107.98411953786565,0.01,12.220717071128169
2022-02-15 10:00:00,DOTUSDT,8,1,109.3360382744306,-0.5225629246819599,1.0798411953786566,108.61715293204921,0.01,26.515326384588224
2022-02-16 04:00:00,XRPUSDT,9,0,108.60214800351083,-0.7338902709197779,1.0933603827443061,109.3360382744306,0.01,44.419092442655916
2022-02-18 05:00:00,HBARUSDT,11,0,108.58809114783526,-0.014056855675580265,1.0860214800351085,108.60214800351083,0.01,15.424090781927188
2022-02-18 07:00:00,DOGEUSDT,10,0,108.30817253385348,-0.2799186139817806,1.0860214800351085,108.60214800351083,0.01,21.552172751682658
2022-02-20 12:00:00,DOTUSDT,12,0,107.900459417894,-0.4077131159594767,1.0830817253385348,108.30817253385348,0.01,21.841079999726126
2022-02-22 23:00:00,FILUSDT,13,0,107.55207568366461,-0.3483837342293921,1.07900459417894,107.900459417894,0.01,11.869050535968341
2022-02-24 15:00:00,FILUSDT,14,0,109.81912394184297,1.5221549969150558,1.075520756836646,107.55207568366461,0.01,13.494878685443622
2022-02-24 15:00:00,FILUSDT,14,1,115.41379834591777,1.438849789062004,0.9519812104432486,108.29696894492791,0.01,24.533915766280316
2022-02-24 15:00:00,HBARUSDT,15,0,109.75499267181644,-0.06413127002652903,1.082969689449279,108.29696894492791,0.01,4.8585958340292645
2022-02-24 15:00:00,XRPUSDT,16,0,113.97494855685576,4.219955885039322,1.082969689449279,108.29696894492791,0.01,44.35225008161714
2022-02-27 15:00:00,HBARUSDT,17,0,115.49118699302979,0.07738864711201442,1.1541379834591776,115.41379834591777,0.01,22.562877694652393
2022-03-03 21:00:00,FILUSDT,18,0,115.77678037570912,0.28559338267934253,1.1549118699302978,115.49118699302979,0.01,55.35327605165905
2022-03-04 08:00:00,XRPUSDT,19,0,115.59851447534777,-0.17826590036135637,1.1577678037570913,115.77678037570912,0.01,22.368317069438174
2022-03-06 16:00:00,DOGEUSDT,20,0,114.72907155665244,-0.869442918695326,1.1559851447534777,115.59851447534777,0.01,42.736420503007395
2022-03-06 21:00:00,HBARUSDT,21,0,114.94035456451165,0.2112830078592073,1.1472907155665244,114.72907155665244,0.01,76.75744980919283
2022-03-10 09:00:00,DOGEUSDT,22,0,114.84459127082435,-0.09576329368730362,1.1494035456451166,114.94035456451165,0.01,17.664517648861803
2022-03-15 15:00:00,FILUSDT,23,0,116.22387544804931,1.3792841772249658,1.1484459127082436,114.84459127082435,0.01,76.10662721524304
2022-03-17 06:00:00,XRPUSDT,24,0,116.01427943821407,-0.20959600983524362,1.162238754480493,116.22387544804931,0.01,33.1070816429173
2022-03-23 17:00:00,FILUSDT,25,0,115.51600173066639,-0.49827770754768175,1.1601427943821407,116.01427943821407,0.01,71.18037402951099
2022-03-24 08:00:00,HBARUSDT,26,0,116.10041826740247,0.5844165367360834,1.1551600173066638,115.51600173066639,0.01,50.82704076149316
2022-03-24 23:00:00,XRPUSDT,27,0,115.69801988754689,-0.4023983798555829,1.1610041826740247,116.10041826740247,0.01,48.95278829931521
2022-03-27 12:00:00,HBARUSDT,28,0,115.33131558224575,-0.36670430530114334,1.1569801988754689,115.69801988754689,0.01,16.622878158542125
2022-03-28 21:00:00,DOTUSDT,29,0,115.28054783063818,-0.05076775160757016,1.1533131558224576,115.33131558224575,0.01,13.778736009773086
2022-04-02 10:00:00,HBARUSDT,30,0,115.43718453720756,0.15663670656937415,1.152805478306382,115.28054783063818,0.01,20.412891290867986
2022-04-04 13:00:00,DOGEUSDT,31,0,115.08279154819863,-0.35439298900892413,1.1543718453720755,115.43718453720756,0.01,16.6606936529181
2022-04-09 04:00:00,FILUSDT,32,0,114.73375178262407,-0.34903976557456323,1.1508279154819863,115.08279154819863,0.01,13.667697827690548
2022-04-18 10:00:00,DOGEUSDT,33,0,114.58986207543717,-0.14388970718690697,1.1473375178262406,114.73375178262407,0.01,15.162852686566415
2022-04-25 09:00:00,FILUSDT,34,0,114.73418221767744,0.1443201422402744,1.1458986207543718,114.58986207543717,0.01,16.22303716627056
2022-04-29 21:00:00,XRPUSDT,35,0,114.97010912615659,0.2359269084791413,1.1473418221767744,114.73418221767744,0.01,22.957939751492013
2022-05-04 00:00:00,DOTUSDT,36,0,114.3928210149308,-0.5772881112257778,1.149701091261566,114.97010912615659,0.01,27.995221572219062
2022-05-06 19:00:00,XRPUSDT,37,0,114.41731635835322,0.024495343422420303,1.143928210149308,114.3928210149308,0.01,15.704687979337132
