direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,signal_type,has_fvg,timestamp,ml_score,smc_ok,volume_spike,funding_rate,orderbook_imbalance,ema_position,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,exit_time,exit_price,pnl,exit_reason
SHORT,704.55,689.3108,711.8,2.05,TREND,36.0239,7.825,13.1903,23.7791,4,BOS,False,2024-12-12 19:00:00,0.98,True,True,,,BELOW,0.038093625592180845,0.2831803939271547,BNBUSDT,13,0.5448088460814045,7.433800000000019,2024-12-13 08:00:00,711.8,-0.2761787855433111,stop_loss
SHORT,118.37,114.5701,120.6052,1.7,RANGE,15.52,2.3529,20.5829,15.2095,5,SWEEP,False,2024-12-13 15:00:00,0.6937,True,True,,,,0.0982652305282641,0.2196424432767751,LTCUSDT,4,0.0,2.235199999999992,2024-12-13 19:00:00,120.6052,-0.2196424432767751,stop_loss
SHORT,508.9,494.9757,508.9,1.8,TREND,34.847,8.1429,13.5088,29.5614,4,BOS,False,2024-12-18 19:00:00,0.98,True,True,,,BELOW,0.042496115094176605,0.32873719753402475,BCHUSDT,1,3.1154258825962438,7.735700000000065,2024-12-18 20:00:00,494.9757,0.5917286554058416,take_profit
SHORT,6.53,6.1107,6.53,2.05,TREND,38.3783,0.2153,12.8733,32.6476,4,BOS,False,2024-12-20 08:00:00,0.9,True,True,,,BELOW,1.3860747749707878,0.28345229148152534,DOTUSDT,1,0.6014669926650393,0.20449999999999946,2024-12-20 09:00:00,6.53,-0.0,stop_loss
LONG,350.13,367.5365,350.13,2.05,TREND,36.579,8.9379,43.0512,13.442,4,BOS,False,2024-12-23 16:00:00,0.98,True,True,,,ABOVE,0.03338267477111363,0.28345229148152534,AAVEUSDT,5,2.40254386997998,8.490999999999985,2024-12-23 21:00:00,367.5365,0.5810755284033893,take_profit
SHORT,2.0228,1.9641,2.0554,1.8,TREND,34.7038,0.0343,13.6998,29.3983,4,BOS,False,2024-12-30 13:00:00,0.98,True,True,,,BELOW,10.202952373373442,0.3326162473719738,XRPUSDT,4,0.4601226993865074,0.03259999999999996,2024-12-30 17:00:00,2.0554,-0.3326162473719738,stop_loss
LONG,38.495,39.5599,38.495,2.05,TREND,35.79,0.5468,44.8726,3.3965,4,BOS,False,2025-01-02 00:00:00,0.98,True,True,,,ABOVE,0.6382674607889731,0.331516119133791,AVAXUSDT,4,1.155179052753185,0.5193999999999974,2025-01-02 04:00:00,38.495,-0.0,stop_loss
LONG,1.0391,1.0713,1.0391,2.05,TREND,35.4645,0.0165,38.9633,4.5788,4,BOS,False,2025-01-03 06:00:00,0.98,True,True,,,ABOVE,21.115676377948706,0.331516119133791,ADAUSDT,4,1.3248407643312345,0.015699999999999825,2025-01-03 10:00:00,1.0713,0.6799247793699484,take_profit
LONG,5.618,5.7789,5.618,2.05,TREND,38.751,0.0826,40.363,9.1616,4,BOS,False,2025-01-03 14:00:00,0.9,True,True,,,ABOVE,3.6443854814364736,0.28608426029276324,FILUSDT,6,1.6178343949044556,0.07850000000000001,2025-01-03 20:00:00,5.618,-0.0,stop_loss
SHORT,413.9,404.399,418.5346,2.05,TREND,35.0447,4.8786,7.6135,43.7775,4,BOS,False,2025-01-09 13:00:00,0.98,True,True,,,BELOW,0.0720159173049572,0.3337649703415571,BCHUSDT,1,0.0,4.6346000000000345,2025-01-09 14:00:00,418.5346,-0.3337649703415571,stop_loss
SHORT,4.942,4.7784,5.0218,2.05,TREND,35.3312,0.084,8.2483,34.4388,4,BOS,False,2025-01-09 13:00:00,0.98,True,True,,,BELOW,4.182518425332814,0.3337649703415571,FILUSDT,1,0.0,0.07979999999999965,2025-01-09 14:00:00,5.0218,-0.3337649703415571,stop_loss
SHORT,4.849,4.6971,4.9231,2.05,TREND,36.7368,0.078,3.7546,40.2015,4,BOS,False,2025-01-09 13:00:00,0.98,True,True,,,BELOW,3.860786238768755,0.28608426029276324,NEARUSDT,1,0.0,0.07409999999999961,2025-01-09 14:00:00,4.9231,-0.28608426029276324,stop_loss
SHORT,185.38,180.3429,187.8371,2.05,TREND,38.1485,2.5864,5.5786,43.6344,4,BOS,False,2025-01-09 13:00:00,0.9,True,True,,,BELOW,0.11643167160179219,0.28608426029276324,SOLUSDT,1,0.0,2.457099999999997,2025-01-09 14:00:00,187.8371,-0.28608426029276324,stop_loss
SHORT,3219.07,3155.9686,3254.1264,1.8,TREND,34.5374,36.9014,5.1237,39.0597,4,BOS,False,2025-01-09 13:00:00,0.98,True,True,,,BELOW,0.00952079992074365,0.3337649703415571,ETHUSDT,2,0.0,35.05639999999994,2025-01-09 15:00:00,3254.1264,-0.3337649703415571,stop_loss
