direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,timestamp,ema_position,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,exit_time,exit_price,pnl,exit_reason
LONG,551.55,,565.3,,TREND,37.3686,4.3464,37.4692,6.2449,4,BULLISH_BOS,True,,,8.5,,,BOS,True,2024-08-19 17:30:00,ABOVE,0.06259780907668244,1.3333333333333333,BNBUSDT,21,1.0375586854460126,21.299999999999955,2024-08-20 14:00:00,565.3,0.8607198748043836,stop_loss
LONG,522.1,,540.3,,TREND,37.6312,4.9607,29.4456,15.6947,4,BULLISH_BOS,True,,,6.850000000000023,,,BOS,True,2024-09-11 16:30:00,ABOVE,0.09640212174413769,1.344809598330725,BNBUSDT,23,1.634408602150529,13.950000000000045,2024-09-12 15:00:00,540.3,1.7545186157432993,stop_loss
LONG,557.3,,568.6,,TREND,34.9849,5.3036,31.9192,9.899,4,BULLISH_BOS,True,,,7.649999999999977,,,BOS,True,2024-09-18 23:30:00,ABOVE,0.08242187830566124,1.368203179873969,BNBUSDT,36,1.093373493975915,16.59999999999991,2024-09-20 11:00:00,568.6,0.9313672248539776,stop_loss
SHORT,576.8,,575.35,,TREND,32.251,4.2893,6.6611,44.1299,4,BEARISH_BOS,True,,,8.549999999999955,,,BOS,True,2024-09-30 02:30:00,BELOW,0.057050471468540746,1.3806214095386886,BNBUSDT,25,0.4049586776859478,24.200000000000045,2024-10-01 03:00:00,575.35,0.08272318362938019,stop_loss
LONG,573.55,,571.05,,TREND,33.6773,3.375,31.8519,4.6561,4,BULLISH_BOS,True,,,8.5,,,BOS,True,2024-10-07 00:30:00,ABOVE,0.13222242921726535,1.3817243853204138,BNBUSDT,9,0.2966507177033534,10.449999999999932,2024-10-07 09:00:00,571.05,-0.33055607304316337,stop_loss
LONG,568.5,577.25,566.5,2.58,RANGE,14.5574,5.0714,17.6056,26.0563,4,,False,SWEEP_LOW,,6.7000000000000455,,,SWEEP,False,2024-10-08 00:30:00,,0.5451122576569282,1.3773169710131714,BNBUSDT,5,0.8000000000000114,2.0,2024-10-08 05:00:00,566.5,-1.0902245153138563,stop_loss
SHORT,590.95,,599.6,,TREND,37.2123,3.2464,7.3707,36.1936,4,BEARISH_BOS,True,,,7.0,,,BOS,True,2024-10-22 08:30:00,BELOW,0.15754689527656923,1.3627806441423203,BNBUSDT,4,0.13294797687862359,8.649999999999977,2024-10-22 12:00:00,599.6,-1.3627806441423203,stop_loss
SHORT,581.05,,586.0,,TREND,39.3947,2.6643,3.8874,39.6783,3,BEARISH_BOS,True,,,4.899999999999977,,,BOS,True,2024-10-23 08:30:00,BELOW,0.06485258370838023,1.008457676665317,BNBUSDT,16,0.382636655948547,15.550000000000068,2024-10-24 00:00:00,586.0,-0.32102028935648513,stop_loss
LONG,596.8,,604.0,,TREND,34.2223,3.2571,29.8246,12.8289,4,BULLISH_BOS,True,,,2.699999999999932,,,BOS,True,2024-10-28 20:15:00,ABOVE,0.15768587823870622,1.3403299650290028,BNBUSDT,23,1.6117647058823583,8.5,2024-10-29 19:00:00,604.0,1.135338323318692,stop_loss
LONG,643.2,,660.5,,TREND,32.9642,6.7179,36.9484,12.5997,4,BULLISH_BOS,True,,,17.200000000000045,,,BOS,True,2024-11-23 01:30:00,ABOVE,0.05532521670775178,1.3554678093399186,BNBUSDT,15,1.3387755102040797,24.5,2024-11-23 16:00:00,660.5,0.9571262490441033,stop_loss
LONG,673.6,,744.65,,TREND,36.2541,10.25,32.4739,22.1951,4,BULLISH_BOS,True,,,19.75,,,BOS,True,2024-12-03 18:30:00,ABOVE,0.0269336514303249,1.3682294926605068,BNBUSDT,22,2.1948818897637765,50.80000000000007,2024-12-04 16:00:00,744.65,1.913635934124583,stop_loss
LONG,24.767,,25.163,,TREND,39.9628,0.5025,25.3447,17.4129,4,BULLISH_BOS,True,,,0.7640000000000029,,,BOS,True,2024-12-06 19:30:00,ABOVE,0.24487239568000968,0.49023453615137913,LINKUSDT,14,0.9350649350649355,2.001999999999999,2024-12-07 09:00:00,25.163,0.09696946868928402,stop_loss
LONG,51.185,53.17,51.152,9.73,RANGE,18.19,0.6268,13.9031,25.5271,4,BEARISH_BOS,False,SWEEP_LOW,,0.6499999999999986,,,SWEEP,False,2024-12-08 06:30:00,,6.132332754851141,0.36300591995058046,AVAXUSDT,2,12.727272727272082,0.03300000000000125,2024-12-08 08:00:00,51.152,-0.2023669809100953,stop_loss
