direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,timestamp,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,exit_time,exit_price,pnl,exit_reason,ema_position
SHORT,11.085,10.881,11.1031,11.28,RANGE,19.6061,0.0603,28.3175,12.5592,4,BULLISH_BOS,False,SWEEP_HIGH,,0.11999999999999922,,,SWEEP,False,2023-04-10 16:00:00,9.021199819576003,0.315,ATOMUSDT,1,0.0,0.018099999999998673,2023-04-10 17:00:00,11.1031,-0.1632837167343137,stop_loss,
SHORT,11.016,,11.337,,TREND,31.3341,0.1018,6.9474,36.8421,4,BEARISH_BOS,True,,,0.26699999999999946,,,BOS,True,2023-04-12 02:00:00,9.062882741763406,0.6453694932341003,ATOMUSDT,12,0.0,0.32099999999999973,2023-04-12 14:00:00,11.337,-2.909185360106051,stop_loss,BELOW
LONG,11.698,,12.06,,TREND,30.1602,0.0808,43.2361,8.6649,4,BULLISH_BOS,True,,,0.2110000000000003,,,BOS,True,2023-04-13 12:00:00,8.285820732019117,0.4337749327638702,ATOMUSDT,28,1.6890547263681557,0.402000000000001,2023-04-14 16:00:00,12.06,2.999467104990921,stop_loss,ABOVE
SHORT,10.798,,10.889,,TREND,38.7085,0.0744,2.0173,43.2277,4,BEARISH_BOS,True,,,0.11500000000000021,,,BOS,True,2023-05-06 14:00:00,9.254213560673325,0.34399869071190836,ATOMUSDT,20,0.06934306569343135,0.27399999999999913,2023-05-07 10:00:00,10.889,-0.8421334340212661,stop_loss,BELOW
LONG,10.948,,10.807,,TREND,30.1266,0.1099,51.4304,14.4993,4,BULLISH_BOS,True,,,0.41999999999999993,,,BOS,True,2023-05-10 13:00:00,9.050499140859454,0.4434295402748772,ATOMUSDT,14,0.10280373831775688,0.7490000000000006,2023-05-11 03:00:00,10.807,-1.2761203788611832,stop_loss,ABOVE
SHORT,10.868,10.677,10.8922,7.9,RANGE,20.2667,0.0806,23.1383,21.0993,3,,False,SWEEP_HIGH,,0.20000000000000107,,,SWEEP,False,2023-05-16 21:00:00,8.999700424665818,0.37656366522878226,ATOMUSDT,1,0.6198347107438138,0.024200000000000443,2023-05-16 22:00:00,10.8922,-0.21779275027691677,stop_loss,
LONG,10.957,,10.874,,TREND,30.1841,0.0664,32.1505,10.1075,3,BULLISH_BOS,True,,,0.0389999999999997,,,BOS,True,2023-05-18 04:00:00,8.906721864104336,0.5337981067756358,ATOMUSDT,10,0.27083333333333104,0.09600000000000009,2023-05-18 14:00:00,10.874,-0.7392579147206615,stop_loss,ABOVE
LONG,10.879,,10.815,,TREND,37.8546,0.0416,37.7358,6.0034,3,BULLISH_BOS,True,,,0.045999999999999375,,,BOS,True,2023-05-30 11:00:00,8.902628325238583,0.4075035006127634,ATOMUSDT,15,0.0,0.11899999999999977,2023-05-31 02:00:00,10.815,-0.5697682128152698,stop_loss,ABOVE
LONG,10.608,,10.592,,TREND,33.6932,0.0736,31.4563,20.9709,4,BULLISH_BOS,True,,,0.16500000000000092,,,BOS,True,2023-06-02 05:00:00,9.076350427738994,0.6223904358626452,ATOMUSDT,19,0.10220994475137851,0.3620000000000001,2023-06-03 00:00:00,10.592,-0.14522160684382404,stop_loss,ABOVE
LONG,10.694,,10.725,,TREND,37.8069,0.0433,35.1485,12.5413,4,BULLISH_BOS,True,,,0.014000000000001123,,,BOS,True,2023-06-03 23:00:00,8.989779664354913,0.3309506025926299,ATOMUSDT,25,2.089552238805947,0.06700000000000017,2023-06-05 00:00:00,10.725,0.27868316959499156,stop_loss,ABOVE
SHORT,10.18,9.8,10.3836,1.87,RANGE,21.5526,0.0822,29.192,15.5517,5,BULLISH_BOS,False,SWEEP_HIGH,,0.10400000000000098,,,SWEEP,False,2023-06-06 20:00:00,9.471059616916154,0.30370846873565027,ATOMUSDT,18,2.337917485265224,0.20359999999999978,2023-06-07 14:00:00,9.8,3.599002654428129,take_profit,
SHORT,8.305,,8.622,,TREND,30.0584,0.0559,9.5785,44.4444,4,BEARISH_BOS,True,,,0.10299999999999976,,,BOS,True,2023-06-20 14:00:00,12.042671830780804,0.4475893968543784,ATOMUSDT,4,0.0,0.31700000000000017,2023-06-20 18:00:00,8.622,-3.817526970357517,stop_loss,BELOW
LONG,9.363,,9.219,,TREND,32.8663,0.0773,21.2569,15.9889,4,BULLISH_BOS,True,,,0.0730000000000004,,,BOS,True,2023-06-27 07:00:00,10.274149587127743,0.621840568960413,ATOMUSDT,8,0.16666666666667285,0.14400000000000013,2023-06-27 15:00:00,9.219,-1.4794775405463962,stop_loss,ABOVE
LONG,9.403,,9.126,,TREND,39.6208,0.0687,37.7339,6.8607,4,BULLISH_BOS,True,,,0.09399999999999942,,,BOS,True,2023-06-29 11:00:00,10.073102737820978,0.32606459801304283,ATOMUSDT,8,0.0,0.277000000000001,2023-06-29 19:00:00,9.126,-2.790249458376421,stop_loss,ABOVE
LONG,9.756,,9.825,,TREND,31.6232,0.0783,29.0146,18.1569,4,BULLISH_BOS,True,,,0.07699999999999996,,,BOS,True,2023-07-03 03:00:00,9.422625623755046,0.5942399862076262,ATOMUSDT,22,0.6821515892420524,0.4090000000000007,2023-07-04 01:00:00,9.825,0.6501611680390893,stop_loss,ABOVE
LONG,9.838,,9.687,,TREND,35.5495,0.1051,26.8525,7.274,3,BULLISH_BOS,True,,,0.07200000000000095,,,BOS,True,2023-07-15 08:00:00,9.410174502276208,0.5626385210187479,ATOMUSDT,8,0.2966507177033554,0.20899999999999963,2023-07-15 16:00:00,9.687,-1.4209363498437055,stop_loss,ABOVE
SHORT,8.916,,9.024,,TREND,39.3479,0.0827,9.7582,52.7634,4,BEARISH_BOS,True,,,0.375,,,BOS,True,2023-07-24 09:00:00,10.223907627136565,0.3138057706892196,ATOMUSDT,17,0.0,0.3620000000000001,2023-07-25 02:00:00,9.024,-1.1041820237307365,stop_loss,BELOW
SHORT,8.824,,8.822,,TREND,35.1411,0.0559,8.4291,32.6948,4,BEARISH_BOS,True,,,0.11000000000000121,,,BOS,True,2023-07-31 19:00:00,10.205369263352095,0.4477844569936494,ATOMUSDT,23,0.45051194539248873,0.29300000000000104,2023-08-01 18:00:00,8.822,0.020410738526711006,stop_loss,BELOW
SHORT,8.499,,8.448,,TREND,34.7676,0.0589,14.1818,33.0909,4,BEARISH_BOS,True,,,0.19200000000000017,,,BOS,True,2023-08-04 18:00:00,10.598022016513188,0.4478859493909735,ATOMUSDT,20,0.7116564417177991,0.16300000000000026,2023-08-05 14:00:00,8.448,0.5404991228421743,stop_loss,BELOW
SHORT,8.45,8.383,8.4566,10.15,RANGE,17.0534,0.022,33.1169,11.039,4,,False,SWEEP_HIGH,,0.05500000000000149,,,SWEEP,False,2023-08-13 20:00:00,10.723442395406837,0.28543122795974146,ATOMUSDT,1,2.5757575757572577,0.006600000000000605,2023-08-13 21:00:00,8.4566,-0.07077471980969162,stop_loss,
LONG,8.55,,8.493,,TREND,39.8096,0.0318,42.0225,16.4045,4,BULLISH_BOS,True,,,0.08200000000000074,,,BOS,True,2023-08-14 14:00:00,10.589744271506207,0.31169191429734405,ATOMUSDT,14,0.0,0.14100000000000001,2023-08-15 04:00:00,8.493,-0.6036154234758578,stop_loss,ABOVE
SHORT,8.027,,7.957,,TREND,32.5504,0.0854,4.097,64.4649,4,BEARISH_BOS,True,,,0.6279999999999992,,,BOS,True,2023-08-15 19:00:00,11.204522000486138,0.5813862291793644,ATOMUSDT,23,0.2799188640973609,0.4930000000000003,2023-08-16 18:00:00,7.957,0.7843165400340228,stop_loss,BELOW
SHORT,6.666,,6.689,,TREND,37.3442,0.0516,8.8643,43.0748,4,BEARISH_BOS,True,,,0.13699999999999957,,,BOS,True,2023-09-01 17:00:00,13.609813177008137,0.31231397789109555,ATOMUSDT,12,0.06229508196721359,0.3049999999999997,2023-09-02 05:00:00,6.689,-0.3130257030711829,stop_loss,BELOW
LONG,6.928,,6.907,,TREND,34.4966,0.0609,27.23,10.2113,4,BULLISH_BOS,True,,,0.036000000000000476,,,BOS,True,2023-09-07 01:00:00,13.049940666117937,0.4495636699786166,ATOMUSDT,32,0.223628691983122,0.2370000000000001,2023-09-08 09:00:00,6.907,-0.2740487539884755,stop_loss,ABOVE
SHORT,6.784,,6.42,,TREND,32.3441,0.0277,12.6289,38.6598,4,BEARISH_BOS,True,,,0.041999999999999815,,,BOS,True,2023-09-10 01:00:00,13.286547786096195,0.5826612513142315,ATOMUSDT,50,5.2921348314606504,0.08900000000000041,2023-09-12 03:00:00,6.42,4.836303394139013,stop_loss,BELOW
LONG,7.07,,7.037,,TREND,31.8758,0.0572,41.3233,7.8652,4,BULLISH_BOS,True,,,0.1459999999999999,,,BOS,True,2023-09-16 02:00:00,13.433132047385515,0.6139243255297946,ATOMUSDT,17,0.2798634812286683,0.29300000000000015,2023-09-16 19:00:00,7.037,-0.44329335756372684,stop_loss,ABOVE
LONG,7.091,,7.072,,TREND,33.0945,0.0409,38.7435,4.014,4,BULLISH_BOS,True,,,0.06200000000000028,,,BOS,True,2023-09-28 10:00:00,13.33083489175742,0.6110587664431633,ATOMUSDT,15,0.3926380368098157,0.16300000000000026,2023-09-29 01:00:00,7.072,-0.25328586294339267,stop_loss,ABOVE
LONG,2.161,,2.1739,,TREND,32.7538,0.0224,25.717,17.9414,4,BULLISH_BOS,True,,,0.02069999999999972,,,BOS,True,2023-10-22 06:00:00,25.441565219320147,0.6094214633036314,TONUSDT,24,1.3603082851637764,0.051899999999999835,2023-10-23 06:00:00,2.1739,0.3281961913292333,stop_loss,ABOVE
SHORT,2.0841,,2.0721,,TREND,31.3309,0.0161,14.9578,33.2446,3,BEARISH_BOS,True,,,0.025700000000000056,,,BOS,True,2023-10-27 11:00:00,18.684140513058413,0.7474414512075274,TONUSDT,18,1.283378746593997,0.03670000000000018,2023-10-28 05:00:00,2.0721,0.22420968615670114,stop_loss,BELOW
LONG,17.591,,17.357,,TREND,32.6015,0.4763,33.3233,8.6083,4,BULLISH_BOS,True,,,0.5529999999999973,,,BOS,True,2024-12-06 18:00:00,2.4340053108604276,0.6129923529971698,UNIUSDT,18,0.40763173834039834,1.6510000000000016,2024-12-07 12:00:00,17.357,-0.5695572427413443,stop_loss,ABOVE
LONG,1.1975,1.2187,1.1929,4.59,RANGE,14.9024,0.0154,14.7959,24.2115,5,BEARISH_BOS,False,SWEEP_LOW,,0.01750000000000007,,,SWEEP,False,2024-12-08 06:00:00,24.48486716075379,0.29691431591614714,ADAUSDT,2,1.2608695652174144,0.0045999999999999375,2024-12-08 08:00:00,1.1929,-0.1126303889394659,stop_loss,
LONG,1.1805,1.2187,1.1569,1.62,RANGE,15.5815,0.0157,16.5683,26.1462,4,BEARISH_BOS,False,SWEEP_LOW,,0.025500000000000078,,,SWEEP,False,2024-12-08 08:00:00,14.688430008891693,0.2965595301909878,ADAUSDT,3,1.1906779661016829,0.023600000000000065,2024-12-08 11:00:00,1.2187,0.5610980263396596,take_profit,
LONG,1.1743,1.2221,1.1698,10.52,RANGE,19.3412,0.0151,17.9717,28.3019,4,BEARISH_BOS,False,SWEEP_LOW,,0.028900000000000148,,,SWEEP,False,2024-12-09 00:00:00,38.27022596130366,0.29832698897395776,ADAUSDT,1,0.0,0.0044999999999999485,2024-12-09 01:00:00,1.1698,-0.1722160168258645,stop_loss,
SHORT,8.555,,7.531,,TREND,35.0738,0.1728,8.3506,43.241,4,BEARISH_BOS,True,,,0.3249999999999993,,,BOS,True,2024-12-09 08:00:00,2.119034247908109,0.47007411702236673,AXSUSDT,25,1.373165618448636,0.9540000000000006,2024-12-10 09:00:00,7.531,2.1698910698579033,stop_loss,BELOW
SHORT,523.4,,534.0,,TREND,35.5931,6.3214,13.3333,25.9887,4,BEARISH_BOS,True,,,9.399999999999977,,,BOS,True,2024-12-14 13:00:00,0.025608982954758077,0.48086390036723514,BCHUSDT,10,0.09999999999999838,28.0,2024-12-14 23:00:00,534.0,-0.2714552193204362,stop_loss,BELOW
